WFOID,vernacularName,taxon,identifier,preferredName,source,language,countryCode,uri
wfo-0000514908,Sycamore,Acer pseudoplatanus,1,1,,en,IE,
wfo-0000514908,Great maple,Acer pseudoplatanus,2,0,,en,IE,
wfo-0000042097,Yarrow,Achillea millefolium,7,1,,en,IE,
wfo-0000042097,Tansy,Achillea millefolium,8,0,,en,IE,
wfo-0000042097,Lady's fingers,Achillea millefolium,9,0,,en,IE,
wfo-0000042097,Elfshot cow,Achillea millefolium,10,0,,en,IE,
wfo-0000033807,Sneezewort,Achillea ptarmica,19,1,,en,IE,
wfo-0000033807,Wild fire,Achillea ptarmica,20,0,,en,IE,
wfo-0000033807,White weed,Achillea ptarmica,21,0,,en,IE,
wfo-0000517689,Monk's-hood,Aconitum napellus,25,1,,en,IE,
wfo-0000517689,Wolfsbane,Aconitum napellus,26,0,,en,IE,
wfo-0000350733,Sweet-flag,Acorus calamus,29,1,,en,IE,
wfo-0000521309,Moschatel,Adoxa moschatellina,31,1,,en,IE,
wfo-0000521309,Town Hall clock,Adoxa moschatellina,32,0,,en,IE,
wfo-0000521309,Five-faced bishop,Adoxa moschatellina,33,0,,en,IE,
wfo-0000521573,Ground-elder,Aegopodium podagraria,35,1,,en,IE,
wfo-0000521573,Goutweed,Aegopodium podagraria,36,0,,en,IE,
wfo-0000521573,Bishop's-weed,Aegopodium podagraria,37,0,,en,IE,
wfo-0000521573,Elder-plant,Aegopodium podagraria,38,0,,en,IE,
wfo-0000521573,Farmer's plague,Aegopodium podagraria,39,0,,en,IE,
wfo-0000522287,Horse-chestnut,Aesculus hippocastanum,44,1,,en,IE,
wfo-0000522564,Fool’s parsley,Aethusa cynapium,47,1,,en,IE,
wfo-0001006654,Agrimony,Agrimonia eupatoria,50,1,,en,IE,
wfo-0001006000,Fragrant agrimony,Agrimonia procera,57,1,,en,IE,
wfo-0000843382,Velvet bent,Agrostis canina,59,1,,en,IE,
wfo-0000843693,Black bent,Agrostis gigantea,62,1,,en,IE,
wfo-0000844489,Creeping bent,Agrostis stolonifera,64,1,,en,IE,
wfo-0000844489,Fiorin grass,Agrostis stolonifera,65,0,,en,IE,
wfo-0000844489,White bent-grass,Agrostis stolonifera,73,0,,en,IE,
wfo-0000844922,Silver hair-grass,Aira caryophyllea,74,1,,en,IE,
wfo-0000845169,Early hair-grass,Aira praecox,77,1,,en,IE,
wfo-0000934953,Pyramidal bugle,Ajuga pyramidalis,80,1,,en,IE,
wfo-0000935107,Bugle,Ajuga reptans,82,1,,en,IE,
wfo-0000935107,Betony,Ajuga reptans,83,0,,en,IE,
wfo-0000935107,Creeping bugle,Ajuga reptans,84,0,,en,IE,
wfo-0000998050,Alpine lady’s-mantle,Alchemilla alpina,89,1,,en,IE,
wfo-0001013445,Lady’s-mantle,Alchemilla vulgaris,92,1,,en,IE,
wfo-0000986187,Slender lady’s-mantle,Alchemilla filicaulis,101,1,,en,IE,
wfo-0000984092,Smooth lady’s-mantle,Alchemilla glabra,103,1,,en,IE,
wfo-0000999868,Silky lady’s-mantle,Alchemilla glaucescens,105,1,,en,IE,
wfo-0000985078,Intermediate lady’s-mantle,Alchemilla xanthochlora,107,1,,en,IE,
wfo-0000755439,Narrow-leaved water-plantain,Alisma lanceolatum,109,1,,en,IE,
wfo-0000755470,Water-plantain,Alisma plantago-aquatica,113,1,,en,IE,
wfo-0000755470,Slanlis,Alisma plantago-aquatica,114,0,,en,IE,
wfo-0000526081,Garlic mustard,Alliaria petiolata,118,1,,en,IE,
wfo-0000526081,Hedge garlic,Alliaria petiolata,119,0,,en,IE,
wfo-0000526081,Jack-by-the-hedge,Alliaria petiolata,120,0,,en,IE,
wfo-0000755744,Wild leek,Allium babingtonii,127,1,,en,IE,
wfo-0000755744,Wild garlic,Allium babingtonii,128,0,,en,IE,
wfo-0000757278,Chives,Allium schoenoprasum,132,1,,en,IE,
wfo-0000757676,Wild garlic,Allium ursinum,139,1,,en,IE,
wfo-0000757676,Ramsons,Allium ursinum,140,0,,en,IE,
wfo-0000757676,Ramps,Allium ursinum,141,0,,en,IE,
wfo-0000757676,Common garlic,Allium ursinum,142,0,,en,IE,
