WFOID,vernacularName,taxon,identifier,preferredName,source,language,countryCode,uri
wfo-0000619241,Harnothes,Conopodium majus,1078,1,,yo,IE,
wfo-0000925259,Hawlse,Corylus avellana,1105,1,,yo,IE,
wfo-0000783754,Levers,Iris pseudacorus,1998,1,,yo,IE,
wfo-0000481006,Copprouse,Papaver rhoeas,2690,1,,yo,IE,
wfo-0000405193,Kraanberry,Ribes uva-crispa,3284,1,,yo,IE,
wfo-0001004881,Brimel,Rubus fruticosus,3368,0,,yo,IE,
wfo-0001004881,Brimelès,Rubus fruticosus,3369,0,,yo,IE,
wfo-0000439308,Ellena ghou,Sambucus nigra,3565,0,,yo,IE,
wfo-0000075977,Boouchelawn,Senecio jacobaea,3769,1,,yo,IE,
wfo-0001031908,Bidaades,Solanum tuberosum,3868,1,,yo,IE,
wfo-0000213062,Meelough,Trifolium repens,4184,1,,yo,IE,
wfo-0000213062,Milagh,Trifolium repens,4185,1,,yo,IE,
wfo-0000213410,Wyddeer,Ulex europaeus,4265,1,,yo,IE,
wfo-0000213410,Goss,Ulex europaeus,4266,1,,yo,IE,
wfo-0000421932,Kraanberry,Vaccinium oxycoccos,4366,1,,yo,IE,
