WFOID,identifier,taxon,vernacularName,preferredName,source,language,countryCode,uri
wfo-0000514908,3,Acer pseudoplatanus,Seiceamóir,1,,ga,IE,
wfo-0000514908,4,Acer pseudoplatanus,Crann bán,0,,ga,IE,
wfo-0000514908,5,Acer pseudoplatanus,Crann sicimír,0,,ga,IE,
wfo-0000514908,6,Acer pseudoplatanus,Crann siceamóir,0,,ga,IE,
wfo-0000042097,11,Achillea millefolium,Athair thalún,0,,ga,IE,
wfo-0000042097,12,Achillea millefolium,Luibh an tinneas droma,0,,ga,IE,
wfo-0000042097,13,Achillea millefolium,Luibh na ndaitheacha,0,,ga,IE,
wfo-0000042097,14,Achillea millefolium,Athair talmhan,0,,ga,IE,
wfo-0000042097,15,Achillea millefolium,Lus na fola,0,,ga,IE,
wfo-0000042097,16,Achillea millefolium,Lus na gcluas,0,,ga,IE,
wfo-0000042097,17,Achillea millefolium,Athair talmhuin,0,,ga,IE,
wfo-0000042097,18,Achillea millefolium,Athairthalmhuin coitchion,0,,ga,IE,
wfo-0000033807,22,Achillea ptarmica,Lus corráin,1,,ga,IE,
wfo-0000033807,23,Achillea ptarmica,Roibhe,0,,ga,IE,
wfo-0000033807,24,Achillea ptarmica,Cruadhlus,0,,ga,IE,
wfo-0000517689,27,Aconitum napellus,Dathabha dubh,0,,ga,IE,
wfo-0000517689,28,Aconitum napellus,Fuath an mhadra,0,,ga,IE,
wfo-0000350733,30,Acorus calamus,Feileastram cumhra,1,,ga,IE,
wfo-0000521309,34,Adoxa moschatellina,Moscadal,1,,ga,IE,
wfo-0000521573,40,Aegopodium podagraria,Lus an easpaig,1,,ga,IE,
wfo-0000521573,41,Aegopodium podagraria,Lus an ghúta,0,,ga,IE,
wfo-0000521573,42,Aegopodium podagraria,Lus an easbuig,0,,ga,IE,
wfo-0000521573,43,Aegopodium podagraria,Gúta,0,,ga,IE,
wfo-0000522287,45,Aesculus hippocastanum,Crann cnó capaill,1,,ga,IE,
wfo-0000522287,46,Aesculus hippocastanum,Cran-geanmchno,0,,ga,IE,
wfo-0000522564,48,Aethusa cynapium,Peirsil amaide,1,,ga,IE,
wfo-0000522564,49,Aethusa cynapium,Peirsil na n-amadán,0,,ga,IE,
wfo-0001006654,51,Agrimonia eupatoria,Marbhdhraighean,1,,ga,IE,
wfo-0001006654,52,Agrimonia eupatoria,Méirín na mágh,0,,ga,IE,
wfo-0001006654,53,Agrimonia eupatoria,Geirbhileach airgeadán,0,,ga,IE,
wfo-0001006654,54,Agrimonia eupatoria,Marbhdhruidhm,0,,ga,IE,
wfo-0001006654,55,Agrimonia eupatoria,Méirínína maighe,0,,ga,IE,
wfo-0001006654,56,Agrimonia eupatoria,Mar-dhroighean,0,,ga,IE,
wfo-0001006000,58,Agrimonia procera,Marbhdhraighean cumhra,1,,ga,IE,
wfo-0000843382,60,Agrostis canina,Feorainn shlim,1,,ga,IE,
wfo-0000843382,61,Agrostis canina,Taenfhér donn,0,,ga,IE,
wfo-0000843693,63,Agrostis gigantea,Feorainn dhubh,1,,ga,IE,
wfo-0000844489,66,Agrostis stolonifera,Feorainn,1,,ga,IE,
wfo-0000844489,67,Agrostis stolonifera,Taenfheur ban,0,,ga,IE,
wfo-0000844489,68,Agrostis stolonifera,Taenfheur forin,0,,ga,IE,
wfo-0000844489,69,Agrostis stolonifera,Feorna,0,,ga,IE,
wfo-0000844489,70,Agrostis stolonifera,Feora,0,,ga,IE,
wfo-0000844489,71,Agrostis stolonifera,Taenfhér forín,0,,ga,IE,
wfo-0000844489,72,Agrostis stolonifera,Taenfhér bán,0,,ga,IE,
wfo-0000844922,75,Aira caryophyllea,Mionfhéar geal,1,,ga,IE,
wfo-0000844922,76,Aira caryophyllea,Gruagfhér airgid,0,,ga,IE,
wfo-0000845169,78,Aira praecox,Mionfhéar luath,1,,ga,IE,
wfo-0000845169,79,Aira praecox,Gruagfhér moch,0,,ga,IE,
wfo-0000934953,81,Ajuga pyramidalis,Glasair bheannach,1,,ga,IE,
wfo-0000935107,85,Ajuga reptans,Glasair choille,1,,ga,IE,
wfo-0000935107,86,Ajuga reptans,Meacan dubh fiadhain,0,,ga,IE,
wfo-0000935107,87,Ajuga reptans,Glasair choilleadh,0,,ga,IE,
wfo-0000935107,88,Ajuga reptans,Lasair léana,0,,ga,IE,
wfo-0000998050,90,Alchemilla alpina,Bratóg Mhuire,1,,ga,IE,
wfo-0000998050,91,Alchemilla alpina,Trusgán,0,,ga,IE,
wfo-0001013445,93,Alchemilla vulgaris,Dearna Mhuire,1,,ga,IE,
wfo-0001013445,94,Alchemilla vulgaris,Bratóg Mhuire,0,,ga,IE,
wfo-0001013445,95,Alchemilla vulgaris,Fallaing Mhuire,0,,ga,IE,
wfo-0001013445,96,Alchemilla vulgaris,Cóta preasach,0,,ga,IE,
