WFOID,locality,localityID,countryCode,establishmentMeans,taxon,source,rights,license
wfo-0000194212,Bahamas,BHS,BS,native,Abarema glauca,ref-0000194212.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000336880,Bahamas,BHS,BS,native,Abildgaardia ovata,ref-0000336880.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000512187,Bahamas,BHS,BS,native,Abutilon permolle,ref-0000512187.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000275337,Bahamas,BHS,BS,native,Acalypha alopecuroidea,ref-0000275337.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001109379,Bahamas,BHS,BS,native,Acrostichum danaeifolium,ref-0001109379.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001109469,Bahamas,BHS,BS,native,Adiantum capillus-veneris,ref-0001109469.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000337742,Bahamas,BHS,BS,native,Aechmea lingulata,ref-0000337742.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000522793,Bahamas,BHS,BS,native,Agalinis maritima,ref-0000522793.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754103,Bahamas,BHS,BS,native,Agave ackliniola,ref-0000754103.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754171,Bahamas,BHS,BS,native,Agave bahamana,ref-0000754171.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754192,Bahamas,BHS,BS,native,Agave braceana,ref-0000754192.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754211,Bahamas,BHS,BS,native,Agave cacozela,ref-0000754211.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754470,Bahamas,BHS,BS,native,Agave inaguensis,ref-0000754470.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754471,Bahamas,BHS,BS,native,Agave indagatorum,ref-0000754471.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754580,Bahamas,BHS,BS,native,Agave millspaughii,ref-0000754580.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754602,Bahamas,BHS,BS,native,Agave nashii,ref-0000754602.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000755301,Bahamas,BHS,BS,native,Aletris bracteata,ref-0000755301.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000528645,Bahamas,BHS,BS,native,Alternanthera littoralis,ref-0000528645.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000529101,Bahamas,BHS,BS,native,Alvaradoa amorphoides,ref-0000529101.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000530495,Bahamas,BHS,BS,native,Amaranthus spinosus,ref-0000530495.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000530552,Bahamas,BHS,BS,native,Amaranthus viridis,ref-0000530552.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000122132,Bahamas,BHS,BS,native,Ambrosia artemisiifolia,ref-0000122132.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000137401,Bahamas,BHS,BS,native,Ambrosia hispida,ref-0000137401.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000530955,Bahamas,BHS,BS,native,Ammannia coccinea,ref-0000530955.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000531010,Bahamas,BHS,BS,native,Ammannia latifolia,ref-0000531010.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000532633,Bahamas,BHS,BS,native,Amyris elemifera,ref-0000532633.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000846663,Bahamas,BHS,BS,native,Andropogon glomeratus,ref-0000846663.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000847756,Bahamas,BHS,BS,native,Andropogon virginicus,ref-0000847756.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001110607,Bahamas,BHS,BS,native,Anemia adiantifolia,ref-0001110607.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001347587,Bahamas,BHS,BS,native,Anemotrochus eggersii,ref-0001347587.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000537770,Bahamas,BHS,BS,native,Annona glabra,ref-0000537770.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000544266,Bahamas,BHS,BS,native,Ardisia escallonioides,ref-0000544266.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000267435,Bahamas,BHS,BS,native,Argythamnia argentea,ref-0000267435.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000268177,Bahamas,BHS,BS,native,Argythamnia lucayana,ref-0000268177.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000268668,Bahamas,BHS,BS,native,Argythamnia sericea,ref-0000268668.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000848692,Bahamas,BHS,BS,native,Aristida correlliae,ref-0000848692.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000849542,Bahamas,BHS,BS,native,Aristida vilfifolia,ref-0000849542.03,Leon Levy Native Plant Preserve.,All rights Preserved
