WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license
wfo-0000000074,distribution,EN,<i>Bidens alba</i> occurs on all island groupings within the Lucayan Archipelago as well as in other tropical and subtropical regions of the world.,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000000074.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000008040,distribution,EN,<i>Lactuca intybacea</i> occurs on all islands in the Lucayan Archipelago as well as throughout all tropical and subtropical regions of the world.,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000008040.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000060874,distribution,EN,"<i>Neurolaena lobata</i> occurs on all island groupings within the Lucayan Archipelago as well as Texas, Florida, the entire Caribbean, and Mexico south to northern South America.  It has also been found in the Pacific islands.",Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000060874.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000063690,distribution,EN,<i>Gundlachia corymbosa</i> occurs on all island groups within the Lucayan Archipelago as well as the Caribbean region.  It is considered endemic to the Caribbean.,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000063690.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000067484,distribution,EN,<i>Chromolaena odorata</i> occurs on all island groups in the Lucayan Archipelago as well as throughout tropical and subtropical regions of the world.,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000067484.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000137401,distribution,EN,"<i>Ambrosia hispida</i> grows on all island groups within the Lucayan Archipelago as well as Florida, the entire Caribbean region, and Mexico south to northern South America.",Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000137401.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000164084,distribution,EN,"<i>Leucaena leucocephala</i> is NOT native the Lucayan Archipelago but occurs on all island groupings within as well as Florida, the Caribbean region and tropical and subtropical regions of the world. It is native to southern Mexico and Central America.",Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000164084.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000167701,distribution,EN,<i>Centrosema angustifolium</i> occurs in the northern island groupings of the Lucayan Archipelago as well as Central and South America.,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000167701.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000178702,distribution,EN,"<i>Abrus precatorius</i> occurs in the central and northern island groupings of the Lucayan Archipelago, throughout the tropical and subtropical western hemisphere as well as tropical and subtropical Asia and Africa.",Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000178702.03,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000179451,distribution,EN,"<i>Zapoteca formosa</i> occurs on almost every island grouping within the Lucayan Archipelago, Cuba, Mexico, Central and South America.",Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000179451.03,Leon Levy Native Plant Preserve.,All rights Preserved
