WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license
wfo-0000000074,"<i>Bidens alba</i> grows in Human Altered environments (yards, road sides and abandoned fields).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000000074.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000008040,"<i>Lactuca intybacea</i> grows in Human Altered environments (roadsides, fields, dump sites).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000008040.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000060874,"<i>Neurolaena lobata</i> grows in Human Altered environments (roadsides, construction areas) in very wet to very dry areas.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000060874.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000063690,"<i>Gundlachia corymbosa</i> grows in Dry Broadleaf Evergreen Formation – Shrublands/Dwarf Shrublands, commonly on a sand substrate.  It also grows in Human Altered environments (roadsides).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000063690.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000067484,"<i>Chromolaena odorata</i> grows in Human Altered enviroments (farms, cleared areas, yards/gardens) as well as Pine Woodlands, and the edges of Dry Broadleaf Evergreen Formation – Woodland/Shrubland (low coppice/scrubland).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000067484.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000137401,<i>Ambrosia hispida</i> grows in Dunes and other sandy areas along shorelines.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000137401.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000164084,"<i>Leucaena leucocephala</i> grows in Human Altered environments such as roadsides, abandoned fields as well as the edges of Dry Broadleaf Evergreen Formations (coppice).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000164084.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000167701,<i>Centrosema angustifolium</i> grows in Human Altered environments such as abandoned fields and along the edges of Dry Broadleaf Evergreen Formation-Forest/Shrublands (coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000167701.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000178702,<i>Abrus precatorius</i> grows in Dry Broadleaf Evergreen Formation –Shrublands (scrublands) as well as Human Altered environments such as abandoned fields and houses.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000178702.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000179451,"<i>Zapoteca formosa</i> grows in Dry Broadleaf Evergreen Formation –Woodlands/Shrublands (scrublands), Pine Woodlands, and along the edges of Human Altered environments (fields, yards).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000179451.02,Leon Levy Native Plant Preserve.,All rights Preserved
