WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license
wfo-0000000074,"<i>Bidens alba</i> is used medicinally in the Lucayan Archipelago to treat circulatory problems (cooling of the blood), colds, fevers, and flu, dermatological issues, intestinal problems (worms and upset stomachs), and urinary tract complications.  <i>Bidens alba</i> is used in the southern Caribbean to treat eye infections and in Africa to treat wounds and earaches. </p>The vegetative parts are also edible.",use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000000074.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000008040,<i>Lactuca intybacea</i> leaves are edible although bitter.  The bitterness is reduced when the leaves are cooked.  It is also eaten by farm animals.,use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000008040.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000060874,"<i>Neurolaena lobata</i> is used medicinally in the Lucayan Archipelago to treat dermatological problems, and colds and fevers (including measles). It is used elsewhere in the Caribbean to treat sprains and dislocations. The leaves have been used as a tobacco substitute.",use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000060874.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000063690,"<i>Gundlachia corymbosa</i> is used in the Lucayan Archipelago to treat pain, dermatological problems (blisters from Poison wood and Manchineel), as well as for colds and flu.",use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000063690.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000067484,<i>Chromolaena odorata</i>  is not used medicinally in the Lucayan Archipelago.,use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000067484.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000137401,"<i>Ambrosia hispida</i> is widely used in the Lucayan Archipelago. for a variety of illness categories including to treat colds and flu, gastrointestinal issues (increasing appetite, diarrhea, indigestion and vomiting), as well as dermatological problems (blisters and general skin irritation). </p>Elsewhere in the Caribbean it is used to treat worms and high blood pressure.",use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000137401.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000164084,"<i>Leucaena leucocephala</i> is used in the Lucayan Archipelago to treat colds, fevers and flu, in strengthening teas, circulatory problems (heart issues), to calm nerves, to treat tuberculosis, and to reduce back pain and menstrual cramps. The leaves and seeds are edible if sufficiently cooked.  The seeds can be roasted, ground and used as a coffee substitute. </p><i>Leucaena leucocephala</i> was originally introduced as feed for animals since it grew so quickly.  Unbeknownst it actually contains trace amounts of toxin that causes certain animals to lose their hair. </p>As <i>Leucaena leucocephala</i> grows rapidly it has also been used for charcoal production and to provide shade for coffee and cacao.",use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000164084.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000167701,<i>Centrosema angustifolium</i> has no medicinal usage in the Lucayan Archipelago .,use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000167701.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000178702,The seeds of <i>Abrus precatorius</i> are highly poisonous! The seeds should not be used for anything and if children are around the species should be removed from yards!</p> Boiling the seeds breaks down the toxins and in areas of the Caribbean after boiling the seeds have been boiled with milk to form a tonic. The roots and stems are edible and taste like licorice. </p> It is advised NOT to use this species without having been given guidance by a knowledgeable bush practioner.,use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000178702.04,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000179451,<i>Zapoteca formosa</i> is not known to be used medicinally in the Lucayan Archipelago.,use,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000179451.04,Leon Levy Native Plant Preserve.,All rights Preserved
