taxonID,description,type,source,language, 
wfo-0000555197,"Suberect to climbing subshrub, with 4-angled, pilose to glabrescent twigs. Leaves with up to c. 2 cm long petiole; lamina elliptic-ovate to deltoid, 2-5 x 1.5-3.5 (-4) cm, grey-pubescent to glabrate, base truncate to rounded, the margins crenulate to entire, apically acute or shortly acuminate. Flowers in terminal, 1-sided, lax raceme. Bracts lanceolate, 2.5-3 mm long, pilose. Calyx lobes lanceolate, (5-) 7-9 mm long, sparsely pubescent. Corolla yellow to creamy-white with purple streaks on throat, tube up to 2.5 cm long, narrow below, widened to c. 1 cm at the throat, hairy outside, lobes ± orbicular, up to 1.5 cm long. Anthers oblong, 2.5-3 mm long. Style up to 2 cm long. Capsule oblong, up to 2.8 cm long including stipe, pubescent, 4-seeded.",general,ref_wfo-0000555197,English,100012
wfo-0000560242,"An erect, up to 1.5 m tall, much branched, unarmed shrublet with appressedly hairy twigs, densely so at the nodes, Leaves with 1-2 cm long, hairy petiole; lamina elliptic-oblong to lanceolate, 3-12.5 cm x 1-3.5 cm, hairy both surfaces, attenuate at the base, entire, apically acute-acuminate. Flowers purple blue or pink or white, 4.5-5 cm long, in short, 1-5-flowered, axillary or terminal spikes; bracts absent or lanceolate, 8-12 mm long, bristly on margins, scabrous, acute; bracteoles absent. Calyx deeply 4-cleft, outer 2 lobes much larger than the inner pair, ovate-lanceolate, 1.5-2.5 cm x 6-8 (-10) mm, acuminate, bristly toothed on margins, hairy or glabrescent, inner 2-lobes linear, 7-8 mm long, pointed. Corolla glandular-pubescent outside, tube 3.5-4 cm long, infundibuliform, limb with oblong-obovate, up to 2 cm long, unequal lobes. Filaments hairy, anthers oblong, c. 3 mm long. Ovary oblong-conical, mm long; style c. 4 cm long. Capsule ellipsoid, 1.5-2 cm long, glabrous, pointed at the base and apex, 4-seeded. Seeds orbicular, c. 4 mm across, appressed hairy.",general,ref_wfo-0000560242,English,100016
wfo-0000354532,"An undershrub, 60-150 cm, with terete (neither striate nor angular) glabrous, dark purple twigs. Leaves with up 1 cm long petiole; lamina linear-lanceolate, 9-15 x 2-3 cm broad, glabrous on both sides, entire, apex acute-acuminate attenuate basally. Inflorescence terminal or axillary spikes or panicle of spikes, up to 10 cm long, more than 1.5 cm across. Flowers subsessile, white with purple streaks and spots inside, 1.6-2 cm long; bracts lanceolate, c. 4 long; bracteoles absent. Calyx 5-lobed almost to the base, lobes linear-lass late, c. 5 mm long, acuminate. Corolla tube cylindrical, c. 1 cm long, new glabrous, limb bilabiate, upper lip c. 8 mm long, shallowly 2-lobed, lower c. 1 cm long, 3-lobed, spreading. Staminal filaments c. 5 mm long, anther lobes c. 2 mm long, unequal. Ovary oblong-cylindric, c. 2 mm long, style filiform, c. 1 long, puberulous. Capsule glabrous, 4-seeded.",general,ref_wfo-0000354532,English,100057
wfo-0000353573,"Annual, diffusely branched, up to 30 cm, herb with procumbent to ascending strigose-hispid, sulcate branches. Leaves on c. 5 mm long petioles; lamina lanceolate-elliptic, 1-2 (-3) x 0.5-1 (-1.2) cm, scabrid above, glabrescent strigose hairy beneath, entire, acute at base and apex, drying dark green. Inflorescence a terminal, up to 2.5 cm long spike. Flower pink, c. 10 mm long; bracts obovate, c. 4 mm long, midrib broad, scarious-ciliate on margins; bracteoles lanceolate, slightly longer and broader than bracts, margins narrowly scarious-ciliate, acute. Calyx 4-lobed, rarely a 5th rudimentary lobe present, lobes lanceolate, c. 4 mm long, subequal, margins scarious-ciliate, acute. Corolla tube c. 3.5 mm long, narrow, upper lip nearly as long as tube, slightly notched; lower lip ± orbicular, c. 6 mm long, puberulous outside, 3-lobed. Staminal filaments c. 3 mm long, anthers oblong, c. 0.7 mm long. Ovary oblong, pubescent; style filiform, c. 4 mm long, Capsule oblong, as long as style, sparsely hairy, pointed. Seeds ± ovate, c. 1 mm long.",general,ref_wfo-0000353573,English,100064
wfo-0001033292,"An erect, up to 90 cm, perennial shrublet with succulent, 4-angled or deeply 4-furrowed, white pubescent twigs. Leaves almost glabrous, subsessile or with up to 8 cm long, winged petiole; lamina of lower leaves on sterile shoots elliptic-oblong, 25-30 x 6-8 cm, long acuminate, lamina of flowering shoot leaves ovate or ovate-lanceolate, 3-7.5 x 2.5-3 cm, crenate to sharply serrate. Flowers blue to dark blackish-blue, 2.5-3 cm across, solitary or paired, in interrupted leafy, up to 15 cm long spikes; bracts foliaceous, up to 2.5 cm persistent; bracteoles linear-oblong, hairy. Calyx 5-lobed to the base, c. 1.2 long, lobes linear-oblong, c. 8-10 mm long, ± obtuse, patently glandular-hairy, slightly enlarged in fruit. Corolla 2.5-4.5 cm long, glabrous externally, tube pale to nearly white, cylindrical below, curved above, hairy within, limb lobes subequal, obtuse. Filaments hairy, anthers muticous at base. Style tips recurved. Capsule oblong, 1.6-1.8 cm long, 4-seeded, glabrous. Seeds c. 3 mm hairy.",general,ref_wfo-0001033292,English,100111
wfo-0000354128,"An erect much branched, gregarious, evergreen shrub, up to 2 (-2.5) m. Stem ± quadrangular to nearly terete, young shoots greyish-pubescent Leaves with (1-) 1.5-3.5 (-4.5) cm long petioles; lamina elliptic-lanceolate, 10-20 x 3.5-8 cm, glabrous above, pubescent on nerves beneath, basally attenuate, entire, acuinate. Flowers white, c. 3 cm long, nearly sessile, in terminal and axillary spikes, up to 10 cm long, 2.5-3 cm broad; bracts leafy, broadly-elliptic, 1.5-2.5 x (0.8) 1-1.5 (-1.8) cm, pubescent; bracteoles elliptic-oblong to lanceolate, 1-1.5 (-2) x 0.3-0.5 cm, acute, minutely pubescent. Calyx 5-lobed, lobes linear-lanceolate, 6-10 x c. 2 mm, acute, puberulous, imbricate. Corolla pale-white, tube 1.2-1.5 cm long, pubescent outside, throat villous, limb 2-lipped, upper lip erect, shortly bifid, galeate, lower lip with 3 elliptic, obtuse lobes. Stamens 2, filaments 1-1.5 cm long, anthers oblong, basally apiculate. Ovary oblong, c. 3 mm long, style 2-2.5 cm long. Capsule stipitate, broadly clavate, c. 2.5 cm long, 4-seeded, pubescent. Seeds ± orbicular, 2-3 mm across, glabrous.",general,ref_wfo-0000354128,English,101537
wfo-0001044539,"A suberect perennial herb up to 90 cm, with young shoots hairy and woody rootstock. Leaves nearly sessile or sometimes on up to 2.5 cm long, winged petiole; lamina elliptic or ovate-elliptic, 12-25 x 4-6.5. (-8) cm, hairy to glabrescent on both sides, basally attenuate, serrate, acuminate. Flowers dark blue to purple, c. 3.5 cm long, in capitate heads or condensed spikes; bracts small, orbicular-oblong, c. 7-8 mm long, caducous; bracteoles similar to but smallar than bracts. Calyx lobes 5, unequal, linear-oblong, 7-8 mm long, the longest lobe c. 1 cm long, glandular-pubescent to almost glabrous, obtuse, enlarged in fruit. Corolla glabrous, tube pale, curved, limb c. 1.5-1.8 cm across, with rounded lobes. Staminal filaments glabrous. Capsule oblong, c, 1.5 cm long, glandular-pubescent, 4-seeded. Seeds ovate, c. 4 mm long, silky hairy.",general,ref_wfo-0001044539,English,101683
wfo-0000401309,"An erect, up to 60 (-70) cm tall herb with stout, 4-angled stems, swollen and purplish at the nodes, tender parts sparsely hairy. Roots slender, elongated, tuberous. Leaves with up to 2 cm long petiole; lamina oblong-obovate to oblanceolate, 5-9 (-10) x 2-4 cm, shining, basally cuneate to attenuate, entire to ± undulate, obtuse to somewhat acute, often mucronulate. Flowers shortly pedicellate, blue-violet, showy, 5-5.5 cm long, c. 3.5 cm across, solitary or in 1-3-flowered, terminal or axillary cymes; bracts and bracteoles linear-lanceolate, c. 5 mm long. Calyx lobes ± equal, linear, 1.3-2 cm long, ciliate, acute. Corolla pubescent outside, tube c. 3.5 cm long, abruptly narrowed at base, limb 5-lobed, lobes ± equal, ovate, c. 1.5 cm long, patent. Stamens with oblong-sagittate, c. 4 mm long, puberulous anthers. Ovary oblong, c. 4 mm long, glabrous; style 2.3-2.5 cm long. Capsule oblong, 2.2-3 cm long, glabrous or scabrescent, 24-28-seeded, minutely beaked at tip. Seeds flattened, orbicular, c. 2 mm across, hairy.",general,ref_wfo-0000401309,English,103304
wfo-0000708612,"An erect, up to 2.5 (-3) m tall shrub. Leaves shortly petiolate, ovate-elliptic, 10-20 x 5-12 cm, glabrous, purplish or green mottled with yellow, basally attenuate, entire, acuminate-acute. Flowers dark purple or crimson, c. 4.5-5 cm long; pedicels c. 5 mm long; in terminal panicles of cymes; peduncle sparingly puberulous; bracts and bracteoles inconspicuous. Calyx lobes linear, c. 3-4 mm long. Corolla glabrous externally, glandular-pubescent within, c. 2 cm across, tube narrow cylindrical, c. 1.5 cm long, upper lip erect, lower lip reflexed. Stamens exserted, attached at the throat of tube, filaments c. 5 mm long; staminodes linear, c. 1.5 mm long, Ovary oblong, c. 2.5 mm long; style c. 2.5 cm long.",general,ref_wfo-0000708612,English,100045
wfo-0000726761,"A stout, suffrutescent, strigose-hispid, upto 80 cm tall herb, armed with 6 axillary, 2-3.5 cm long, straight or curved thorns at each node. Leaves in pseudowhorls of 6, outer 2 larger, sessile, lanceolate or oblong-lanceolate, (4-) 5-12 (-15) x 1.5-2.5 cm, white-hairy, margins inconspicuously dentate, base cuneate, acute at the apex. Flowers in axillary, whorled fascicles, purplish-blue, c. 2.5 cm long; bracts lanceolate, 2-2.5 cm long, hairy; bracteoles linear, 6-8 mm long, pilose. Calyx 4-lobed, lobes unequal, lanceolate, acute, outer ones longest, 2-2.2 cm long, limb 2-lipped, 5-lipped, 5-lobed, lips subequal, upper lip 2-lobed, lower trilobite, lobes obtuse. Stamens 4, all fertile; anthers oblong, c. 2.5 mm long. Ovary oblong, 8-ovuled, hairy at tip; style filiform, upto 2.5 cm long. Capsule oblong, shorter than calyx, glabrous, 4-8-seeded. Seeds orbicular, c. 3 mm across, on long curved retinacula.",general,ref_wfo-0000726761,English,100049
