taxonID,description,type,source,language,created,contributor,audience,license,rightsHolder,rights,
wfo-0000555197,"native to tropical Africa, Asia and Malaya.",distribution,236D2FCE-305C-492B-A2C2-5920A5960A7A,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000410251,"occurs in tropical America, southern and eastern Africa, Hong Kong, Guam, Amboina, the Philippine Islands.",distribution,DE68B0FF-5598-4B62-AEF2-77B3A290C37B,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540014,"This species is found in dense forests from Mexico to Bolivia (Leonard, 1958).",distribution,B2C7C8B3-E022-45DD-ACB8-9FBC76C4BC32,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540071,It ranges from southern Mexico to northern South America and in the West Indies.,distribution,0D342896-EB1A-431B-AD34-94FC73544A6B,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540263,ranging from Mexico to northern South America.,distribution,7739B4BA-79EE-42E1-845F-99799EF7883A,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540317,Colombia and Panama.,distribution,533D7D00-CA28-48BF-B615-DDEB73950278,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000645881,Costa Rica and Panama.,distribution,11FBC575-DD07-45DF-86EB-92C986158FC7,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000645891,Costa Rica and Panama,distribution,3A675DEB-2BCC-4913-9204-383F96F3C3C2,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646068,Costa Rica and adjacent Panama,distribution,B76F82D0-5761-4AC5-958A-9AC3114D5722,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646080,"occurs in southern Florida, the West Indies, Panama and northern South America.",distribution,AF1CDC29-0B2D-4067-B1A2-D3BCA89BDE5E,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000720846,This species is found in rain forests at lower elevations in Panama and Costa Rica.,distribution,6C51EF4D-0F22-42BB-80A5-A5973A25438A,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000726797,"This species is found along streams and rivers or on the shores of ponds and lakes, often partly submerged and sometimes floating, from Mexico to Central Argentina.",distribution,C44161FE-454C-45AA-87E0-F63D12090ECE,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000394661,This woodland species ranges from Jalisco to Peru.,distribution,F422A48D-2C00-4C0A-B077-88806405048A,English,2013-01-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000705933,This species ranges from the West Jndies and Mexico to Panama and from Brazil and Bolivia to Argentina.,distribution,34AA102A-B155-4123-A60C-E01CDC1E5FFC,English,2013-01-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044015,Costa Rica and Panama.,distribution,06A80D3E-E19E-4797-99D5-588408BF2712,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
