taxonID,description,type,source,language,created,contributor,audience,license,rightsHolder,rights,
wfo-0000851254,woody bamboo,habit,131C4531-67D3-4D7F-8877-318B39FBF770,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297905,Shrubs or small trees,habit,71FD529E-62C1-4F7E-8F43-ADDC6710D523,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297702,Trees,habit,B6EDE48B-3501-4597-863C-E176553E21E0,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000851440,Woody bamboo,habit,F094CD3D-CE43-4017-BE70-3A2DC7872717,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001045160,subshrub,habit,C1581223-E45D-4340-89E2-6E3BFFBBD939,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000264397,tree,habit,A66F2BBA-4125-4E8C-880C-2A1FACFF9E2E,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001078561,Shrub,habit,F128859E-F879-487D-A854-B271DC431C25,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001078562,Tree,habit,5815D20C-8C62-4A5E-9D3F-5F1E12CB9F60,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000729615,Tree,habit,A087749A-F81A-47BD-95E8-89C5C3E2EBB1,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000848832,herb,habit,95FCBD8F-4DC5-4033-8392-93BEDAF8CFFB,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646364,herbs,habit,8D858C05-57E2-4DE7-8231-0B3D9E7BD5DE,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001218161,herbs,habit,5CB4EB41-8C7B-49EB-9950-1E8FC7F854A6,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000656184,Subshrubs or rarely suffrutescent herbs,habit,EE25A553-BCF8-454A-B29C-8AC79F81A6C7,English,2013-10-23,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000656279,herbs,habit,F20ED642-12F3-4D3F-9E28-EE2417377204,English,2013-10-23,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000656322,herbs,habit,B14B06DE-022C-492E-BA65-7D2B30161203,English,2013-10-23,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001062310,Arbol,habit,86FAC8D9-00A3-4662-8D86-C78395DC82B6,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379273,herbs,habit,6B86A64B-2DE0-428D-8885-49E455983D7C,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000564806,herbs,habit,62051466-E7B6-4071-8E12-D1E48658F459,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000657471,lianas,habit,7DABA881-19E5-4036-8863-C48103F3148E,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379289,herbs,habit,1360481D-F278-45A1-9AD5-F413714C34F8,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379280,herbs,habit,DB722BF8-EAB6-49F3-8094-2C19F96E9078,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379261,herbs,habit,06A694A6-C1D7-40B1-BBE3-DA4C611989A9,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001065328,tree,habit,79780C47-357C-4F8D-8383-65A5A231E7F9,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001082675,shrub,habit,3416ED60-0BA4-498C-A46C-C3E764D8FACC,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000427847,Trees,habit,DFC8500C-3A25-4FBE-B989-6AA129E7C316,English,2013-10-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001072043,Trees,habit,C306FC8D-5F2F-4256-8177-7EFF2BC43102,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001082671,shrub,habit,D4D23479-5A33-4F2E-8144-DE5C1B40164A,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001082674,Tree,habit,CDD49621-268B-48BF-9716-5796A5933E65,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000506059,Shrub or tree,habit,1A615569-B8C3-47E8-BB1F-57066EA921CB,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000449091,Shrub,habit,D7E2C866-8513-469B-A503-C94358180C4A,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000448983,Tree,habit,5FFCA8B2-B02F-4922-B322-6AB445E9EC96,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000449099,Tree,habit,A843389C-E9BA-46B4-B28D-745B4C2EC0F4,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000946271,Epiphytes,habit,E1A1EE6A-EAB9-4EF8-8FF7-7ED2277C2C6F,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000238319,herbs,habit,027E9CC9-C9F8-4C78-BD8C-4EF98959EB26,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000298858,Shrubs or small trees,habit,670A45DA-DCD8-4320-91E4-1055C84B7D12,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000277254,herbs,habit,11F71F5F-70DD-48C5-A0A5-904E2A65EB34,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000327811,herbs,habit,7038C22A-EF51-4EDB-94E0-7B9E9466BCB7,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000873529,bamboo,habit,D81D0EC8-2118-4F5B-9E72-1DC9EA5435B5,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000895791,woody bamboo,habit,1A464FEE-13FD-4851-89B6-00C3488EE79E,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000873546,bamboo,habit,6E329694-34E9-4B24-B7C3-C6F3C836CFB7,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000873508,bamboo,habit,926BCD15-C1BE-47D5-9E8E-DF6B6490D763,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000881053,Dwarf woody bamboo,habit,12BC0BC5-27D1-4224-8B8C-EBA7B01429EE,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000851456,woody bamboo,habit,C8D63150-78AC-4165-AC8D-332F551BB07A,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000873505,bamboo,habit,EFAB8CBD-61E9-47BC-B6E7-AE51DE38EE60,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297741,Shrub or treelet,habit,23C9AA73-A6DA-4825-92C7-0360DF0A3D17,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297605,Shrubs,habit,4A2B0D13-8715-4FC2-8B74-FAD4812D899C,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297627,Tree? or shrub?,habit,97FC3153-35FA-46BA-8E82-A4463CF43958,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297730,Shrubs,habit,756AF4A6-38CC-4CE8-9BA9-60B450047BF8,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297810,shrub,habit,52A1A94E-BDD1-4555-BEAD-72412A8CC3F7,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297832,Trees or treelets,habit,5B6C4748-476B-47CD-92AA-5740B937C565,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297813,Shrub,habit,EAF2BC2E-4B9D-4DB9-A8F6-E21A1FE560E2,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297913,Shrubs,habit,D5CFAB30-2C76-4AEB-BF4A-701C2730CFB4,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
