taxonID,description,type,rightsHolder,source,bibliographicCitation,url,rights,license
wfo-0000000161,"In mountains, on wooded slopes with oak and pine 5500-7500 ft.",distribution,The New York Botanical Garden,433586,"Stern, William L. & Zamuco, Isidro T. 1965. Identify of 'Tinong' (Dipterocarpaceae). Brittonia. 17: 35-46.",https://doi.org/10.2307/2805390,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000000616,"This species occurs in the state of Goiás and neighboring Minas Gerais at the margins of tall deciduous forests, at ca. 500 m or higher altitudes, growing in partial shade in pockets of soil among limestone boulders. Collected in flower from February to April.",distribution,The New York Botanical Garden,207362,"Moraes, M. D. & Semir, J. 2009. A revision of Brazilian Dimerostemma (Asteraceae, Heliantheae, Ecliptinae), with a new species and taxonomic adjustments. Brittonia. 61 (4): 341-365.",https://doi.org/10.1007/s12228-009-9083-y,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000000880,"Mountains of northwestern San Miguel County, New Mexico.",distribution,The New York Botanical Garden,313010,"Cronquist, Arthur J. 1947. Revision of the North American species of Erigeron, north of Mexico. Brittonia. 6: 121-302.",https://doi.org/10.2307/2804741,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000000926,"GEOGRAPHICAL DISTRIBUTION AND HABITAT: Alberta and British Columbia south to north and western Wyoming, northern Utah and northern Cali- fornia; plants of grassy and open slopes and hillsides at lower altitudes, in areas becoming dry during the summer. The plants of the type collection are slender, narrow leaved and with 1-3 heads.",distribution,The New York Botanical Garden,479030,"Camp, Wendell H. & Gilly, Charles L. 1943. Part II: Systematic Treatment, [Arnica alpina-Arnica discoidea]. Brittonia. 4 (3): 405-457.",https://doi.org/10.2307/2804901,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000001043,"Indiana, Ohio, and Wisconsin; occasional in the vicinity of New York City, in Penlnsylvania and in New Jersey.",distribution,The New York Botanical Garden,318236,"Long, Robert W. 1961. Biosystematics of two perennial species of Helianthus (Compositae), II. Natural populations and taxonomy. Brittonia. 13: 129-141.",https://doi.org/10.2307/2805349,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000001458,"Trinity Mountains, California.",distribution,The New York Botanical Garden,313010,"Cronquist, Arthur J. 1947. Revision of the North American species of Erigeron, north of Mexico. Brittonia. 6: 121-302.",https://doi.org/10.2307/2804741,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000001550,"ARGENTINA: Buenos Aires, Corrientes, Misiones, La Pampa, Tucuman. BRAZIL: Santa Catarina, Rio de Janeiro, Sao Paulo. PARAGUAY; Alto Parana, Guaira. URUGUAY: Colonia, Rocha, Treinta y Tres.",distribution,The New York Botanical Garden,326903,"Wells, James R. 1965. A taxonomic study of Polymnia (Compositae). Brittonia. 17: 144-159.",https://doi.org/10.2307/2805240,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000001720,"COLOMBIA: Antioquia, Boyacá, Caldas, Cauca, Cundinamarca, Narifio, Norte de Santander, Santander, Valle. ECUADOR: Azuay, Carchi, Imbabura, Tungurahua. VENEZUELA: Mérida, Táchira.",distribution,The New York Botanical Garden,326903,"Wells, James R. 1965. A taxonomic study of Polymnia (Compositae). Brittonia. 17: 144-159.",https://doi.org/10.2307/2805240,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000001940,endemic to the puna formations in northern Chile and adjacent Argentina and Bolivia (ca. 4200 m). Flowering: Jan-Mar.,distribution,The New York Botanical Garden,100260,"Dillon, Michael O. & Sagástegui Alva, Abundio. 1996. Revision of the dioecious genus Chersodoma Phil. (Senecioneae, Asteraceae), including a new species and status change. Brittonia. 48: 582-604.",https://doi.org/10.2307/2807880,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000001955,"Known from White Horse, Yukon Territory, to Richards Island, at the mouth of the Mackenzie River.",distribution,The New York Botanical Garden,313010,"Cronquist, Arthur J. 1947. Revision of the North American species of Erigeron, north of Mexico. Brittonia. 6: 121-302.",https://doi.org/10.2307/2804741,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000002124,"Dry, open, often rocky places; interior Alaska and Yukon Territory, south through British Columbia, Alberta, Sas- katchewan, western North Dakota, and eastern Washington, to western Nebraska, Colorado, Utah, northern Arizona, and Socorro County, New Mexico.",distribution,The New York Botanical Garden,313010,"Cronquist, Arthur J. 1947. Revision of the North American species of Erigeron, north of Mexico. Brittonia. 6: 121-302.",https://doi.org/10.2307/2804741,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000002629,"Various habitats, but most commonly in rocky situations in the mountains; Greenland to Alaska, south in the cordillera to South Dakota, Colorado, northern Arizona, and California; also in Quebec.",distribution,The New York Botanical Garden,313010,"Cronquist, Arthur J. 1947. Revision of the North American species of Erigeron, north of Mexico. Brittonia. 6: 121-302.",https://doi.org/10.2307/2804741,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000002723,"Mountains; southern Wyoming, Colorado, Utah, New Mexico, Arizona, and the Davis Mts. of Texas. Not common.",distribution,The New York Botanical Garden,313010,"Cronquist, Arthur J. 1947. Revision of the North American species of Erigeron, north of Mexico. Brittonia. 6: 121-302.",https://doi.org/10.2307/2804741,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
