Identifier	bibliographicCitation	DOI
335612	Sastre, Claude. 1994. Three new taxa of Ouratea (Ochnaceae) from South America. Brittonia. 46: 309-313.	https://doi.org/10.2307/2806912
20434	Strong, Mark T. 1996. A new unispiculate species of Bulbostylis (Cyperaceae) from Brazil. Brittonia. 48: 96-99.	https://doi.org/10.2307/2807669
110367	Meerow, Alan W. & Silverstone-Sopkin, Philip A. 1995. The rediscovery of Plagiolirion horsmannii Baker (Amaryllidaceae). Brittonia. 47: 426-431.	https://doi.org/10.2307/2807573
479797	Jin, Xiao-jua. 2005. Bulbophyllum wuzhishanensis (Orchidaceae), a New Species from Hainan, China. Brittonia. 57 (3): 255-257.	https://doi.org/10.1663/0007-196x(2005)057[0255:bwoans]2.0.co;2
187614	Balslev, Henrik & Mori, S. A. 1981. Qualea amapaensis (Vochysiaceae), a new and phylogeogrphically interesting species from Brazil. Brittonia. 33: 5-8.	https://doi.org/10.2307/2806567
20096	Berg, Cornelius C. 1999. A new species of Ficus (Moraceae) from Bolivia and Peru. Brittonia. 51: 395-397.	https://doi.org/10.2307/2666521
388630	Pipoly III, John J. 1981. Contributions toward a monograph of Cybianthus (Myrsinaceae): I. Subgenus Iteoides and the identity of Conomorpha loretensis. Brittonia. 33: 493-497.	https://doi.org/10.2307/2806749
395964	Lewis, Harlan & Raven, Peter H. 1958. Clarkia franciscana, a new species from central California. Brittonia. 10: 7-13.	https://doi.org/10.2307/2804688
91035	Henderson, A., et al. 2000. Pollination of Bactris (Palmae) in an Amazon forest. Brittonia. 52: 160-171.	https://doi.org/10.2307/2666507
185761	Téllez-Valdés, O. & Geeta, R. 2007. Dioscorea howardiana, a new species in Dioscorea section Trigonobasis (Dioscoreaceae). Brittonia. 59 (4): 370-373.	https://doi.org/10.1663/0007-196x(2007)59[370:dhansi]2.0.co;2
20459	Graham, Shirley A. T. & Cavalcanti, Taciana B. 1999. A new yellow-flowered species of Cuphea (Lythraceae) from Bolivia. Brittonia. 51: 303-306.	https://doi.org/10.2307/2666610
39902	Lombardi, Julio A. 2002. Cissus pinnatifolia (Vitaceae), a new species from the Atlantic coast of Brazil. Brittonia. 54: 175-177.	https://doi.org/10.1663/0007-196x(2002)054[0175:cpvans]2.0.co;2
121530	Pacheco, L. 2004. A new species of Diplazium (Woodsiaceae) from Ecuador. Brittonia. 56 (2): 121-123`.	https://doi.org/10.1663/0007-196x(2004)056[0121:ansodw]2.0.co;2
304254	Ando, T. & Hashimoto, G. 1994. A new Brazilian species of Petunia (Solanaceae) from the Serra da Mantiqueira. Brittonia. 46: 340-343.	https://doi.org/10.2307/2806919
115273	Harker, M. & Jiménez Reyes, Noemi. 2002. Verbesina barrancae (Compositae, Helianthae), a new species from Jalisco, Mexico. Brittonia. 54: 181-189.	https://doi.org/10.1663/0007-196x(2002)054[0181:vbchan]2.0.co;2
19946	Villarreal-Quintanilla, José Á. 1997. A new species of Abelia (Caprifoliaceae) from western Mexico. Brittonia. 49: 84-86.	https://doi.org/10.2307/2807700
274935	Grande Allende, J. R., et al. 2011. Convolvulaceae neotropicae novae vel minus cognitae, II. Ipomoea yaracuyensis, a new species from the cloud forests of the Coastal Cordillera of Venezuela. Brittonia. 63 (3): 365-369.	https://doi.org/10.1007/s12228-011-9179-z
307903	Koyama, Tetsuo M. 1976. A new species of Torulinium [T. correllii] (Cyperaceae) from the Bahama Island. Brittonia. 28: 252-254.	https://doi.org/10.2307/2805835
31453	Kral, Robert & Thomas, Wm. Wayt. 1988. Two New Species of Rhynchospora Section Psilocarya (Cyperaceae). Brittonia. 40(1): 32-37.	https://doi.org/10.2307/2806871
86437	Kuijt, Job. 1997. Phoradendron olae Kuijt, a new species from Mexico pivotal in the taxonomy of the genus, with comments on P. californicum Nutt. Brittonia. 49: 181-188.	https://doi.org/10.2307/2807679
20202	Salazar Chávez, Gerardo A. & Soto Arenas, Miguel Á. 1996. A new species of Ornithocephalus (Orchidaceae) from Oaxaca, Mexico. Brittonia. 48: 209-212.	https://doi.org/10.2307/2807815
31366	1996. Brittonia. 48: 517.	hhttps://doi.org/10.2307/2807870
31416	"Luteyn, James L. & Sylva S, D. S. 1999. ""Murrí"" (Antioquia Department, Colombia): Hotspot for neotropical blueberries (Ericaceae: Vaccinieae). Brittonia. 51: 282."	https://doi.org/10.2307/2666609
263193	Almeda, F. 1981. Blakea penduliflora (Melastomataceae): a new green-flowered species from Costa Rica. Brittonia. 32: 508-511.	https://doi.org/10.2307/2806161
399458	Shaw, A. Jonathan & Buck, William R. 1994. Brachymenium deceptivum sp. nov. (Bryaceae) from Ethiopia. Brittonia. 46: 95-98.	https://doi.org/10.2307/2807150
479470	Baker, Edmund G. 1937. Botanical Results of the Archbold Expedition No. 9: A New Papuan Desmodium. Brittonia. 9: 318.	https://doi.org/10.2307/2804756
478697	Moldenke, Richard G. 1934. A monograph of the genus Aegiphila. Brittonia. 1 (5-6): 245-471.	https://doi.org/10.2307/2804642
