taxonID,Identifier,bibliographicCitation,url
wfo-4000029336,263270,"Alverson, William S. 1991. A synopsis of Phragmotheca (Bombacaceae), with two new species and a new sub-species. Brittonia. 43: 73-87.",https://doi.org/10.2307/2807297
wfo-4000004636,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000035705,479707,"Bennett, David E. & Christenson, Eric A. 1994. New Species and New Combinations in Peruvian Orchidaceae. Brittonia. 46 (1): 24-53.",https://doi.org/10.2307/2807455
wfo-4000027773,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000001071,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000166417,307194,"Forero, Enrique. 1972. Studies in Stryphnodendron (Leguminosae: Mimosoideae) including two new taxa. Brittonia. 24: 143-147.",https://doi.org/10.2307/2805864
wfo-0000750906,307242,"Freeman, J. D. 1975. Revision of Trillium subgenus Phyllantherum (Liliaceae). Brittonia. 27: 1-62.",https://doi.org/10.2307/2805646
wfo-0000750896,307242,"Freeman, J. D. 1975. Revision of Trillium subgenus Phyllantherum (Liliaceae). Brittonia. 27: 1-62.",https://doi.org/10.2307/2805646
wfo-0000750817,307242,"Freeman, J. D. 1975. Revision of Trillium subgenus Phyllantherum (Liliaceae). Brittonia. 27: 1-62.",https://doi.org/10.2307/2805646
wfo-4000024525,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000025628,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000020188,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000304957,335759,"Szlachetko, Dariusz L. 1995. Two new species of Sauroglossum (Orchidaceae) from Peru and Brazil. Brittonia. 47: 143-146.",https://doi.org/10.2307/2806953
wfo-4000029495,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000031325,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000033145,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000950881,479709,"Christenson, Eric A. 1994. A New Orchid from Saul, French Guiana: Epidendrum oldemanii. Brittonia. 46 (1): 54-56.",https://doi.org/10.2307/2807456
wfo-4000018013,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-4000025318,108094,"Fryxell, Paul A. 1997. The American genera of Malvaceae --- II. Brittonia. 49: 204-269.",https://doi.org/10.2307/2807683
wfo-0000270671,310003,"Webster, Grady L. 1970. A revision of Phyllanthus (Euphorbiaceae) in the continental United States. Brittonia. 22: 44-76.",https://doi.org/10.2307/2805721
