taxonID,description,type,bibliographicCitation,urls,rightsHolder,source,rights,license
wfo-0001249473,"Shrubs 1 m tall, the stems with setae 5 mm long on lower stem and otherwise densely stellate-pubescent, the hairs <1 mm diam., the arms arching and overlapping. Leaf blades broadly ovate, 4-5 x 4-5 cm, deeply cordate, obscurely undulate-crenate to subentire, obtuse or subacute, notably discolorous, palmately 7-nerved, stellate-pubescent above and beneath (the indumentum beneath similar to that of stem, but sparser above); petioles often equaling or exceeding the blade, densely stellate-pubescent; stipules subulate, ca. 3 mm long. Flowers solitary in the leaf axils, the pedicels ca. 3 cm long, stellate-pubescent like stem and in distal portion densely setose with ferruginous setae 4-5 mm long; involucellar bracts ca. 12 (?), linear-lanceolate, 16-18 x 1 mm, copiously setose with ferruginous setae 4-5 mm long (radiating outward), with underlying stellate-pubescence; calyx 12-13 mm long, deeply divided, the lobes 3-ribbed, 10 mm long, 4 mm wide, densely stellate-pubescent; petals 4 cm long, red, minutely and obscurely stellate-pubescent externally; genitalia not seen. Fruits unknown.",general,"Fryxell, Paul A. 1999. Pavonia Cavanilles (Malvaceae). Fl. Neotrop. Monogr. 76: 1-284.",http://www.jstor.org/stable/4393884,The New York Botanical Garden,85148,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001249463,"Frutices, caulibus petiolisque heterotrichibus; laminis foliorum hastatis atque 3-lobis, in superficie Superioris pilis simplicibus curvatis; floribus aggregatis in apicibus; bracteis involucellorum 5, brevi-ciliatis; calycibus 5 mm longis; corollis ca. 1 cm longis, flavidis; fructibus ignotis.",general,"Fryxell, Paul A. 1999. Pavonia Cavanilles (Malvaceae). Fl. Neotrop. Monogr. 76: 1-284.",http://www.jstor.org/stable/4393884,The New York Botanical Garden,85148,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001249463,"Shrubs 1.5 m tall, the stems covered with stellate hairs of two size classes (heterotrichous), the larger 0.6-0.9 mm diam., yellowish, scabridulous, scattered, the smaller 0.2-0.3 mm diam., whitish, densely overlapping. Leaf blades hastately 3-lobed, up to 9 x 7 cm (across basal lobes; the central lobe 2-3 cm wide), basally cordate, serrulate, acute, palmately 7-9-nerved, discolorous, the upper leaf surface with curved simple hairs 0.3-0.6 mm long, the lower surface with stellate hairs ca. 1 mm diam.; petioles 2-5 cm long, heterotrichous like stem, the larger yellowish hairs very dense distally; stipules triangular-falcate, to 7 x 3-4 mm (shorter and wider in the inflorescence), sparsely pubescent. Flowers aggregated at tips of branches, the pedicels 1.5-2.5 cm long, slender, stellate-pubescent and with underlying glandular puberulence; involucellar bracts 5, lanceolate, 5-7 x 1 mm, ciliate (hairs 0.5 mm); calyx 5 mm long, more densely pubescent than involucel; petals ca. 1 cm long, yellow. Fruits unknown.",general,"Fryxell, Paul A. 1999. Pavonia Cavanilles (Malvaceae). Fl. Neotrop. Monogr. 76: 1-284.",http://www.jstor.org/stable/4393884,The New York Botanical Garden,85148,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001244225,"Frútices gráciles sparse pubescentes; laminis foliorum late ovatis; stipulis parvis reflexis; floribus solitariis axil-laribus; bracteis involucellorum 8 linearibus vel leniter spat-uliformibus calycem subaequantibus; corollis rubellis, an-droecio exserto ut videtur; fructibus ignotis.",general,"Fryxell, Paul A. 1999. Pavonia Cavanilles (Malvaceae). Fl. Neotrop. Monogr. 76: 1-284.",http://www.jstor.org/stable/4393884,The New York Botanical Garden,85148,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001244225,"Slender shrubs, the stems sparsely and minutely stellate-pubescent and with denser lines of recurved simple hairs running longitudinally. Leaf blades broadly ovate with a weak tendency to be 3-lobed, 3-5 x 2-4 cm, basally cordate, coarsely crenate (2-3 teeth per cm), acute, palmately 5-nerved, slightly discolorous, sparsely stellate-pubescent, the hairs ca. 0.5 mm diam.; petioles ca. 1/3 length of blade, with pubescence like stem; stipules 2 mm long, subulate, reflexed. Flowers solitary in the leaf axils, the pedicel 1.5 cm long in flower, more densely pubescent than stem, with stellate and recurved hairs; involucel of 8 linear or weakly spatulate, distinct bracts, each 12-13 x 1-1.2 mm at anthesis, sparsely pubescent; calyx ca. 11 mm long at anthesis, essentially ecostate, sparsely stellate-pubescent, less than half-divided, the lobes triangular, 5 x 3.5 mm; petals 3 cm long, apparently rose-pink; staminal column slender, incomplete on specimen but reaching as far as the distal margin of the petals without filaments emerging, therefore presumably exserted, the styles and stigmas unknown. Fruits unknown.",general,"Fryxell, Paul A. 1999. Pavonia Cavanilles (Malvaceae). Fl. Neotrop. Monogr. 76: 1-284.",http://www.jstor.org/stable/4393884,The New York Botanical Garden,85148,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001239419,"Arbor glabra 4 m alta, plene ramosa; ramuli juvenes teretes. Petioli 1.5-3.5 mm longi; laminae 7.7-10.0 cm longae, 3.9-4.6 cm latae, crassae, coriaceae, laeves, elliptico- usque oblongo-ovatae, ápice acuto vel abrupte acuto, basi rotundata usque acuta, abrupte attenuata in petiolo; superficies costae mediae plana, pagina inferior prominens, rotundata ad basem, angulascens acute ad 1/6-¼ distantiam versus apicem; nervi laterales desuper non manifesti vel obscurissime manifesti, desubter invisibiles in sicco. Cryptae stomatatae 35-85 µ diametris, 45-62 µ altae, 48-69 in mm2; sclerides terminales foliariae filiformes. Flores ignoti, Fructus axillares solitarii; pedunculi 2.0-6.3 mm longi cum internodiis 1-3; bracteae ignotae; pedicelli ca 2.6 mm longi. Hypanthium liberum ca 3.0 mm longum in fructu; lobi calycis effracti in fructu. Fructus depresso-globosi, 26-30 mm alti hypanthio excluso x 40-44 mm diametris in sicco, probabiliter 31-38 mm alti x 48-55 mm diametris in vivo, 5-spermi, fovea apicali 9.0 mm diametro 4.0-4.5 mm profunda. Semina brunnea, 21.5-23.0 mm longa, 16.9-19.4 mm lata (tangentialia), 17.3-18.7 mm crassa (secus radium), testa dura laevi; hilum basale, rotundum, 9.5-10.5 mm longum, 8.0-9.2 mm latum.",general,"Morley, Thomas. 1976. Melastomataceae tribe Memecyleae. Fl. Neotrop. Monogr. 15: 1-295.",http://www.jstor.org/stable/4393703,The New York Botanical Garden,308535,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001239419,"Midrib xylem tubular; stomatal crypts Type II, averaging in a leaf ca 57 µ in diam, 53 µ high, 58 per sq mm (the extreme dimensions and frequencies given above); upper epidermis mostly one cell thick, rarely two cells thick at scattered points in the leaf; mucilaginous walls occasional to frequent in single cells or the inner member of a doubled cell; hypodermis none; free cortical stone cells scattered for the length of the midrib above; terminal sclereids filiform, extending from epidermis to epidermis, turning at the epidermises and running next to them for a short distance and often branching before ending. Seeds flattened on the contact faces, thus wedge-shaped according to their number.",general,"Morley, Thomas. 1976. Melastomataceae tribe Memecyleae. Fl. Neotrop. Monogr. 15: 1-295.",http://www.jstor.org/stable/4393703,The New York Botanical Garden,308535,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001239250,"The epithet acknowledges the invaluable collecting activities of Ricardo de Lemos Froes, the discoverer of this species. Midrib xylem tubular; stomatal crypts Type III, averaging in a leaf ca 46m in diam, 25 µ high, 130 per sq mm (extremes given above); upper epidermis basically one cell thick but occasional cells enlarge and slide partly under the adjoining cells; these enlarged cells contain mucilaginous walls; hypodermis none; free cortical stone cells extending along the midrib for its length; terminal sclereids when stellate with central bodies round to rectangular, 1-2 times as long as wide, with few to many short to medium mostly blunt horizontal arms and prominent columnar arms.",general,"Morley, Thomas. 1976. Melastomataceae tribe Memecyleae. Fl. Neotrop. Monogr. 15: 1-295.",http://www.jstor.org/stable/4393703,The New York Botanical Garden,308535,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001239250,"Plantae glabrae lignosae, habitu ignoto; ramuli juvenes 4-alati. Petioli 1.2-1.8 mm longi; laminae 6.7-10.5 cm longae, 2.9-4.1 cm latae, ovato-ellipticae vel ellipticae, ápice acuto usque acuminato, basi acuta usque rotundata et cordata incisura 0.2-0.6 mm profunda; superficies costae mediae canaliculata, pagina inferior prominens, anguste 2-alata ad ángulos; nervi laterales desuper obscure visibiles, desubter visibiles in sicco. Cryptae stomatatae 22-73 µ diametris 20-31 µ altae, 100-160 in mm2; sclerides terminales foliariae stellatae usque columnares. Pedunculi 1-flori, 1-2 in quoque later ad nodos ramulorum aphyllorum usque 2.0 mm crassorum et ad nodos aphyllos intra zonam foliorum, singuli 1.7-2.8 mm longi cum internodiis 2;bractaeae 1.0-1.4 mm longae, triangulares, saltern sub anthesi persistentes; pedicelli 1.4-2.2 mm longi. Calyx ovarium inferior includens 10.5-11.2 mm longus, fere omnino connatus, lobis 0.1 mm longis, 0.3 mm latis, regulariter vel irregulariter rumpens sub anthesi, 5.3 mm findens, 5.3 mm longus ab staminibus; hypanthium liberum 3.2-3.8 mm longum. Petala immatura 5.0 mm longa, 4.0-4.4 mm lata, late ovata usque elliptica, acuta, ungue basali. Antherae 4.6-5.0 mm longae; thecae 4.3-4.7 mm longae; glándula 0.8-1.0 mm longa cum centro 2.3-2.7 mm ab apice antherae. Ovarium 4-loculare, placentatione axialibasilari; ovula 3-4 in quoque loculo. Fructus ignotus.",general,"Morley, Thomas. 1976. Melastomataceae tribe Memecyleae. Fl. Neotrop. Monogr. 15: 1-295.",http://www.jstor.org/stable/4393703,The New York Botanical Garden,308535,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000780933,"Small tree 4-13 m tall; branchlets conspicuously angulate when young, subterete when older. Leaves simple, alternate, narrowly obovate, acute to acuminate at apex, more or less cuneate at base, (10-)15-38 cm long, (3-)5-l 1.8 cm wide, (some leaves of every collection at least 20 x 6 cm), subcoriaceous to chartaceous, glabrous throughout except for a very few minute scattered lepidote scales, midrib raised slightly above and prominently below, secondary veins 10-15 on each side, usually separated by 1.5-2 cm, prominulous above and prominent below, the main veins usually drying tannish against a grayish-olive surface, petiole essentially absent. Flowers mostly terminal, sometimes in part ramiflorous from bracteate short-shoots, borne singly or in fascicles of 2 or 3, the pedicels slender, 3.5-5 cm long; calyx campanulate, 16-20 mm long, 910 mm wide, glabrous, irregularly 2-3-labiately split in upper third or half; corolla white, more or less tubular, barely exceeding calyx, 2.2-2.8 cm long, ca. 1 cm wide at top of tube, the lobes fused into an inconspicuous rim, lobes stalked-lepidote outside, tube glabrous outside, glabrous inside except a few stalked-lepidote glands near level of stamen insertion; stamens inserted ca. 10 mm from base of tube, the filaments 1-1.3 cm long, the thecae thick, hardly divergent, 3 mm long; ovary ovoid, 2 mm long, 1.5 mm wide, densely lepidote; unilocular except at base with the ovules on two parietal placentae; disc ca. 1 mm long and 3 mm wide. Fruit ovoid, more or less apiculate-acuminate at apex, rounded at base, smooth or rough-surfaced, 6-11 cm long, 4-5 cm wide; seeds thick, slightly bilobed, 11-14 mm long, 12-16 mm wide.",general,"Gentry, Alwyn H. 1980. Bignoniaceae--Part 1. (Crescentieae and Tourrettieae). Fl. Neotrop. Monogr. 25: 1-130.",http://www.jstor.org/stable/4393739,The New York Botanical Garden,26187,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
