Identifier,bibliographicCitation,Monograph,volume,stable_url
26187,"Gentry, Alwyn H. 1980. Bignoniaceae--Part 1. (Crescentieae and Tourrettieae). Fl. Neotrop. Monogr. 25: 1-130.",25,25,http://www.jstor.org/stable/4393739
26187,"Gentry, Alwyn H. 1980. Bignoniaceae--Part 1. (Crescentieae and Tourrettieae). Fl. Neotrop. Monogr. 25: 1-130.",25,25,http://www.jstor.org/stable/4393736
397826,"Kubitzki, K. & Renner, Susanne S. 1982. Lauraceae I (Aniba and Aiouea). Fl. Neotrop. Monogr. 31: 1-125.",31,31,http://www.jstor.org/stable/4393757
130362,"Madriñán, Santiago R. 2004. Rhodostemonodaphne (Lauraceae). Fl. Neotrop. Monogr. 92: 1-102.",92,92,http://www.jstor.org/stable/4393932
331375,"Sleumer, Hermann O. 1984. Olacaceae. Fl. Neotrop. Monogr. 38: 1-159.",38,38,http://www.jstor.org/stable/4393778
85148,"Fryxell, Paul A. 1999. Pavonia Cavanilles (Malvaceae). Fl. Neotrop. Monogr. 76: 1-284.",76,76,http://www.jstor.org/stable/4393884
308535,"Morley, Thomas. 1976. Melastomataceae tribe Memecyleae. Fl. Neotrop. Monogr. 15: 1-295.",15,15,http://www.jstor.org/stable/4393703
473053,"Luteyn, James L., et al. 1995. Ericaceae, Part II. The Superior-Ovaried Genera (Monotropoideae, Pyroloideae, Rhododendroideae, and Vaccinioideae P.P.). Fl. Neotrop. Monogr. 66: 560.",66,66,http://www.jstor.org/stable/4393857
268672,"Pedraza-Peñalosa, Paola. 2010. Disterigma (Ericaceae, Vaccinieae). Fl. Neotrop. Monogr. 108: 1-126.",108,108,http://www.jstor.org/stable/25800083
45752,"Frahm, Jan-Peter. 1991. Dicranaceae: Campylopodioideae, Paraleucobryoideae. Fl. Neotrop. Monogr. 54: 1-238.",54,54,http://www.jstor.org/stable/4393822
25507,"Henderson, A. 2000. Bactris (Palmae). Fl. Neotrop. Monogr. 79: 1-181.",79,79,http://www.jstor.org/stable/4393893
470689,"Smith, Lyman B. & Downs, Robert J. 1974. Pitcairnioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (1): 1-658.",14,14,http://www.jstor.org/stable/4393700
470689,"Smith, Lyman B. & Downs, Robert J. 1974. Pitcairnioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (1): 1-658.",14,14,http://www.jstor.org/stable/4393697
470689,"Smith, Lyman B. & Downs, Robert J. 1974. Pitcairnioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (1): 1-658.",14,14,http://www.jstor.org/stable/4393694
