taxonID,description,type,rightsHolder,source,bibliographicCitation,url,rights,license
wfo-0001061340,"A rare species confined to banen outcrops, steep slopes and open places in pine woods, at 1700-2500 m on the escarpment of Bryce Canyon National Park, Garfield Co., Utah, south along ridges and mesas into northem Kane Co. R.",distribution,The New York Botanical Garden,334163,"Grimes, J. E. 1990. A revision of the New World species of Psoraleeae (Leguminosae: Papilionoideae). Mem. New York Bot. Gard. 61: 1-114.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001061385,"At edge of chaparral, in bush-forests and montane forests, 1000-3700 m , always where moist. From estado Cauca, Colombia, depts. Canar, Chimborazo and Azuay, Ecuador, thence south along the Andes into depts. Ancash and Huanuco, Peru. Also in dept. Puno, P e m and Dept. de Santa Cruz, Bolivia.",distribution,The New York Botanical Garden,334163,"Grimes, J. E. 1990. A revision of the New World species of Psoraleeae (Leguminosae: Papilionoideae). Mem. New York Bot. Gard. 61: 1-114.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000135734,"Occasional in open or disturbed areas. Rosenberg (B314). Also on St. Croix, St. Thomas, and Tortola; Greater Antilles,  Texas, Mexico, Honduras, and South America.",distribution,The New York Botanical Garden,55488,"Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0000383306,"Small tree with large oblong-elliptic leaves fulvo-sericeous beneath Mdth deeply sulcate branchlets and solitary, subterminal inflorescences, pyramidal-paniculate, bearing cream-colored flowers. The species is known only from the single specimen collected in southern Pakaraima Mountains.",distribution,The New York Botanical Garden,477215,"Maguire, Bassett. 1965. The Botany of the Guayana Highland. Mem. New York Bot. Gard. 12 (3): 1-285.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001109461,Limestone (less commonly igneous) rocks in pineoak forests; 1250–2650 m. Mexico.,distribution,The New York Botanical Garden,123942,"Mickel, John T. & Smith, Alan R. 2004. The pteridophytes of Mexico. Mem. New York Bot. Gard. 88: 1-1054.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001116320,"Terrestrial, among rocks in moist lowland forests of Pacific slope; 100-750 m. Mexico; Salv, Nic, CR.",distribution,The New York Botanical Garden,123942,"Mickel, John T. & Smith, Alan R. 2004. The pteridophytes of Mexico. Mem. New York Bot. Gard. 88: 1-1054.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001114097,"Terrestrial in paramo situations, open cloud forests; Ixtlán; 2900 m. Mexico (Oax): Guat, CR; Col & Ec. Oaxaca collection: Sharp s.n. (NY).",distribution,The New York Botanical Garden,477432,"Mickel, John T. & Beitel, Joseph M. 1988. Pteridophyte Flora of Oaxaca, Mexico. Mem. New York Bot. Gard. 46: 1-580.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-4000033998,"Se Asia, perhaps 20 species, 1 a novelty in Florida.",distribution,The New York Botanical Garden,401663,"Isley, Duane. 1975. Leguminosae of the United States: II. Subfamily Caesalpinioideae. Mem. New York Bot. Gard. 25 (2): 1-228.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-4000003800,An American genus of about 70 species found in tropical and subtropical areas from the southern United States to Argentina.,distribution,The New York Botanical Garden,55488,"Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581.",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001151590,"Hanging from limbs and trunks oftrees or rarely rocks in moist forests rather low to moderate elevations (500-2000 m); Chiapas, Hidalgo Oaxaca, Puebla, San Luis Potosi, Tamaulipas, Veracruz.—Mexico; Central America northern South America; West Indies.",distribution,The New York Botanical Garden,477754,"Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)",,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
