"taxonID","Identifier","bibliographicCitation"
"wfo-0001061340","334163","Grimes, J. E. 1990. A revision of the New World species of Psoraleeae (Leguminosae: Papilionoideae). Mem. New York Bot. Gard. 61: 1-114."
"wfo-0001061385","334163","Grimes, J. E. 1990. A revision of the New World species of Psoraleeae (Leguminosae: Papilionoideae). Mem. New York Bot. Gard. 61: 1-114."
"wfo-0000135734","55488","Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581."
"wfo-0000383306","477215","Maguire, Bassett. 1965. The Botany of the Guayana Highland. Mem. New York Bot. Gard. 12 (3): 1-285."
"wfo-0001109461","123942","Mickel, John T. & Smith, Alan R. 2004. The pteridophytes of Mexico. Mem. New York Bot. Gard. 88: 1-1054."
"wfo-0001116320","123942","Mickel, John T. & Smith, Alan R. 2004. The pteridophytes of Mexico. Mem. New York Bot. Gard. 88: 1-1054."
"wfo-0001114097","477432","Mickel, John T. & Beitel, Joseph M. 1988. Pteridophyte Flora of Oaxaca, Mexico. Mem. New York Bot. Gard. 46: 1-580."
"wfo-4000033998","401663","Isley, Duane. 1975. Leguminosae of the United States: II. Subfamily Caesalpinioideae. Mem. New York Bot. Gard. 25 (2): 1-228."
"wfo-4000003800","55488","Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581."
"wfo-0001151590","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-4000033565","55488","Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581."
"wfo-0001107197","477432","Mickel, John T. & Beitel, Joseph M. 1988. Pteridophyte Flora of Oaxaca, Mexico. Mem. New York Bot. Gard. 46: 1-580."
"wfo-0001109142","477406","Proctor, George R. 1989. Ferns of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 53: 1-389."
"wfo-0001116221","477406","Proctor, George R. 1989. Ferns of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 53: 1-389."
"wfo-0001201361","363288","Fulford, Margaret H. 1966. Manual of the leafy Hepaticae of Latin America--Part II. Mem. New York Bot. Gard. 11: 173-276."
"wfo-0001148239","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001121562","477432","Mickel, John T. & Beitel, Joseph M. 1988. Pteridophyte Flora of Oaxaca, Mexico. Mem. New York Bot. Gard. 46: 1-580."
"wfo-4000028415","55488","Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581."
