Identifier,bibliographicCitation
334163,"Grimes, J. E. 1990. A revision of the New World species of Psoraleeae (Leguminosae: Papilionoideae). Mem. New York Bot. Gard. 61: 1-114."
55488,"Acevedo-Rodríguez, Pedro & collaborators. 1996. Flora of St. John, U.S. Virgin Islands. Mem. New York Bot. Gard. 78: 1-581."
477215,"Maguire, Bassett. 1965. The Botany of the Guayana Highland. Mem. New York Bot. Gard. 12 (3): 1-285."
123942,"Mickel, John T. & Smith, Alan R. 2004. The pteridophytes of Mexico. Mem. New York Bot. Gard. 88: 1-1054."
477432,"Mickel, John T. & Beitel, Joseph M. 1988. Pteridophyte Flora of Oaxaca, Mexico. Mem. New York Bot. Gard. 46: 1-580."
401663,"Isley, Duane. 1975. Leguminosae of the United States: II. Subfamily Caesalpinioideae. Mem. New York Bot. Gard. 25 (2): 1-228."
477754,"Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
477406,"Proctor, George R. 1989. Ferns of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 53: 1-389."
363288,"Fulford, Margaret H. 1966. Manual of the leafy Hepaticae of Latin America--Part II. Mem. New York Bot. Gard. 11: 173-276."
90699,"Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
324647,"Smith, Albert C. 1952. Plants collected in Ecuador by W. H. camp. Vaceiniaceae. Mem. New York Bot. Gard. 8 (1): 41-85."
380330,"Maguire, Bassett. 1978. The botany of the Guayana Highland--part X. Mem. New York Bot. Gard. 29: 1-288."
329902,"Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
327948,"Kirkbride, Joseph H., Jr. 1976. A revision of the genus Declieuxia (Rubiaceae). Mem. New York Bot. Gard. 28 (4): 1-87."
477501,"Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
477883,"Buck, William R. 1987. Bryostephane Steereana: A Collection of Bryological Papers Presented to William Campbell Steere On The Occasion of His 80th Birthday. Mem. New York Bot. Gard. 45: 1-749."
72609,"Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
401662,"Isley, Duane. 1973. Leguminosae of the United States: I. Subfamily. Mimosoideae. Mem. New York Bot. Gard. 25 (1): 1-152."
479815,"Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
309322,"Smith, Lyman B. 1967. Bromeliaceae of the Guayana Highland. Mem. New York Bot. Gard. 14: 15-68."
24006,"Andersson, Lennart. 1998. A revision of the genus Cinchona (Rubiaceae--Cinchoneae). Mem. New York Bot. Gard. 80: 1-75."
311341,"Bogin, Clifford. 1955. Revision of the genus Sagittaria (Alismataceae). Mem. New York Bot. Gard. 9 (2): 179-233."
59075,"Mori, S. A., et al. 1997. Guide to the vascular plants of central French Guiana: Part 1. Pteridophytes, gymnosperms, and monocotyledons. Mem. New York Bot. Gard. 76: 1-422."
394287,"Krukoff, Boris A. & Barneby, Rupert C. 1969. Supplementary notes on the American species of Strychnos. VIII. Mem. New York Bot. Gard. 20: 1-93, IX. 94-99."
298448,"Smith, Lyman B. & Schubert, Bernice G. 1952. Plants collected in Ecuador by W. H. Camp. Begoniaceae. Mem. New York Bot. Gard. 8 (1): 36-40."
363287,"Fulford, Margaret H. 1963. Manual of the leafy Hepaticae of Latin America--Part I. Mem. New York Bot. Gard. 11: 1-172."
357107,"Fulford, Margaret H. 1968. Manual of the leafy Hepaticae of Latin America--Part III. Mem. New York Bot. Gard. 11: 277-392."
400189,"Maguire, Bassett & Wurdack, John J. 1961. The botany of the Guayana Highland--part IV (2). Mem. New York Bot. Gard. 10: 1-87."
357523,"Maguire, Bassett. 1972. The botany of the Guayana Highland--part IX. Mem. New York Bot. Gard. 23: 1-832."
