LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP00001,wfo-0000631631,Cycas pectinata Buch.-Ham.,Wern. Nat. Hist. Soc. 5: 322. 1824.,"yfsn, snjn  ","Thakal, Kalwal","C, E Nepal: 90-700 m.","Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia."
NEP00004,wfo-0000795644,Gnetum montanum Markgr.,"Bull. Jard. Bot. Buitenzorg ser. 3, 10: 466. 1930.",ef]6] nx/f ,Bhote lahara,"C, E Nepal: 200-1800 m.","Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia."
NEP00005,wfo-1200024888,Ephedra gerardiana Wall. ex Klotzsch & Garcke var. gerardiana,Bot. Ergebn. Reise Waldemar 32. 1862.,";f]dntf, sfu r/f] ","Somlata, Kag charo","W, C, E Nepal: 2100-5200 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, N Asia and SW Asia."
NEP00007,wfo-0000794375,Ephedra gerardiana Wall. ex Klotzsch & Garcke var. sikkimensis Stapf,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 56(2): 76. 1889.",,,"C, E Nepal: 2300-5200 m.",Nepal and E Himalaya.
NEP00009,wfo-0000794445,Ephedra pachyclada Boiss.,Fl. Orient. 5(2): 713. 1884.,sfu r/f] ,Kag charo,"W, C Nepal: (1100-)2000-4100 m.","Nepal, W Himalaya and SW Asia."
NEP00010,wfo-0000511103,Abies densa Griff.,Not. Pl. Asiat. 4: 19. 1854.,uf]a|] ;Nnf ,Gobre salla,E Nepal: 2800-4000 m.,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP00012,wfo-0000511353,Abies pindrow (Royle ex D.Don) Royle,Ill. Bot. Himal. Mts. t. 86. 1836. ,l7ª\u|] ;Nnf ,Thingre salla,W Nepal: 2100-3600 m.,Nepal and W Himalaya.
NEP00015,wfo-0000511410,Abies spectabilis (D.Don) Mirb.,Mém. Mus. Hist. Nat. 13: 70. 1825. ,"uf]a|] ;Nnf, tfln; kq","Gobre salla, Talis patra","W, C, E Nepal: 2300-3800 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and SW Asia."
NEP00019,wfo-0000592532,Cedrus deodara (Roxb. ex D.Don) G.Don,"Hort. Brit. 1: 388, no. 23637. 1830.",b]jbf/ ,Devdar,"W, C Nepal: 2000-3000 m.","Nepal, W Himalaya, Tibetan Plateau and SW Asia."
NEP00022,wfo-0000443342,Larix griffithii Hook.f.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 10: 308. 1867.,"ad]{ ;Nnf, n]s ;Nnf  ","Barme salla, Lek salla","C, E Nepal: 2400-3900 m.","Nepal, E Himalaya, Tibetan Plateau and E Asia. "
NEP00025,wfo-0000443269,Larix potaninii Batalin var. himalaica (W.C.Cheng & L.K.Fu) Farjon & Silba,Phytologia 68(1): 37. 1990.,nfª\6fª ;Nnf,Langtang salla,C Nepal: 2400-4000 m. ,Nepal and Tibetan Plateau.
NEP00029,wfo-0000482635,Picea smithiana (Wall.) Boiss.,Fl. Orient. 5(2): 700. 1884.,"e'mn] ;Nnf, h'/] ;Nnf ","Jhule salla, Jure salla","W, C Nepal: 2100-3600 m.","Nepal, W Himalaya and SW Asia."
NEP00033,wfo-0000481557,Pinus roxburghii Sarg.,Silva N. Amer. 11: 9. 1897.,"vf]6] ;Nnf, /fgL ;Nnf ","Khote salla, Rani salla","W, C, E Nepal: 500-2700 m.","Nepal, W Himalaya, E Himalaya and Tibetan Plateau."
