wfo-0000631631,Cycas pectinata Buch.-Ham.,Wern. Nat. Hist. Soc. 5: 322 (1824).
wfo-0000795644,Gnetum montanum Markgr.,"Bull. Jard. Bot. Buitenzorg ser. 3, 10: 466 (1930)."
wfo-0001065135,Ephedra gerardiana Wall. ex Klotzsch & Garcke,Bot. Ergebn. Reise Waldemar 32 (1862).
wfo-0000794375,Ephedra gerardiana var. sikkimensis Stapf,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 56(2): 76 (1889)."
wfo-0000794387,Ephedra intermedia Schrenk & C.A.Mey.,Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 5: 35 (1845).
wfo-0000794445,Ephedra pachyclada Boiss.,Fl. Orient. 5(2): 713 (1884).
wfo-0000794474,Ephedra saxatilis (Stapf) Royle ex Florin,"Kongl. Svenska Vetensk. Acad. Handl., ser. 3, 12(1): 25 (1933)."
wfo-0000511103,Abies densa Griff.,Not. Pl. Asiat. 4: 19 (1854).
wfo-0000511353,Abies pindrow (Royle ex D.Don) Royle,Ill. Bot. Himal. Mts. t. 86 (1836). 
wfo-0000511410,Abies spectabilis (D.Don) Mirb.,Mém. Mus. Hist. Nat. 13: 70 (1825). 
wfo-0000592532,Cedrus deodara (Roxb. ex D.Don) G.Don,"Hort. Brit. 1: 388, no. 23637 (1830)."
 wfo-0000443342,Larix griffithii Hook.f.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 10: 308 (1867).
wfo-0000443269,Larix potaninii var. himalaica (W.C.Cheng & L.K.Fu) Farjon & Silba,Phytologia 68(1): 37 (1990).
wfo-0000482635,Picea smithiana (Wall.) Boiss.,Fl. Orient. 5(2): 700 (1884).
wfo-0000482637,Picea spinulosa (Griff.) A.Henry,"Gard. Chron. III, 39: 219 (1906).  "
wfo-0000481557,Pinus roxburghii Sarg.,Silva N. Amer. 11: 9 (1897).
wfo-0000481612,Pinus wallichiana A.B.Jacks.,Bull. Misc. Inform. Kew 1938(2): 85 (1938). 
wfo-0000456385,Tsuga dumosa (D.Don) Eichler,Nat. Pflanzenfam. 2(1): 80 (1887).
wfo-0000485162,Podocarpus neriifolius D.Don,Descr. Pinus 2: 21 (1824).
wfo-0000630822.,Cupressus torulosa D.Don ex Lamb.,Descr. Pinus 2: 18 (1824).
wfo-0000735441,Juniperus communis var. saxatilis Pall.,"Fl. Ross. 1(2): 12, f. 54 (1788)."
wfo-0000355744,Juniperus indica Bertol.,Misc. Bot. 23: 16 (1862).
wfo-0001382735,Juniperus indica var. caespitosa Farjon,Monogr. Cupressaceae & Sciadopitys 313 (2005).
wfo-0000354978,Juniperus recurva Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 55 (1825).
