WFO_ID,Country,distribution,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000631631,NP,"Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia.",Cycas pectinata Buch.-Ham.,Wern. Nat. Hist. Soc. 5: 322 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000795644,NP,"Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia.",Gnetum montanum Markgr.,"Bull. Jard. Bot. Buitenzorg ser. 3, 10: 466 (1930).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001065135,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, N Asia and SW Asia.",Ephedra gerardiana Wall. ex Klotzsch & Garcke,Bot. Ergebn. Reise Waldemar 32 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794375,NP,Nepal and E Himalaya.,Ephedra gerardiana var. sikkimensis Stapf,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 56(2): 76 (1889).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794387,NP,?Nepal and SW Himalaya.,Ephedra intermedia Schrenk & C.A.Mey.,Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 5: 35 (1845).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794445,NP,"Nepal, W Himalaya and SW Asia.",Ephedra pachyclada Boiss.,Fl. Orient. 5(2): 713 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794474,NP,Nepal and E Asia.,Ephedra saxatilis (Stapf) Royle ex Florin,"Kongl. Svenska Vetensk. Acad. Handl., ser. 3, 12(1): 25 (1933).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511103,NP,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma.",Abies densa Griff.,Not. Pl. Asiat. 4: 19 (1854).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511353,NP,Nepal and W Himalaya.,Abies pindrow (Royle ex D.Don) Royle,Ill. Bot. Himal. Mts. t. 86 (1836). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511410,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and SW Asia.",Abies spectabilis (D.Don) Mirb.,Mém. Mus. Hist. Nat. 13: 70 (1825). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000592532,NP,"Nepal, W Himalaya, Tibetan Plateau and SW Asia.",Cedrus deodara (Roxb. ex D.Don) G.Don,"Hort. Brit. 1: 388, no. 23637 (1830).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
 wfo-0000443342,NP,"Nepal, E Himalaya, Tibetan Plateau and E Asia. ",Larix griffithii Hook.f.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 10: 308 (1867).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000443269,NP,Nepal and Tibetan Plateau.,Larix potaninii var. himalaica (W.C.Cheng & L.K.Fu) Farjon & Silba,Phytologia 68(1): 37 (1990).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000482635,NP,"Nepal, W Himalaya and SW Asia.",Picea smithiana (Wall.) Boiss.,Fl. Orient. 5(2): 700 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000482637,NP,"?Nepal, E Himalaya and E Asia",Picea spinulosa (Griff.) A.Henry,"Gard. Chron. III, 39: 219 (1906).  ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000481557,NP,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",Pinus roxburghii Sarg.,Silva N. Amer. 11: 9 (1897).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000481612,NP,"Nepal, W Himalaya, E Himalaya, E Asia and SW Asia.",Pinus wallichiana A.B.Jacks.,Bull. Misc. Inform. Kew 1938(2): 85 (1938). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000456385,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",Tsuga dumosa (D.Don) Eichler,Nat. Pflanzenfam. 2(1): 80 (1887).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000485162,NP,"Nepal, Assam-Burma, S Asia, E Asia and Australasia.",Podocarpus neriifolius D.Don,Descr. Pinus 2: 21 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000630822.,NP,"Nepal, W Himalaya and Tibetan Plateau.",Cupressus torulosa D.Don ex Lamb.,Descr. Pinus 2: 18 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000735441,NP,"Nepal, W Himalaya, E Asia, C Asia, SW Asia, Europe and N America.",Juniperus communis var. saxatilis Pall.,"Fl. Ross. 1(2): 12, f. 54 (1788).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000355744,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia.",Juniperus indica Bertol.,Misc. Bot. 23: 16 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001382735,NP,"Nepal, E Himalaya and Tibetan Plateau.",Juniperus indica var. caespitosa Farjon,Monogr. Cupressaceae & Sciadopitys 313 (2005).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354978,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",Juniperus recurva Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 55 (1825).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354992,NP,"Nepal, W Himalaya, Tibetan Plateau, E Asia, C Asia and SW Asia.",Juniperus semiglobosa Regel,"Trudy Imp. S.-Peterburgsk. Bot. Sada, prepr. 6: 487 (1879). ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
