WFO_ID,ecology,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000631631,"C, E Nepal: 90-700 m.",Cycas pectinata Buch.-Ham.,Wern. Nat. Hist. Soc. 5: 322 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000795644,"C, E Nepal: 200-1800 m.",Gnetum montanum Markgr.,"Bull. Jard. Bot. Buitenzorg ser. 3, 10: 466 (1930).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001065135,"W, C, E Nepal: 2100-5200 m.",Ephedra gerardiana Wall. ex Klotzsch & Garcke,Bot. Ergebn. Reise Waldemar 32 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794375,"C, E Nepal: 2300-5200 m.",Ephedra gerardiana var. sikkimensis Stapf,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl. 56(2): 76 (1889).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794387,C Nepal: 2700-4000 m.,Ephedra intermedia Schrenk & C.A.Mey.,Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 5: 35 (1845).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794445,"W, C Nepal: (1100-)2000-4100 m.",Ephedra pachyclada Boiss.,Fl. Orient. 5(2): 713 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794474,C Nepal: 3100-4600 m.,Ephedra saxatilis (Stapf) Royle ex Florin,"Kongl. Svenska Vetensk. Acad. Handl., ser. 3, 12(1): 25 (1933).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511103,E Nepal: 2800-4000 m.,Abies densa Griff.,Not. Pl. Asiat. 4: 19 (1854).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511353,W Nepal: 2100-3600 m.,Abies pindrow (Royle ex D.Don) Royle,Ill. Bot. Himal. Mts. t. 86 (1836). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511410,"W, C, E Nepal: 2300-3800 m.",Abies spectabilis (D.Don) Mirb.,Mém. Mus. Hist. Nat. 13: 70 (1825). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
