WFO_ID,Uses,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000631631,"Food (tender leaves), Ornamental.",Cycas pectinata Buch.-Ham.,Wern. Nat. Hist. Soc. 5: 322 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000795644,"Medicine (whole plant), Food (seeds).",Gnetum montanum Markgr.,"Bull. Jard. Bot. Buitenzorg ser. 3, 10: 466 (1930).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001065135,"Medicine (root, stem).",Ephedra gerardiana Wall. ex Klotzsch & Garcke,Bot. Ergebn. Reise Waldemar 32 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794445,Medicine (stem),Ephedra pachyclada Boiss.,Fl. Orient. 5(2): 713 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511103,Medicine (leaves).,Abies densa Griff.,Not. Pl. Asiat. 4: 19 (1854).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511353,"Medicine (resin, leaves), Timber, Fuelwood.",Abies pindrow (Royle ex D.Don) Royle,Ill. Bot. Himal. Mts. t. 86 (1836). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511410,"Medicine (resin, leaves), Essential oil (leaves), Timber, Household utensils, Fuelwood, Incense.",Abies spectabilis (D.Don) Mirb.,Mém. Mus. Hist. Nat. 13: 70 (1825). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000592532,"Medicine (wood, bark, leaves, seeds), Essential oil (leaves, wood), Timber, Fuelwood.",Cedrus deodara (Roxb. ex D.Don) G.Don,"Hort. Brit. 1: 388, no. 23637 (1830).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
 wfo-0000443342,"Timber, Fuelwood.",Larix griffithii Hook.f.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 10: 308 (1867).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000482635,"Medicine (resin, leaves), Timber, Household utensils, Fuelwood.",Picea smithiana (Wall.) Boiss.,Fl. Orient. 5(2): 700 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
