WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn
wfo-0000631631,"थाकल, कलवल (Thakal, Kalwal)","थाकल, कलवल","Thakal, Kalwal",,
wfo-0000795644,भोटे लहरा  (Bhote lahara),भोटे लहरा ,Bhote lahara,,
wfo-0001065135,"सोमलता, काग चरो  (Somlata, Kag charo)","सोमलता, काग चरो ","Somlata, Kag charo",,
wfo-0000794445,काग चरो  (Kag charo),काग चरो ,Kag charo,,
wfo-0000511103,गोब्रे सल्ला  (Gobre salla),गोब्रे सल्ला ,Gobre salla,,
wfo-0000511353,ठिङ्ग्रे सल्ला  (Thingre salla),ठिङ्ग्रे सल्ला ,Thingre salla,,
wfo-0000511410,"गोब्रे सल्ला, तालिस पत्र (Gobre salla, Talis patra)","गोब्रे सल्ला, तालिस पत्र","Gobre salla, Talis patra",,
wfo-0000592532,देवदार  (Devdar),देवदार ,Devdar,,
 wfo-0000443342,"बर्मे सल्ला, लेक सल्ला   (Barme salla, Lek salla)","बर्मे सल्ला, लेक सल्ला  ","Barme salla, Lek salla",,
wfo-0000443269,लाङ्टाङ सल्ला (Langtang salla),लाङ्टाङ सल्ला,Langtang salla,,
wfo-0000482635,"झुले सल्ला, जुरे सल्ला  (Jhule salla, Jure salla)","झुले सल्ला, जुरे सल्ला ","Jhule salla, Jure salla",,
wfo-0000481557,"खोटे सल्ला, रानी सल्ला  (Khote salla, Rani salla)","खोटे सल्ला, रानी सल्ला ","Khote salla, Rani salla",,
wfo-0000481612,गोब्रे सल्ला (Gobre salla),गोब्रे सल्ला,Gobre salla,,
wfo-0000456385,ठिङ्ग्रे सल्ला (Thingre salla),ठिङ्ग्रे सल्ला,Thingre salla,,
wfo-0000485162,"गुन्सी, काठे सल्ला (Gunsi, Kathe sallo)","गुन्सी, काठे सल्ला","Gunsi, Kathe sallo",,
wfo-0000630822.,"काठे धुपी, राज सल्ला (Kathe dhupi, Raj salla)","काठे धुपी, राज सल्ला","Kathe dhupi, Raj salla",,
wfo-0000735441,धुपी (Dhupi),धुपी,Dhupi,,
wfo-0000355744,धुपी (Dhupi),धुपी,Dhupi,,
wfo-0000354978,"धुपी, भैरुँग धुपी (Dhupi, Bhairung dhupi)","धुपी, भैरुँग धुपी","Dhupi, Bhairung dhupi",,
wfo-0000354992,धुपी  (Dhupi),धुपी ,Dhupi,,
wfo-0000354918,धुपी (Dhupi),धुपी,Dhupi,,
wfo-0000408632,सिङ्गी (Singi),सिङ्गी,Singi,,
wfo-0000459404,सिङ्गी  (Singi),सिङ्गी ,Singi,,
wfo-0000409081,"लौठ सल्ला, बर्मे सल्ला, ढेङ्ग्रे सल्ला (Lauth salla, Burme salla. Dhengre salla)","लौठ सल्ला, बर्मे सल्ला, ढेङ्ग्रे सल्ला","Lauth salla, Burme salla. Dhengre salla",,
wfo-0000683330,मखाना (Makhana),मखाना,Makhana,,
wfo-1200024889,निल कमल (Nil kamal),निल कमल,Nil kamal,,
wfo-0000737412,निल कमल  (Nil kamal),निल कमल ,Nil kamal,,
wfo-0000382124,कमल  (Kamal),कमल ,Kamal,,
wfo-0000495107,"सिँगटा, सिगुन्टा लहरा  (Singato, Sigunta lahara)","सिँगटा, सिगुन्टा लहरा ","Singato, Sigunta lahara",,
wfo-0000495084,पहेँलो सिँगटो  (Pahenlo singato),पहेँलो सिँगटो ,Pahenlo singato,,
wfo-0000725055,गने  (Gane),गने ,Gane,,
wfo-0000477971,लतपटे (Latpate),लतपटे,Latpate,,
