WFOID,Vernacular_name,LocalID,scientificName,transliteration,Devnagari (preeti),Devnagari (unicode),Language,countryCode,rights,license,bibliographicCitation,compiler
wfo-0000631631,"Thakal, Kalwal (थाकल, कलवल  )",NEP00001,Cycas pectinata Buch.-Ham.,"Thakal, Kalwal","yfsn, snjn  ","थाकल, कलवल  ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000795644,Bhote lahara (भोटे लहरा ),NEP00004,Gnetum montanum Markgr.,Bhote lahara,ef]6] nx/f ,भोटे लहरा ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200024888,"Somlata, Kag charo (सोमलता, काग चरो )",NEP00005,Ephedra gerardiana Wall. ex Klotzsch & Garcke var. gerardiana,"Somlata, Kag charo",";f]dntf, sfu r/f] ","सोमलता, काग चरो ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794445,Kag charo (काग चरो ),NEP00009,Ephedra pachyclada Boiss.,Kag charo,sfu r/f] ,काग चरो ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511103,Gobre salla (गोब्रे सल्ला ),NEP00010,Abies densa Griff.,Gobre salla,uf]a|] ;Nnf ,गोब्रे सल्ला ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511353,Thingre salla (ठिङ्ग्रे सल्ला ),NEP00012,Abies pindrow (Royle ex D.Don) Royle,Thingre salla,l7ª\u|] ;Nnf ,ठिङ्ग्रे सल्ला ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511410,"Gobre salla, Talis patra (गोब्रे सल्ला, तालिस पत्र)",NEP00015,Abies spectabilis (D.Don) Mirb.,"Gobre salla, Talis patra","uf]a|] ;Nnf, tfln; kq","गोब्रे सल्ला, तालिस पत्र",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000592532,Devdar (देवदार ),NEP00019,Cedrus deodara (Roxb. ex D.Don) G.Don,Devdar,b]jbf/ ,देवदार ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000443342,"Barme salla, Lek salla (बर्मे सल्ला, लेक सल्ला  )",NEP00022,Larix griffithii Hook.f.,"Barme salla, Lek salla","ad]{ ;Nnf, n]s ;Nnf  ","बर्मे सल्ला, लेक सल्ला  ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000443269,Langtang salla (लाङ्टाङ सल्ला),NEP00025,Larix potaninii Batalin var. himalaica (W.C.Cheng & L.K.Fu) Farjon & Silba,Langtang salla,nfª\6fª ;Nnf,लाङ्टाङ सल्ला,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
