WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn,rights,license,bibliographicCitation,compiler
wfo-0000631631,"थाकल, कलवल (Thakal, Kalwal)","थाकल, कलवल","Thakal, Kalwal",Cycas pectinata Buch.-Ham.,Wern. Nat. Hist. Soc. 5: 322 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000795644,भोटे लहरा  (Bhote lahara),भोटे लहरा ,Bhote lahara,Gnetum montanum Markgr.,"Bull. Jard. Bot. Buitenzorg ser. 3, 10: 466 (1930).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001065135,"सोमलता, काग चरो  (Somlata, Kag charo)","सोमलता, काग चरो ","Somlata, Kag charo",Ephedra gerardiana Wall. ex Klotzsch & Garcke,Bot. Ergebn. Reise Waldemar 32 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000794445,काग चरो  (Kag charo),काग चरो ,Kag charo,Ephedra pachyclada Boiss.,Fl. Orient. 5(2): 713 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511103,गोब्रे सल्ला  (Gobre salla),गोब्रे सल्ला ,Gobre salla,Abies densa Griff.,Not. Pl. Asiat. 4: 19 (1854).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511353,ठिङ्ग्रे सल्ला  (Thingre salla),ठिङ्ग्रे सल्ला ,Thingre salla,Abies pindrow (Royle ex D.Don) Royle,Ill. Bot. Himal. Mts. t. 86 (1836). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000511410,"गोब्रे सल्ला, तालिस पत्र (Gobre salla, Talis patra)","गोब्रे सल्ला, तालिस पत्र","Gobre salla, Talis patra",Abies spectabilis (D.Don) Mirb.,Mém. Mus. Hist. Nat. 13: 70 (1825). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000592532,देवदार  (Devdar),देवदार ,Devdar,Cedrus deodara (Roxb. ex D.Don) G.Don,"Hort. Brit. 1: 388, no. 23637 (1830).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
 wfo-0000443342,"बर्मे सल्ला, लेक सल्ला   (Barme salla, Lek salla)","बर्मे सल्ला, लेक सल्ला  ","Barme salla, Lek salla",Larix griffithii Hook.f.,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 10: 308 (1867).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000443269,लाङ्टाङ सल्ला (Langtang salla),लाङ्टाङ सल्ला,Langtang salla,Larix potaninii var. himalaica (W.C.Cheng & L.K.Fu) Farjon & Silba,Phytologia 68(1): 37 (1990).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000482635,"झुले सल्ला, जुरे सल्ला  (Jhule salla, Jure salla)","झुले सल्ला, जुरे सल्ला ","Jhule salla, Jure salla",Picea smithiana (Wall.) Boiss.,Fl. Orient. 5(2): 700 (1884).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000481557,"खोटे सल्ला, रानी सल्ला  (Khote salla, Rani salla)","खोटे सल्ला, रानी सल्ला ","Khote salla, Rani salla",Pinus roxburghii Sarg.,Silva N. Amer. 11: 9 (1897).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000481612,गोब्रे सल्ला (Gobre salla),गोब्रे सल्ला,Gobre salla,Pinus wallichiana A.B.Jacks.,Bull. Misc. Inform. Kew 1938(2): 85 (1938). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000456385,ठिङ्ग्रे सल्ला (Thingre salla),ठिङ्ग्रे सल्ला,Thingre salla,Tsuga dumosa (D.Don) Eichler,Nat. Pflanzenfam. 2(1): 80 (1887).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000485162,"गुन्सी, काठे सल्ला (Gunsi, Kathe sallo)","गुन्सी, काठे सल्ला","Gunsi, Kathe sallo",Podocarpus neriifolius D.Don,Descr. Pinus 2: 21 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000630822.,"काठे धुपी, राज सल्ला (Kathe dhupi, Raj salla)","काठे धुपी, राज सल्ला","Kathe dhupi, Raj salla",Cupressus torulosa D.Don ex Lamb.,Descr. Pinus 2: 18 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000735441,धुपी (Dhupi),धुपी,Dhupi,Juniperus communis var. saxatilis Pall.,"Fl. Ross. 1(2): 12, f. 54 (1788).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
