taxonID,"Erect shrub to 4m. Twigs cylindrical, 3.5–5mm in diameter, scaly when young, rough with scale bases after the scales have fallen, whitish–green. Leaves in tight pseudowhorls of 6–8 together. Blade 60–100 x 30–55mm, mostly elliptic, occasionally ovate to o",type,language,Contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographic_citation,url
wfo-0000400039,"Erect shrub to 1m. Twigs rounded, at first, laxly covered with minute pale scales, later glabrescent; internodes 3–10cm. Leaves in wel1–marked pseudowhorls. Blade 25–55 x 14–28mm, elliptic; apex broadly tapering, then often almost rounded and very shortly apiculate; margin entire, narrowly revolute; base broadly tapering or rounded, initially scaly on both sides, gradually glabrescent above, sub–densely scaly beneath. Scales pale reddish–brown, minute, marginal zone variously lobed; centre impressed. Mid–vein impressed above, thick and prominent beneath proximally, less prominent distally; lateral veins 5–6 per side, irregular, straight proximally, obscurely anastomosing, slightly impressed above, slightly or not raised beneath. Petiole 2–4mm, thick, flat. Bracts to 10 x 5mm, ovate to ovate–elliptic or sub–spathulate, membranous, scaly outside, or quickly glabrescent, margin fringed with scales or very shortly irregularly toothed. Bracteoles to 10mm, linear, laxly scaly. Inflorescence a 7–9–flowered open umbel. Pedicels 25–30 x c.1.5mm, densely covered with thick, lobed scales. Calyx c.3mm in diameter, oblique, irregularly 5–toothed to 1mm, but sometimes up to 3mm, elongate–triangular and acute. Corolla 30–33mm, funne1–shaped, sub–oblique, white or pale yellow, thin; tube 18–20 x 3–4 x 4–5mm, cylindrical, densely covered with thick, sub–circular, lobed scales outside, with white spreading hairs in the lower ½ of the corolla tube inside; lobes 10–12 x 7–8mm, spreading, obovate–spathulate, shallowly retuse. Stamens exserted to c.5mm, unequal; filaments linear and densely patently hairy proximally, more slender and glabrous distally; anthers c.2.5mm, oblong. Disc glabrous below, shortly yellowish hairy on the upper margin. Ovary c.5 x 2mm, sub–cylindrical, densely covered with scales and white, forwardly directed hairs, gradually tapering distally; style slender, laxly patently hairy and scaly in the lower 1?3–½, glabrous distally, as long as or slightly longer than the stamens; stigma thick, rounded.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,1,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Argent, G. (2006). Rhododendrons of subgenus Vireya. Royal Horticultural Society, London.",
wfo-0000400238,"Shrub, 1.5–2.5m. Leaves elliptic, thick and coriaceous, 3–6 x 1.1–2.2cm, c.3 x as long as broad, apex acute, base cuneate, margin strongly recurved, not undulate, glabrous when mature, with red punctate hair bases overlying the veins beneath; petioles 0.5–1cm, papillate. Inflorescence 6–12–flowered, dense; rhachis c.5mm; pedicels 20–30mm, sparsely hairy and stipitate–glandular. Calyx c.1mm, sparsely hairy, glandular–ciliate. Corolla open–campanulate, lacking nectar pouches, glabrous within, white to pale rose, with purple flecks, 28–35mm. Ovary and style glandular throughout. Capsule 18–20 x c.8mm.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,1,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Argent, G. (2006). Rhododendrons of subgenus Vireya. Royal Horticultural Society, London.",
wfo-0001047937,"Shrub or small tree to 3m. Twigs rounded, green, finely covered in small brown scales, quickly glabrescent; internodes 1–4cm. Leaves in loose pseudowhorls 10–20 together. Blade 18–32 x 4–6mm, narrowly elliptic to linear, often slightly broader in the distal ½; apex broadly pointed; margin entire, strongly recurved, often completely rolled when dry; base tapering; sparsely scaly and quickly glabrescent above, sparsely but more persistently scaly below. Scales sub–circular or shallowly lobed, often with large centres. Mid–vein deeply impressed above, thickly prominent between the revolute parts of the lamina beneath; lateral veins obscure. Petiole 3–8 x 1–1.5mm, grooved above, laxly scaly. Flower buds to 10 x 7mm, ovoid–conical, with the erect subulate points of the bracts standing out, dark–red. Outer bracts keeled, apiculate, inner ones ovate with subulate acumen, the margins densely scaly, minutely hairy or glabrous outside. Bracteoles c.10 x 0.5mm, linear, glabrous, irregularly incised distally. Inflorescence of 2–4–flowered open umbels. Flowers half–hanging to hanging, pink with a violet tinge, without scent. Pedicels 16–20 x c.1mm, densely patently long–hairy, laxly scaly with fragile scales. Calyx c.3mm in diameter, disc–like, weakly angled, sometimes becoming reflexed, patently hairy outside and with a few scales. Corolla 20–25 x 30–34mm, broadly tubular below, sub–campanulate, dilated towards the mouth; tube 18–20 x 6–8 x 9–10mm, sub–densely covered with soft, white, patent hairs and almost without scales, although often with small clusters of scales at the lobe junctions; lobes 13–15 x 8–10mm, broadly obovate–spathulate, hairy outside, glabrous inside, not, or overlapping to c.½. Stamens at first clustered on the lower side of the mouth, becoming irregularly spreading, exserted to c.7mm; filaments linear, patently hairy for the lower ¼–1?3, glabrous distally; anthers 2–2.5 x c.1mm, broadly oblong, each cell with a small basal apiculus. Disc prominent, glabrous or with hairs on the upper margin. Ovary c.5 x 3mm, ovoid, densely patently white–hairy, and with scattered brown scales, abruptly contracted distally; style with a few hairs at the base otherwise glabrous, c.12mm, expanding to c.20mm, lying on the lower side of the tube; stigma rounded, bright red, becoming exserted to c.8mm. Fruit 12 x 6mm, obovoid–cylindric, dark purple, densely short–hairy and laxly scaly. Seeds 1.8mm, without tails 0.8mm, the longest tail 0.6mm.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,2,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Chamberlain, D.F. (1982). A revision of Rhododendron. II. Subgenus Hymenanthes. Notes from the Royal Botanic Garden Edinburgh. 39:209-486.",https://doi.org/10.24823/nrbge.1982.3252
wfo-0000400488,"Shrub to 1m. Twigs 1–2mm in diameter, rounded, at first covered with flat stellate scales, quickly glabrescent; internodes 1.5–4cm. Leaves 4–6 in tight to somewhat loose pseudowhorls. Blade 25–50 x 10–20mm, elliptic or slightly obovate; apex broadly acute, obtuse to rounded; margin entire, flat, narrowly cartilaginous, often red; base broadly tapering; sub–densely scaly on both sides, glabrescent and shiny above, more persistently scaly below. Scales irregularly stellately lobed with a broad marginal flange and small slightly darker brown centre, not or only slightly impressed. Mid–vein slightly impressed into a narrow groove above, broad and slightly raised for the proximal 6–8mm beneath, otherwise smooth; lateral veins 6–8 per side curving upwards at c.45°, very slightly raised above, smooth or obscure beneath. Petiole 3–4 x 1.5–2mm, not or only weakly grooved above, flattened, scaly, and often minutely hairy. Flower buds to 27 x 12mm, ellipsoid or narrowly ovoid, acutely pointed, the tips of the bracts slightly spreading, white with conspicuous waxy deposits. Bracts to 15 x 8mm, ovate, apiculate, translucent, often flecked with brown, almost totally glabrous but with a few scales near the midline, lacking marginal scales. Inflorescence of 3–5 flowers in an open umbel, mostly horizontal but sometimes semi–erect to half–hanging, usually bicoloured with a yellow tube and orange lobes, sometimes pure yellow and occasionally almost completely orange. Pedicels 13–18 x c.1.5mm, red, sub–densely scaly, without hairs. Calyx obliquely thickened, disc–shaped, obscurely lobed, c.3mm in diameter. Corolla 15–30 x 40–55mm, shortly tubular–funne1–shaped; tube 10–15 x 6–7 x 12–17mm, sparsely stellately scaly outside, densely white–hairy inside; lobes 15–27 x 15–24mm, obovate, spreading horizontally or a little reflexed, overlapping to c.½ on upper side of the flower, not overlapping or only to 1?3 on the lower side. Stamens unequal, irregularly spreading, mostly on the lower side of the mouth, sometimes in two groups on each side, exserted to c.6mm but reflexing back against the corolla with age; filaments linear, white, densely white–hairy in the proximal 5–6mm, glabrous and filiform distally; anthers 2.7–3 x 1.25mm, narrowly oblong, shortly apiculate basally. Disc deeply lobed, minutely hairy on the upper side, otherwise glabrous. Ovary 5–6.5 x 2–3mm, cylindrical, abruptly contracted distally, densely stellate–scaly, without hairs; style 10–14mm, at first depressed to the lower side of the mouth, later becoming central in position, completely glabrous or with some scales at the base; stigma c.3mm in diameter, circular, yellow. Fruit 26–35 x 5–6mm, spindle–shaped, with pronounced longitudinal grooves, scaly.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,1,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Argent, G. (2006). Rhododendrons of subgenus Vireya. Royal Horticultural Society, London.",
wfo-0000400489,"Small shrub or shrub to 6m. Twigs short, spreading, rounded to obtusely angular especially towards the end of each internode; upper internodes 3–7cm, densely dark–scaly at the ends, silvery on older parts. Leaves 3–6 close together at the upper nodes or condensed in pseudo­whorls. Blade 60–120 x 25–60mm, ovate or elliptic–ovate; apex shortly–acuminate, obtuse; margin flat or slightly revolute; base mostly rounded, sometimes very broadly tapering, densely scaly on both sides initially, glabres­cent above, pits where the scales were attached remaining visible; beneath permanently covered. Scales overlapping with broad central cushions and wide irregularly lobed margins, the largest dark–brown, almost black, the smaller paler brown. Mid–vein strongly impressed above, thick and rigid beneath, continuing the petiole and gradually narrowing distally; lateral veins 6–8 per side, wide–spreading, from right angles to 45°, straight or slightly curved to the margin, distinctly anastomosing, deeply depressed above, strongly prominent beneath, veins laxly reticulate and distinctly impressed above, not or only slightly raised beneath, the whole surface deeply rugose; dark green and glossy above, brown beneath. Petiole 12–28 x 2–4mm, almost rounded in section, grooved above, densely scaly. Flower buds to 20 x 12mm, broadly ovoid, smooth. Bracts to 20 x 13mm, ovate, truncate at the base, obtuse at the apex, greenish but covered all over with minute, fine, brownish or greyish hairs and scaly outside along the median line and towards the apex outside, but glabrous towards the thin margin, the margin itself fringed with white hairs and occasional scales. Bracteoles to 15mm, linear to filiform, sub–spathulate–dilated at the top, patently hairy. Flowers 6–15 in an open umbel, hanging or half–hanging. Pedicels 8–12mm, thick, densely scaly and also finely hairy between the scales. Calyx c.2.5mm in diameter, a low scaly ring, or shallowly 5–lobed, densely scaly. Corolla 34 x 22mm, tubular or narrowly funne1–shaped, orange or red; tube 20 x 5–6 x 6–7mm, sub–densely to sparsely or occasionally glabrous outside, shortly sub–densely hairy in the lower ½ inside, straight, cylindrical, the base slightly 5–pouched; lobes 12 x 7–9mm, half–spreading, not overlapping, with a few wel1–spaced scales outside. Stamens arranged irregularly all round the flower, exserted to c.10mm, very slightly dimorphic; filaments linear, flattened nearly to the top, densely white–patent–hairy in the proximal 1?3; anthers 2.5–2.8 x 1mm, pale brown, without basal appendages. Disc glabrous. Ovary c.6 x 2mm, cylindrical, densely brown–scaly, gradually tapering to the thick style, which is scaly in its proximal ½ and lies on the lower side of the tube; stigma c.1.5mm in diameter, rounded, sometimes distinctly lobed. Fruit 25–34 x 4–5mm, cylindrical, longitudinally grooved, shortly tapering at both ends, densely scaly, splitting to the base, with the valves strongly curving back. Seeds 5–6mm, without tails 1mm, the longest tail 2.8mm.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,1,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Argent, G. (2006). Rhododendrons of subgenus Vireya. Royal Horticultural Society, London.",
wfo-0000400490,"Shrub or small tree, (0.5–)1.3–4m. Leaves narrowly elliptic to elliptic, 6–11 x 2–4cm, 2–2.5 x as long as broad, apex acute, base usually rounded, lower surface usually with a dense (rarely sparse) unistrate finely ramiform, spongy to matted tomentum, yellowish at first, maturing to a rich olive–brown, intermixed with at least some glands; petioles 1–2cm, glabrescent or with a persistent tomentum and some stipitate glands. Inflorescence 4–12–flowered; rhachis up to 10mm; pedicels 20–30mm, densely tomentose and glandular. Calyx (4–)8–15mm, glandular, lobes oblong, unequal. Corolla campanulate, white flushed pink or pale pink, sometimes with purple flecks, 30–45mm. Ovary densely stipitate–glandular; style usually glandular in the lower third. Capsule 10–18 x 6–8mm.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,1,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Argent, G. (2006). Rhododendrons of subgenus Vireya. Royal Horticultural Society, London.",
wfo-0001048897,"Shrub, up to 3m; young shoots densely tomentose, with a few stalked glands. Leaves coriaceous, obianceolate, 9–16 x 2.5–4cm, 2.6–4.5 x as long as broad, apex acuminate to shortly cuspidate, glabrous above when mature, with a dense, felted, grey to fawn indumentum beneath; petioles c.3cm, tomentose. Inflorescence lax, 6–8–flowered; rhachis 10–15mm; pedicels 30–40mm, long–stipitate–glandular. Calyx 3–6(–15)mm, lobes ligulate, membranous, gland–ular–ciliate. Corolla funne1–campanulate, pale rose, 42–50mm. Ovary densely fulvous long–stipitate–glandular; style glabrous. Capsule c.15 x 7mm, cylindrical.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,2,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Chamberlain, D.F. (1982). A revision of Rhododendron. II. Subgenus Hymenanthes. Notes from the Royal Botanic Garden Edinburgh. 39:209-486.",https://doi.org/10.24823/nrbge.1982.3252
wfo-0001048754,"Shrub; young shoots densely setose–glandular. Leaves ovate to lanceolate or elliptic, coriaceous, 7–10.5 x 2.4–3.4cm, c.3 x as long as broad, apex acute to acuminate, base rounded, margin cartilaginous, papillate, upper surface glabrous when mature, with a few setae overlying the midrib, lower surface setose and sparsely tomentose, tomentum evanescent, at least towards apex, or ± persistent; petioles, like midribs, densely glandular–setose. Inflorescence lax, 6–8–flowered; rhachis c.5mm; pedicels 15–25mm, densely glandular–setose. Calyx c.7mm, densely glandular–setose. Corolla (in cultivation) funne1–campanulate, pale pink with purple flecks, 35–50mm. Ovary densely glandular setose; style glabrous. Capsule c.20 x 4mm, curved.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,2,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Chamberlain, D.F. (1982). A revision of Rhododendron. II. Subgenus Hymenanthes. Notes from the Royal Botanic Garden Edinburgh. 39:209-486.",https://doi.org/10.24823/nrbge.1982.3252
wfo-0001229415,"Shrub to 1m. Twigs erect, rounded, 2–3mm in diameter, densely covered with low sub–circular scales, and sparsely very shortly hairy. Stems with prominent leaf scars and low rounded axillary protrusions. Leaves densely, spirally arranged. Blade 7–12 x 2–5mm, elliptic to narrowly elliptic, gradually acuminate; apex acute to obtuse; margin flat or slightly recurved sometimes slightly crenulate; base tapering, shiny dark green above, and gradually glabrescent, paler and sub–densely scaly beneath. Scales sessile, impressed, rounded, with the margin narrow, entire to undulate; centre large and dark brown. Mid–vein impressed above and obtusely raised beneath especially in the proximal ½, lateral veins obscure. Petiole 1–2.5 x c.1mm, grooved, laxly scaly and hairy above, densely scaly below, curved to a right angle with the blade. Flower buds 10–12 x 7–10mm, ovate, smooth with the bracts fully appressed, brown near the base and the tips of the bracts, otherwise green. Bracts to 7 x 4mm, gradual changing from the upper foliage leaves, ovate to obovate, apiculate, scaly in the distal ½ and with short appressed hairs outside throughout; fringed with long white hairs at the margins. Bracteoles to 6mm, filiform, hairy. Inflorescence 6–12–flowered, the flowers half–hanging to hanging. Pedicels 10–14 x c.1mm, pink, densely covered with patent hairs of various lengths and sparsely scaly. Calyx oblique, small, undulate, with white hairs and scales outside and at the margin, glabrous inside. Corolla 18–21 x 8–9mm, tubular, bright orange–red, without scent; tube 13–15 x 5–6 x 7–8mm, with long white patent hairs and small laxly spaced scales outside, glabrous inside; lobes 3–5 x c.4mm, straight not reflexed, overlapping up to c.¾, obovate, apex rounded, hairy and scaly along the midline to the apex. Stamens exserted to c.2mm, loosely clustered on the lower side of the mouth, unequal; filaments linear, glabrous; anthers oblong–ellipsoid, c.1.5mm. Disc glabrous. Ovary c.3 x 2mm, ovoid–conical, densely covered with overlapping scales, without hairs; style glabrous, green; stigma elongate–obconical. Fruit c.11 x 4–6mm, elongate–ovoid, densely scaly, 5–ribbed, with a c.10mm persistent style; valves half–spreading, slightly curved, not twisted, the placentae remaining firmly attached to the central column. Seeds 1.3–1.8mm, without tails c.1mm, the longest tail to 0.5mm. The very short tails are often highly branched.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,2,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Chamberlain, D.F. (1982). A revision of Rhododendron. II. Subgenus Hymenanthes. Notes from the Royal Botanic Garden Edinburgh. 39:209-486.",https://doi.org/10.24823/nrbge.1982.3252
wfo-0000400481,"Large shrub or tree to 4m. Twigs thick, rounded, densely dark–brown scaly; internodes 3.5–16cm. Leaves 6–9 together in tight pseudowhorls at the upper 2 or 3 nodes. Blade 40–90 x 20–40mm, elliptic; apex shortly acuminate or apiculate, sub–acute to obtuse; margin broadly revolute (the leaves somewhat convex); base tapering, glabrescent at maturity above, or with a few small silvery scales remaining, very densely dark–brown persistently scaly beneath. Scales entire, with a broad marginal flange and moderately large, dark centre, dense with many touching or slightly overlapping. Mid–vein impressed over its entire length above, strongly prominent beneath; lateral veins 5–10 per side, spreading, straight below, anastomosing towards the edge, slightly but distinctly depressed above, weakly raised beneath or indistinct. Petiole 18–22 x 2–3mm, distinctly grooved above in the distal ½, densely brown–scaly. Flower buds spherical, brown, but with long, wide–spreading, protruding, broadly subulate bract apices, and a long acute point. Bracts broadly ovate, long acuminate, densely brown–scaly in the upper ½ outside, green near the base, inside brown–scaly for a broad band near the margins and densely scaly on the acumen. Bracteoles to 10mm, filiform, with just a few scales. Inflorescence of 5–10 flowers held horizontally in a compact, open umbel. Flowers 15–18 x 34–40mm, orange, without scent. Pedicels 10–14 x 2–3mm, orange, thickened distally, often curved, densely scaly with some long stalked scales but without hairs. Calyx 3–4mm in diameter, small, oblique, disc–shaped, angular, densely scaly outside. Corolla campanulate; tube 11–15 x 7–10 x 16–20mm, laxly to sub–densely inconspicuously scaly outside, glabrous inside; lobes 12–15 x 17–21mm, obovate–circular, rounded, slightly retuse, or sometimes subdivided into miniature lobe–like structures, spreading horizontally or reflexed back, with some scales outside near the base, overlapping to c.halfway. Stamens regularly arranged all round the mouth of the flower, very slightly dimorphic; filaments 10–13mm, pink, linear, glabrous; anthers c.2 x 1mm, oblong, dark brown, exserted to c.2mm. Disc glabrous. Ovary c.4 x 3.5mm, conica1–ovoid, densely scaly, without hairs, abruptly contracted distally; style 8–10mm, glabrous; stigma 2–3mm in diameter, centrally placed in the mouth, rounded to weakly 5–lobed. Fruit ellipsoidal, 14–17 x 6–7mm, smooth, densely brown–scaly. Seeds 4mm including the tails.",morphology,English,,,Royal Botanic Garden Edinburgh,25/03/2020,Royal Botanic Garden Edinburgh,1,Attribution-NonCommercial-ShareAlike,CC BY-NC-SA,"Argent, G. (2006). Rhododendrons of subgenus Vireya. Royal Horticultural Society, London.",
