"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-1000040555","Considered a natural hybrid between Rhododendron retusum and Rhododendron sumatranum.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001388527","An extreme form of R. cuneifolium known only from Mt Trus Madi, Sabah, E Malaysia.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400815","Endemic to Mt. Kinabalu endemic records from other mountains are all referable to R. borneense.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001441","This variety is easily mistaken for R. monodii. The two taxa are superficially very similar. Rhododendron monodii has a more regularly spiral leaf arrangement, it has no scales on the upper sides of the leaves even when very young, and the scales are much further apart on the lower side of the leaf and have broader margins in relation to the swollen centres. The corollas of var. selebicum are scaly only outside, lacking the simple hairs found in R. monodii.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400607","This would appear to be superficially similar to R. coelorum (Linnaeopsis) but that species has ovate to elliptic leaves and completely glabrous bracts.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002514","Similar to Rhododendron herzogii but differing in the incurved not outwardly curved erect flowers, the lack of resinous smelling leaves when crushed, the narrower corolla tube hardly expanded at the mouth, the longer corolla lobes and the hairy ovary. Similar in flower habit to Rhododendron brachypodarium but that species has stellate flat scales on both leaves and flowers.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001332431","(R. herzogii × R. pachystigma). Leaves and flowers of intermediate size between those of the parents. Umbels of 4–7 flowers, corolla with 5–7 lobes. Stigma broadly rounded as in R. pachystigma not shortly-obconical as in R. herzogii. Style scaly at the base not glabrous as in R. pachystigma.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001513","Wild hybrid of R. herzogii × R. macgregoriae.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405362","This natural hybrid was placed originally in subsection Phaeovireya [now section Hadranthe], the scales being described as ‘rusty, sub-dendroid, marginal zone stellately lobed or lacerate to various degree, centre small, often a little deepened and prolonged downwards into a short foot, on top of a low epidermal tubercle’ (Sleumer 1963). Examination of an isotype in the Edinburgh Herbarium showed an undulate but otherwise smooth surface to the lower epidermis of the leaf rather than true epidermal tubercles and broad, spreading, lobed, scales, typical of section Schistanthe. Rhododendron × schoddei shows a general resemblance to R. christi Foerster, as noted by van Royen & Kores (1982) who stated that ‘R. christi is often found growing sympatrically with R. beyerinckianum. These two species are generally abundant and are known to form hybrids in the Ekuam–Gumine area. Hybrids tend to have pink to light red flowers which are uniformly coloured throughout and have ovaries which are densely scaly and sub-densely hairy throughout. In this respect these primary hybrids between these two species approach R. schoddei’ which was described as having pink flowers and as having this typical ovary indumentum, the scales certainly being characteristic of R. beyerinckianum.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001390431","This is still a very doubtfully distinct taxonomic entity. Sleumer distinguished R. warianum from R. leptanthum in his key: ‘Leaves ovate or oblong-ovate – R. leptanthum vs. Leaves (broadly) elliptic to oblong elliptic, rarely obovate-elliptic’ (Sleumer 1966). Craven (2009) reinstated R. warianum to specific status on the grounds that the bark characteristics of the two species were quite different but made no reference to the type specimen or in correlating this character to the leaf shape difference. I doubt that the bark characteristic can be discerned from the type sheet in Paris and comparing just two cultivated forms does not seem to be a very sound approach. Rhododendron leptanthum is a very common, widespread and variable species in Papua New Guinea; in Edinburgh we have 16 different accessions exhibiting great variability. A form agreeing with the description of R. warianum was collected by John Sandham but apart from the extreme leaf shape and general vigour this plant is no different to R. leptanthum. It does have the scaling bark alluded to by Craven but the flowers and flowering time are identical in the two varieties. The leaves are quite different in shape and size to those designated ‘R. warianum’ by Craven growing in Australia.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
