wfo_id,description,type,contributor,source,bibliographicCitation,url,rights
wfo-0000825428,"Found within middle and upper montane forest at an elevation of 1040–3450m. A semi-scandent species, typically found at the edge of montane forest. It has been collected in flower and fruit throughout the year.",Ecology,Moonlight P.W. & Fuentes A.F.,218,"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://doi.org/10.24823/ejb.2022.407,CC0 1.0 Universal (CC0 1.0)
wfo-0000823421,"Found within lower and middle montane forest at an elevation of 550–2371m. It is a semi-scandent herb, typically collected on the edge of montane forest patches. Begonia bangii has been collected flowering and fruiting throughout the year, with a possible peak in July and August, which is the dry season.",Ecology,Moonlight P.W. & Fuentes A.F.,238,"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://doi.org/10.24823/ejb.2022.407,CC0 1.0 Universal (CC0 1.0)
wfo-0000824942,"Found in lower montane forest at an elevation of 750–1450 m, where it is typically collected within wet gullies and around small streams. Begonia oblanceolata has been collected in flower and fruit from March to July. ",Ecology,Moonlight P.W. & Fuentes A.F.,248,"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://doi.org/10.24823/ejb.2022.407,CC0 1.0 Universal (CC0 1.0)
wfo-0000824699,"It grows in submontane forests, in a shady locality, with humus, humus-sandy or humus-clay soils (Araújo et al. 1972), but in home gardens there is a widely cultivated or hybrid species similar in habit and form of leaf blades to Begonia maculata.",Ecology,"Jacques E.d.L., Ribeiro, M.A.M. & Tozin L.R.d.S.",4684,"Jacques E.d.L., Ribeiro, M.A.M. & Tozin L.R.d.S. 2023, Re-establishment of Begonia corallina Carrière (Begoniaceae) based on morphoanatomical evidence, Phytotaxa. Vol.609(2) , pp.103-114.",https://doi.org/10.11646/phytotaxa.609.2.2,CC0 1.0 Universal (CC0 1.0)
wfo-0000823724,"Coletada com flores de outubro a novembro, com frutos até março.",Ecology,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",810,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf,CC0 1.0 Universal (CC0 1.0)
wfo-0000824311,"Coletada com flores de dezembro a fevereiro, com frutos até abril.",Ecology,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C.",844,"Mamede M.C.H., Gomes da Silva S.J., Jacques E.d.L. & Arenque B.C. 2012, Begoniaceae, Flora Fanerogâmica do Estado de São Paulo. Vol.7 , pp.73-113 (https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf)",https://www.infraestruturameioambiente.sp.gov.br/institutodebotanica/wp-content/uploads/sites/235/2016/06/FFESP-Volume-VII_06_24.pdf,CC0 1.0 Universal (CC0 1.0)
wfo-0000824620,Flowering: November to February; fruiting: December to February.,Ecology,Camfield R. & Hughes M.,3725,"Camfield R. & Hughes M. 2018, A revision and one new species of Begonia L. (Begoniaceae, Cucurbitales) in Northeast India, Eur. J. Taxon. Vol.396 , pp.1-116 (https://doi.org/10.5852/ejt.2018.396)",https://doi.org/10.5852/ejt.2018.396,CC0 1.0 Universal (CC0 1.0)
wfo-0000824825,Clinging to sheer spray-soaked rock faces or epiphytic (on a Ficus) near a waterfall at 100% humidity; in tight groups.,Ecology,"Sosef, M.S.M.",2062,"Sosef, M.S.M. 1994, Refuge Begonias. Taxonomy, phylogeny and historical biogeography of Begonia sect. Loasibegonia and sect. Scutobegonia in relation to glacial rain forest refuges in Africa. 1st edn (https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references)",https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references,CC0 1.0 Universal (CC0 1.0)
wfo-0000825213,"On granite rocks in primary, deeply shaded forest.",Ecology,"Sosef, M.S.M.",2081,"Sosef, M.S.M. 1994, Refuge Begonias. Taxonomy, phylogeny and historical biogeography of Begonia sect. Loasibegonia and sect. Scutobegonia in relation to glacial rain forest refuges in Africa. 1st edn (https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references)",https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references,CC0 1.0 Universal (CC0 1.0)
wfo-0000825971,"Terrestrial growing in soil or mud; on level marshy sites or on slopes or stream banks, in shade of primary, often swampy forest; found in hygrophilous coastal evergreen Guineo-Congolian rain forest ('foret biafreenne a Caesalpiniaceae"") with Sacoglottis gahonensis and Lophira alata; at elevations near sea-level.",Ecology,"Sosef, M.S.M.",2200,"Sosef, M.S.M. 1994, Refuge Begonias. Taxonomy, phylogeny and historical biogeography of Begonia sect. Loasibegonia and sect. Scutobegonia in relation to glacial rain forest refuges in Africa. 1st edn (https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references)",https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references,CC0 1.0 Universal (CC0 1.0)
