wfo_id,description,type,contributor,source,bibliographicCitation,url,rights
wfo-1200002469,"This subspecies can be distinguished from the other subspecies of *Begonia micranthera* in Bolivia by its reniform to reniform-orbicular leaf blades, which have pale grey veins on the leaf blades (vs concolorous, elliptic to ovate leaf blades).",Diagnostic,Moonlight P.W. & Fuentes A.F.,167,"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://doi.org/10.24823/ejb.2022.407,CC0 1.0 Universal (CC0 1.0)
wfo-1200002469,Endemic to Bolivia.,Distribution,Moonlight P.W. & Fuentes A.F.,167,"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://doi.org/10.24823/ejb.2022.407,CC0 1.0 Universal (CC0 1.0)
wfo-1200002469,"*Begonia micranthera* subsp. *albonervia *Tebbitt is distinguished from other infraspecific taxa of *Begonia micranthera *Griseb. by its narrowly reniform to reniform-orbicular leaf blades (versus leaf blades narrowly to broadly ovate, or elliptic), leaf blade upper surface usually with conspicuous greyish white veins (versus concolorous green), and inflorescences held on conspicuous, 10–45 cm long, erect peduncles (versus peduncles less conspicuous, because usually ascending and [1–]6–10[–25] cm long).",Diagnostic,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",4,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-1200002469,"Monoecious herb. *Stem *15–40 cm tall, unbranched, glabrous. *Leaves *typically 3–5; blade slightly succulent, never coriaceous, subsymmetric, narrowly reniform, reniform or reniform-orbicular, 5–11 × 5–11 cm, margin shortly triangular–lobed, dentate, upper surface usually matt green above with greyish white veins but occasionally concolorous matt green throughout, sparsely to moderately pubescent, lower surface concolorous green or with green veins and reddish tinged intervenal lamina, sparsely to moderately pubescent along veins, and intervenal regions glabrous. *Inflorescences *solitary to many; peduncle 10–45 cm long. *Male flowers*: tepals usually pink, rarely white, outer pair usually elliptic to broadly elliptic, occasionally orbicular, ovateelliptic or obovate, 1.5–2.3 × 1.5–2.5 cm, inner pair obovate to spatulate, 2–2.8 × 1.6–1.9 cm. u&gt;Female flowers/u&gt;: tepals same colour as males, outer two elliptic to elliptic-obovate, inner three obovate to spatulate, subequal, 1.3–1.5 × 0.7–0.9 cm; ovary unequally 3-winged with one wing longer than the other two; 3-locular, styles 3.",Morphology,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",4,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-1200002469,"The subspecies typically occurs in moist locations, often growing on rocky damp cliffs in wet gullies in the shade of *Polylepis *Ruiz &amp; Pav., *Alnus *Mill. or *Eucalyptus *L’Hér., at an altitude of 1210–3362 m. Because this subspecies inhabits moist shady streamside microhabitats, it is remarkable in occurring in this microhabitat in an otherwise semiarid landscape.",Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",4,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-1200002469,"Locally common in Bolivia’s Chuquisaca Department, and occasionally in south-western Cochabamba and western Santa Cruz Departments, occurring along the eastern Andes for a distance of about 400 km.",Distribution,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",4,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-0000824813,"In Lindau’s original description of *Begonia hieronymi *(1894), this taxon was described as having 3-locular ovaries and 4 branched styles. Examination of the herbarium material cited by Lindau, however, found that they have 4-locular ovaries with 4 styles, and that each style is bifid. Observation of living material from the type location and its vicinity, indicates that the majority of these populations are composed of plants with 4-locular ovaries and 4 styles, but that a few populations are composed of plants with 3-locular ovaries and 3-styles. Furthermore, some individuals have female flowers with 5 tepals, whereas others have 6 tepals. These populations of var. *hieronymi *uniquely share with Begonia *micranthera *subsp. *rhacophylla *var. *rhacophylla *a dioecious breeding system, bright pink tepals, 6 female tepals, 4-locular ovaries and 4 styles, and for this reason are recognised here as belonging to subsp. *rhacophylla*.",Diagnostic,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",9,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-0000824813,"Usually dioecious, rarely monoecious herb. *Leaf blade* succulent, asymmetric, broadly ovate, 6–10 × 4–7 cm, lacking lobes or with triangular lobes to 1 cm deep, margin serrate, upper surface moderately covered with short white hairs barely visible to the naked eye or glabrous in plants growing in sunny situations. *Male tepals *4–6, bright pink. *Female tepals *5 or 6, bright pink. *Capsule *usually 4-locular with 4 styles and 4 short ± subequal wings, occasionally 3-locular with 3 styles and 3 short subequal wings, or rarely with both 4- and 3-locular ovaries on the same individual.",Morphology,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",9,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-0000824813,Rocky humid slopes in montane grassland from 2000 to 3500 m.,Habitat,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",9,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
wfo-0000824813,"A narrow endemic of Tafi del Valle Department, Tucumán Province, Argentina. Begonia *micranthera *subsp. *rhacophylla *var. *hieronymi *occurs approximately 350 km to the south of the known distribution range of subsp. *rhacophylla *var. *rhacophylla*.",Distribution,"Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",9,"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",https://doi.org/10.1017/s0960428618000070,CC0 1.0 Universal (CC0 1.0)
