"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-4000033279","Vietnam, Peninsular Malaysia, Borneo, Sumatra, Sulawesi.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002531","Indonesia: West and South Kalimantan.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002532","Malaysia: Sarawak. Known only from the environs of Mount Api, but this species is likely to occur on Mount Benarat and other associated limestone peaks in the Mount Mulu National Park.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002533","Indonesia: West Kalimantan.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405543","Brunei. Indonesia: West and Central Kalimantan. Malaysia: Sarawak.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405546","Indonesia: West Kalimantan. Malaysia: Sarawak.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002534","Malaysia: Sarawak, Miri Division, Mount Mulu National Park.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002536","Indonesia: Central and West Kalimantan. Malaysia: Sarawak.","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002537","Malaysia: Sarawak, Miri Division, Niah, protected forest. ","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001522","Brunei. Indonesia: South Sumatra (possibly also in central Sumatra), Lingga Archipelago (Pulau Lingga, Pulau Sebangka), West Java, East (West Kutei) and West Kalimantan. Malaysia: Johore, Sabah and Sarawak. Singapore: Bukit Mandi. ","Distribution","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
