"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-1000002531","Lakeside rain forest Flowering: October.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002532","In submontane forest, epiphytic and on peat overlying limestone 915–1220 m. Flowering: July, probably at other times as the plants in cultivation flower several times a year.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002533","Epiphytic in lowland dipterocarp forest on alluvial soil at c.30 m elevation. Flowering: June.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405543","On boulders in a forested ravine, epiphytic in peat-swamp and Dipterocarpus forest, mostly at low elevation but up to 1700 m. Flowering: May to August.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405546","In low wet forest, or kerangas (heath forest); also recorded from a ridge top, 300–1065 m. Flowering: October to January, mostly from February to March in cultivation, probably irregular in the wild.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002534","Epiphyte hanging over the river from Sandoricum koetjape (Burm.f.) Merr., in the Setap Shale area. The elevation is not recorded but will be low, probably c.300 m. Flowering time not recorded.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002536","Epiphytic in lowland dipterocarp forest at 35–200 m elevation on trees overhanging streams. Flowering: June, July, November and December, probably irregularly throughout the year.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002537","Epiphyte in lowland rain forest at c.100 m elevation. Flowering time not known. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001522","Generally epiphytic on tall trees, occasionally also terrestrial (in Sarawak on limestone), 10–700 m elevation. Flowering: throughout the year.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001574","Reported to grow epiphytically on mangrove near Kuching also epiphytic in dipterocarp forest on alluvial soil at 50 m elevation. Flowering: not recorded. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002538","Epiphyte, on trees in submontane mossy forest, recorded at 1580 m. Flowering: May. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001524","On limestone ridge, 450–900 m. Flowering: August.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405554","Epiphytic on tree, summit vegetation. Flowering: January. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405554","Epiphytic on tree, summit vegetation. Flowering: January. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002539","Mossy forest, c.1000 m. Flowering: March to August.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001525","Epiphytic in submontane forest at c.600–1250 m. Flowering: November.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001526","Montane mossy forest epiphytic and terrestrial on peaty ground, 1800–2300m elevation. Flowering: November, in cultivation February to March.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001527","Montane forest and shrubberies.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002540","On large trees overhanging rivers at 900–1100 m elevation. Flowering: July to September. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405583","Commonly epiphytic in low open forest, and rocky summits, 1000–1700 m elevation. Flowering: May to August. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405535","Mostly epiphytic in submontane mossy forest, also on white acid sands and on rocky mountain ridges, 800–1800 m. Flowering: June to October. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002541","Not described but collected at only 10 m elevation. Flowering: not known. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405574","In primary and secondary forest at low to moderate elevations, also on limestone. Flowering: June.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002542","Heath and peat swamp forest, 25–202 m elevation. Flowering: August to September, probably at other times. ","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001530","Epiphyte in submontane heath forest or terrestrial on limestone, 600–900 m. Flowering: May, August, November, probably intermittently throughout the year.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001528","Epiphytic in lowland to submontane heath forest or sometimes terrestrial on limestone, 100–1100 m elevation. Flowering: throughout the year.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001529","Epiphytic on a tree, elevation unknown. Flowering:May to October, probably throughout the year.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001532","Often common as an epiphyte in montane mossy forest, occasionally terrestrial in open disturbed sites, 900–1830 m elevation. Flowering: January to December.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001531","Epiphytic in submontane, mossy forest, 950–1800 m elevation. Flowering: January to December.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002544","Epiphytic shrub 4 m high on host tree, in montane forest on hillside at c.(50–)800–1400 m elevation. Flowering: December.","Ecology","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650724","In ridge forest and sub-alpine thickets, (730–)2400–3000 m, locally common. Flowering March, June–August and November.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001338564","Montane ridge forest dominated by conifers (Agathis) and Fagaceae on rotting log, probably mostly epiphytic. Flowering February.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001227","Sub-montane forest and open ridge-top flora, thin soil amongst quartzite rubble, c.1620 m. Flowering September.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001385005","On open slopes in sub-montane shrubbery, 2400–3000 m. Flowering June.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001228","In rain forest, 1400–1500 m, apparently rare. Flowering March and October.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001229","Flowering October.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650740","Epiphytic in sub-montane mossy and montane forest at 2400–3000 m. Flowering: June, November; fruiting: February.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650764","In light forest, near rockery, 2550–2800 m. Flowering July.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001338565","Epiphyte in sub-montane ridge forest at 1500–2000 m. Flowering December.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650769","Summit areas with elfin forest of Myrtaceae and Ericaceae at c.2450 m. Flowering May and November.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650770","In rain forest at c.1500 m. Flowering March–September.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001338567","Sub-montane mossy forest at c.2000 m. Flowering February.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650773","argin of a quartzite peaty plateau, 1500–1700 m. Flowering August–September.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650782","Collected at 1500 m, vegetation not described. Flowering October.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001235","In open forest, 1800 m, on flat peaty-swampy quartzite ground, scattered, but common there. Flowering June.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001385006","Epiphytic shrub in sub-montane mossy forest at c.2500 m. Flowering in cultivation in June and July.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650836","Flowering September.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650842","In forest or scrub forest, 1900–2600 m. Flowering June–July.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000650846","In rain forest at 800 m, said to be rare. Flowering September.","Ecology","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
