"wfo_id","description","source","bibliographicCitation","URL"
"wfo-0000013358","It has been reported from K4 (Muguga) andT3 (Lushoto).","CE441634-A98B-4DF3-B2AF-0C8A614D04B8","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:200876-1#descriptions"
"wfo-0000071996","This annual cornfield weed (cornflower) with bright blue marginal florets is native to Europe and the Middle East.","799AA94F-712A-48FF-BCCD-D7997D8570AB","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:200816-1#descriptions"
"wfo-0000395230","It is a W. African and Zaire species.","F8A02570-502C-4D3B-87AB-971CB964BE69","Guttiferae, P. Bamps, N. Robson & B. Verdcourt. Flora of Tropical East Africa. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:428981-1#descriptions"
"wfo-0000443938","Native to Europe and North America, or a hybrid of this species, has been cultivated near Nairobi—Nov. 1961, Graham Bell in E.A.H. 318/61A !; exact identification uncertain.","211C83E0-7E96-4D09-9100-E7E9183D16B0","Plumbaginaceae, C. M. Wilmot-Dear. Flora of Tropical East Africa. 1976","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:687035-1#descriptions"
"wfo-0000444086","Native to the Mediterranean region, has been grown near Nairobi, e. g. Langata, 16 Sept. 1972, Nzoika N. 3 !.","9BC26223-BB9B-4782-93F3-45194E2CE228","Plumbaginaceae, C. M. Wilmot-Dear. Flora of Tropical East Africa. 1976","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:686979-1#descriptions"
"wfo-0000500626","Was grown at Amani and may still be there. A native of Thailand, Sumatra, Borneo and Malaya.","BF08C61E-9470-4BCD-8387-514F4C2B1769","Dipterocarpaceae, B. Verdcourt. Flora of Tropical East Africa. 1989","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:321328-1#descriptions"
"wfo-0000505130","Native of the West Indies and Florida.","CBA70029-198C-4E97-9917-5192D3DCAF05","Meliaceae, Styles & F. White (Department of Plant Sciences, University of Oxford). Flora of Tropical East Africa. 1991","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1080203-2#descriptions"
"wfo-0000550425","Native of tropical Asia.","E9578348-7BC9-460C-AD3E-DF4ACC8810DF","Moraceae, C.C. Berg (University of Bergen). Flora of Tropical East Africa. 1989","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:582598-1#descriptions"
"wfo-0000648775","A native of the West Indies","9D2F2B46-1457-438D-A635-57F534ECFA62","Ebenaceae, F. White & B. Verdcourt. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322323-1#descriptions"
"wfo-0000649357","A native of Burma and Thailand.","364ECA5E-7BAF-402C-918B-61555BE0651C","Ebenaceae, F. White & B. Verdcourt. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322726-1#descriptions"
"wfo-0000651415","Was and probably still is growing at Amani. A native of SW. Asia and Malesia to the lesser Sunda Is.","9C19FB5D-4316-47DE-970E-5EC04F62DF87","Dipterocarpaceae, B. Verdcourt. Flora of Tropical East Africa. 1989","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:320751-1#descriptions"
"wfo-0000679758","Native of tropical S. America","3E830D64-980F-490A-B0CC-C8D730E7D44C","Erythroxylaceae, B. Verdcourt. Flora of Tropical East Africa. 1984","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:330132-2#descriptions"
"wfo-0000680010","Native of tropical S. America","700D401B-1816-4F95-809C-4AB51D139C83","Erythroxylaceae, B. Verdcourt. Flora of Tropical East Africa. 1984","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:97004-2#descriptions"
"wfo-0000828416","A species widespread in Europe and Asia, has been found introduced in Kenya (Muguga, Kagia Farm, Dyer!).","73288BE2-975E-403D-9116-B278B6FA37AE","Campanulaceae, Mats Thulin (University of Uppsala). Flora of Tropical East Africa. 1976","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:140949-1#descriptions"
"wfo-0001095316","Native to the Canary Islands, has been grown at Nairobi, e.g. Oct. 1961, Graham Bell 10 ! & Nov. 1961, Graham Bell in E.A.H. 318/61B !.","03DC5A30-B924-4161-9C48-52AB7723C689","Plumbaginaceae, C. M. Wilmot-Dear. Flora of Tropical East Africa. 1976","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:686918-1#descriptions"
"wfo-4000000996","Species 150–200; mainly in temperate and cold regions, especially in the northern hemisphere.","CC06B3FE-6E9F-42F0-9453-3974869510CE","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325863-2#descriptions"
"wfo-4000001038","Species ± 8; mainly in the Mediterranean region, but extending from Scandinavia to South Africa; several species have become naturalized in other temperate regions of the world.","8A4E55AF-E4BE-4B93-9FFF-3E43ED15A705","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30002921-2#descriptions"
"wfo-4000002951","The genus is confined to the mountains of tropical Africa","63911C7F-08AD-4CE8-AD6E-F41DDCE1B16D","Primulaceae, P. Taylor. Flora of Tropical East Africa. 1958","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:32751-1#descriptions"
"wfo-4000003139","A rather large genus of about 100 species occurring in tropical Africa and Asia.","E9E9238F-3DFA-4325-B1E1-169AC7AD4CBF","Annonaceae, B. Verdcourt. Flora of Tropical East Africa. 1971","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1971-1#descriptions"
"wfo-4000003794","Species ± 110; tropics, but most of the species confined to South America.","C33E14E4-A085-4B5C-8898-F447D6F54313","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:17570-1#descriptions"
"wfo-4000004820","About a hundred species, mainly in tropical Asia, but a few in Australia and Africa.“There is no more unsatisfactory genus than this” (Hooker).","AF45492C-F76E-4E04-82D5-34A4A78928D3","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331408-2#descriptions"
"wfo-4000006053","Seven species in tropical Africa.","5EAFA31B-11EC-4F3D-96E1-8EE93B83023F","Apocynaceae, E.A. Omino. Flora of Tropical East Africa. 2002","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:2237-1#descriptions"
"wfo-4000008173","Ten pantropical species.","E19F975C-B9A0-46D3-B174-D9A0D151E760","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30011907-2#descriptions"
"wfo-4000008196","Species 4; tropical Africa.","2C196E88-C6DE-42B5-B3C7-4C95F7DA29D7","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:17750-1#descriptions"
"wfo-4000008468","Three species in tropical Africa.","389111A5-FEFB-4ECC-8E3F-FA01DD4F698F","Tiliaceae, C. Whitehouse, M. Cheek, S. Andrews & B. Verdcourt. Flora of Tropical East Africa. 2001","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:39399-1#descriptions"
"wfo-4000008977","Species ± 20; on mountains from Turkey through the Caucasus and Iran to the Himalayas; northwards to the tundra; on the mountains of East Africa.","A34D7182-0C2D-42E4-8F42-87B28D634C34","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:17789-1#descriptions"
"wfo-4000009452","About 30 species from the Americas; some species cultivated.","FA530EC7-B8EF-41D5-BB25-B33DEA67F3C0","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:8410-1#descriptions"
"wfo-4000009482","Species about 23 in South Africa with 1 species extending northwards into Ethiopia and Arabia.","CDE08859-3A91-46AD-BC0F-A7A190983C60","Crassulaceae, G.E. Wickens. Flora of Tropical East Africa. 1987","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30005010-2#descriptions"
"wfo-4000011427","A small genus of about five species, one of which is widely spread throughout the warmer parts of both hemispheres.","D42E29A5-F02A-4ED3-8586-46269BF23882","Convolvulaceae, B. Verdcourt (East African Herbarium). Flora of Tropical East Africa. 1963","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:11850-1#descriptions"
"wfo-4000013043","A genus with 2 species in equatorial Africa, from S. Nigeria to W. Uganda","ECD46661-C566-40FF-B47E-73740F0B1F16","Passifloraceae, W. J. J. O. de Wildem (Rijksherbarium, Leiden). Flora of Tropical East Africa. 1975","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:31762-1#descriptions"
"wfo-4000013470","Species ± 30; tropics and subtropics, especially in Australia and Africa, preferring dry, open habitats.","512F4C4C-C4BB-42E4-A0FE-5FED67CD37C8","Gramineae, W. D. Clayton, S. M. Phillips And S. A. Renvoize. Flora of Tropical East Africa. 1974","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325131-2#descriptions"
"wfo-4000013785","About 200 species, nearly all in N America and Eurasia.","4A72E31F-7C32-498F-8E06-3CD2441BBD0A","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326342-2#descriptions"
"wfo-4000014578","A small genus of three species confined to Africa.","EA27864E-7782-4E27-914B-BB8FAE8F76EC","Convolvulaceae, B. Verdcourt (East African Herbarium). Flora of Tropical East Africa. 1963","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331608-2#descriptions"
"wfo-4000014894","One polymorphic species widely distributed in Europe, the Mediterranean and SW. Asia; even within this region its native area is blurred by naturalisation from cultivation as a condiment, which is its normal status in tropical Africa","3D32B911-C0EB-4272-89A6-5B5E609FF931","Umbelliferae, C.C. Townsend. Flora of Tropical East Africa. 1989","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:40005-1#descriptions"
"wfo-4000015580","Three species in tropical Africa, two in South Africa.","2319CC1C-D6E0-4EB3-B77E-919560CB20ED","Cucurbitaceae, C. Jeffrey. Flora of Tropical East Africa. 1967","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:13294-1#descriptions"
"wfo-4000016378","A moderate-sized genus of 40–50 species in S. and tropical Africa, Madagascar, Indonesia, Tasmania, New Zealand, Antarctica, Hawaiian Is., Central and South America","38BBDD46-79A0-4215-8133-CEA6C894AA2D","Haloragaceae, R. Boutique (Jardin botanique national de Belgique) and B. Verdcourt (Royal Botanic Gardens, Kew). Flora of Tropical East Africa. 1973","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:19527-1#descriptions"
"wfo-4000016942","A monotypic genus confined to tropical Africa, so far known only from scattered localities.","172DB8EC-DB63-4F04-BA5C-716BA6CD10E6","Polygonaceae, R. A. Graham. Flora of Tropical East Africa. 1958","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:32504-1#descriptions"
"wfo-4000018105","Two species, one African, the other Asiatic.","A7220295-CF30-4D17-8BA1-6C8096883B00","Ulmaceae, R. M. Polhill. Flora of Tropical East Africa. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:40841-1#descriptions"
