"wfo_id","description","source","bibliographicCitation","URL"
"wfo-0000000178","Perennial herb or shrublet 0.6–1.2 m high, with several stems from a woody rootstock; much branched from the base; stems pale reddish brown, white-pubescent, with some glandular hairs, densely leafy, on older stems with dense leaf scars. Leaves linear, spreading or recurved, sessile, 0.5–2.8 cm long, 0.1–0.3 cm wide, base auriculate, margins revolute, apex acuminate and mucronate, thinly pubescent and scabrid with glandular hairs above, white-tomentose beneath. Capitula 7–11 mm long, heterogamous, many together in terminal leafy corymbs; stalks of individual capitula 1–4 mm long; phyllaries shiny yellow or orange especially in the outermost, multiseriate, lanceolate, 2.5–7 mm long, margins often erose, acute, stereome white-pubescent and glandular; receptacle honeycombed. Florets yellow or orange; outer florets in a single row (few, to 23), tube narrowly cylindric, with a wider base, 2–2.7 mm long, lobes 0.2–0.3 mm long and glandular, style 2.7–3.4 mm long; inner florets many (hundreds), tube cylindrical with a wider base, 3–3.5 mm long, lobes 0.3–0.4 mm long, anthers 1.3–1.5 mm long, style 3.8–4.3 mm long. Achenes ellipsoid, 0.6–0.8 mm long, glabrous; pappus proximally white, distally yellow, 3–3.5 mm long, with subplumose tips.","1ED58CDF-98BA-4C7C-BF6E-F96DE5DCE183","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:213158-1#descriptions"
"wfo-0000000408","Perennial succulent herb with thick fleshy tubers or rhizomes; stems ± trailing, to 1 cm in diameter, flowering scapes erect, 9–50 cm high. Leaves sessile, recurved, succulent, ± glaucous, often tinged with purple, especially beneath, obovate, oblanceolate to linear-lanceolate, 3–11 cm long, 0.5–3 cm wide, cuneate or attenuate into a comparatively wide petioloid base, margins entire, apex obtuse to acute, apiculate, sometimes with recurving margins. Capitula 1–3, terminal, discoid; involucre cylindrical, 12–21 mm long, 13–20 mm in diameter; bracts of calyculus obscure or absent; phyllaries 8–15, red-tinged, 12–21 mm long. Ray florets absent; disc florets bright red, corolla 12.5–19 mm long, tube glabrous, slightly expanded in upper two-thirds, lobes 1.2–5 mm long. Achenes 3–4 mm long, glabrous; pappus 9–15 mm long in flower, to 50 mm long in fruit (fide Lisowski). Fig. 140 (page 693).","247E4571-6427-476E-ABA2-FCA7BD66519E","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:227388-1#descriptions"
"wfo-0000000523","Perennial herb 0.3–1 m high, with stems from a woody rootstock; stems reddish, branching, appressed white-tomentose. Leaves greyish-green, sessile, oblong to lanceolate, 1–5 cm long, 0.3–1.2 cm wide, base semi-amplexicaul, margins slightly revolute, apex subacute and mucronate, densely tomentose on both surfaces. Capitula 9–12 mm long, heterogamous, solitary or in small groups, terminal, but through the branching resembling a many-headed leafy corymb; phyllaries shiny golden yellow or (the outermost) brownish, 3–4-seriate, lanceolate, 3–11 mm long, acute to obtuse, glabrous; receptacle honeycombed. Florets yellow to orange; outer florets many, tube filiform, 1.7–1.9 mm long, lobes 0.1–0.2, style 2–2.4 mm long; inner florets very many, tube narrowly infundibuliform, 2–2.2 mm long, lobes 0.3–0.4 mm long, anthers 0.9–1 mm long, style 2.3–2.6 mm long. Achene ellipsoid, 0.5–0.6 mm long, glabrous; pappus yellowish, 2–3 mm long, distally flattened, caducous individually.","8E3D97F7-23EE-4785-80FF-4FAC64CA7F43","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:212510-1#descriptions"
"wfo-0000000587","Shrub or woody herb 1-4 m tall; in regularly burned areas with annual shoots from a thickened perennating root to 3 cm in diameter; stems pale or reddish brown, glandular, minutely ascending-pubescent with T-shaped hairs. Leaves petiolate or sessile, ovate or elliptic, 3-15 cm long, 1.8-7 cm wide, base rounded to cuneate and decurrent on to petiole or petioloid base, margins sinuate-serrate, apex shortly and obtusely acuminate, apiculate, thinly pubescent above and more strongly so beneath, ± glabrescent; petiole up to 1.8 cm long. Capitula usually numerous in copious compound corymbiform cymes; stalks of individual capitula 1-8 mm, densely tomentose; involucre obconical, somewhat spreading, 3-5 mm long; phyllaries 4-8-seriate, elliptic to (broadly) ovate, obtuse, minutely apiculate, finely pubescent, 1.5-4.3 mm long, with glandular apex, becoming caducous, the innermost falling first. Florets 4-9 per capitulum; corolla mauve, pale lilac or rarely white, 4-7 mm long, lobes 1.3-2 mm long, glabrous. Achenes 1.5-2.1 mm long, minutely glandular, glabrous or almost so, 4-7-ribbed, carpopodium large; outer pappus of narrow scales 0.5-0.8 mm long, inner pappus whitish, 3.2-5 mm long.","76D7F588-0053-4605-9E90-FF5B55241ED3","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:259528-1#descriptions"
"wfo-0000000948","Herb 0.6–1.2(–2.4?) m high, erect, branching; stems hollow, ribbed, glandular-setose and araneose but glabrescent, with sinuate spiny wings from the leaf bases. Leaves sessile, spiny, pinnatisect, the basal ones largest, obovate to oblanceolate in outline, 3–50 cm long, 1–17 cm wide, attenuate into a petioloid base in the basal leaves, basally decurrent and ± semi-amplexicaul in the distal leaves, with 2–6 pairs of triangulate-lobulate lobes, with spines terminating the lobes and lobules and shorter marginal spines in between, scattered-setose above, setose beneath on midrib and veins and thinly araneose over the blade. Capitula subsessile, 3–8 together in subglobose terminal clusters; involucre 12–19 mm long; phyllaries many, imbricate in several series, lanceolate, 5–18 mm long, spiny-pungent, margins minutely to distinctly fimbriate or serrulate, arachnoid but rapidly glabrescent, the innermost longest; receptacle with setae ± 7 mm long. Florets 29–52 per capitulum; corolla white or mauve to lilac-pink, tube 9.5–11 mm long, lobes 3.5–5 mm long. Achenes broadly fusiform, 3.5–4 mm long, somewhat compressed, slightly curved, angled; pappus of many bristles 10–14 mm long, the longest expanded distally.","1B437F43-33AB-4083-A28D-97708196D232","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:188376-1#descriptions"
"wfo-0000001034","Shrub, less often a woody herb, erect or scandent, 1-4 m tall. Leaves bullate (always?), shortly petiolate or subsessile, elliptic, obovate or ovate, slightly pandurate, 5-11.5 cm long, 0.8-4 cm wide, base cuneate, sometimes somewhat expanded just above and then abruptly contracted to the rounded or subtruncate to subcordate base, margins crenate or sinuate-serrate, apex obtuse to acute, apiculate, dark green and shortly hispid above, softly shortly crispate-pubescent beneath; petiole up to 0.6 cm long. Capitula in spreading terminal compound corymbiform cymes; stalks of individual capitula densely crispate-pubescent; involucre appressed to spreading, 6-9 mm long; phyllaries 3-4-seriate, outer and median pubescent, inner pubescent only at the apex and darker towards the midrib and purplish-tinged in upper part, lanceolate, obtuse, acute or attenuate, apiculate, 4.5-6.8 mm long. Corolla pale mauve to purple, 7-9 mm long, lobes 2-2.5 mm long, glabrous or with a few fine long ascending hairs. Achenes 2.5-3 mm long, 4-6-ribbed, glabrous or sparsely ascending-pubescent; outer pappus of narrow lanceolate or oblong scales 1-1.2 mm long, inner pappus white, 4.5-6.5 mm long.","C4C46BD7-5254-4DC6-B274-BBBFED351170","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:259605-1#descriptions"
"wfo-0000001172","Annual herb to 1 m high; stem erect, pilose to glabrous. Leaves pinnatipartite or bi-pinnatipartite, 3–20 cm long, 2–6 cm wide, segments ovate to linear (narrower in upper leaves), sparsely pilose on both surfaces; petiole to 7 cm long. Capitula terminal, in lax corymbose cymes; peduncle to 13 cm long; involucre 8–10 mm long; outer phyllaries 8–10, pilose, inner phyllaries brown, ± 8, with yellow margins, pilose; paleae 8–10 mm long, glabrous. Ray florets golden yellow to orange, neuter, 8, rays 10–30x2–12 mm; disc florets yellow. Achenes black or dark brown, broadly obovoid or orbicular, 6–8 mm long, scabrid; aristae 2, to 2 mm long, antrorsely barbed, rarely absent.","FAFA4A89-A74C-4F66-BA05-1C01BB874EEC","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:185116-1#descriptions"
"wfo-0000001259","Perennial herb, 15–100 cm high, with creeping fleshy rhizome; stems leafy, erect, pale green, sometimes purplish at the base, glabrous. Leaves cauline, light green, usually with glaucous bloom beneath, succulent, sessile, obovate to almost rhombic, oblanceolate, elliptic or lanceolate, 2.5–11.5 cm long, 1–5.3 cm wide, base rounded to cuneate, margins entire or few-denticulate, apex rounded to obtuse and shortly apiculate, glabrous; pinnately veined but the veins strongly ascending and often with two especially prominent ascending lateral veins from near the base. Capitula radiate, 1–20 in a lax, long-stalked leafless terminal corymb; involucre cylindrical, slightly swollen at the base, 7–10 mm long, 4–8 mm in diameter, glabrous; bracts of calyculus 1–2, ovate-lanceolate or oblong-lanceolate, 1–2 mm long, glabrous; phyllaries 10–14, pale green, 6–9 mm long, glabrous, shortly tapered and bearded at the apex. Ray florets (5–)8, pale to bright yellow, corolla tube 3.5–4.5 mm long, glabrous or with a few hairs in upper part, rays 5–11 mm long, 1.5–3.5 mm wide, 4-veined; disc florets yellow with yellow styles and brown anthers, corolla 4.5–7.5 mm long, gradually expanded above the middle, glabrous, lobes 0.5–1 mm long. Achenes 2.7–4 mm long, ribbed, glabrous or sometimes sparsely hairy; pappus 4–7 mm long, white. Fig. 133 (page 645).","78780CD0-F6B0-4759-87D1-3AB2658491AD","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:247396-1#descriptions"
"wfo-0000001342","Shrub, 1.2–6 m high, much branched; bark grey, longitudinally fissured; branches tomentosewhen young. Leaves grey-green, fascicled and crowded on abbreviated shoots, recurved, linear, 1–4.5 mm long, 0.5 mm wide (to 8 by 1 mm on seedlings), margins involute, apex mucronate, tomentellous. Capitula 3–5 mm long, sessile, solitary or in few-headed fascicles and axillary in leaf-axils in the distal part of the branches, appearing as large compound leafy spikes; phyllaries grey-green, the inner yellowish, oblong, 1–4 mm long, obtuse, tomentellous. Florets golden brown or yellow, one per capitulum, tube cylindrical, 2.3–2.7 mm long, lobes ± 0.2 mm long, anthers 1.7–1.8 mm long, style 2.7–3 mm long. Achenes cylindric, 0.6–1.2 mm long, glandular-puberulous; pappus 1.8–2.7 mm long. Fig. 92 (page 453).","6070965D-BB1A-41EB-A1D0-8FA441E29DAF","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:251799-1#descriptions"
"wfo-0000001500","Herb, at least 50 cm high (probably more); stems striate, possibly angular, shortly ascending-pubescent. Leaves elliptic, 3-4 cm long, 0.5-1 cm wide, base cuneate into a petiole of 2 mm, margins obscurely serrate, apex acute, sparsely shortly hairy especially on veins beneath. Capitula numerous in rather lax divaricate compound corymbose cymes; stalks of individual capitula 1-7 mm long, shortly ascending-hairy; involucre hemispherical, 2.5-4.5 mm in diameter at flowering time; phyllaries 3-seriate, ovate or oblong, 2.2 mm long, obtuse, ciliate, inner membranous on upper margins and at apex, glandular and purplish in centre towards the apex. Florets ± 25 per capitulum; corolla 2.3 mm long, lobes 0.7-1 mm long. Achenes (immature) with a strongly asymmetrical apical tubular cup 0.6-0.7 mm long.","A97BEB0F-D1B7-4408-A4C2-D25A0CAF982E","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:934986-1#descriptions"
