"wfo_id","description","source","bibliographicCitation","URL"
"wfo-0000013358","The fleshy phyllaries are eaten.","CE441634-A98B-4DF3-B2AF-0C8A614D04B8","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:200876-1#descriptions"
"wfo-0000080671","It is cultivated elsewhere to provide root extract, used as a coffee additive.","663B7B4D-44DD-4EF5-9903-9527520B49DF","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:194533-1#descriptions"
"wfo-0000121598","Cultivated as a leaf vegetable","9B028938-A29E-40A7-AA5B-FB0479B0CE7F","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:194527-1#descriptions"
"wfo-0000212944","Is cultivated as a vegetable in East Africa.","28B00C59-3742-49BB-B0D2-E25CAA82AA99","Leguminosae, J. B. Gillett, R. M. Polhill & B. Verdcourt. Flora of Tropical East Africa. 1971","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523957-1#descriptions"
"wfo-0000235825","A source of balata rubber and a substitute for chicle, is native to Central and South America and has also been tried at Amani (Greenway 2801 !).","5B9FB151-246B-49A5-8DCD-DA843D58C41C","Sapotaceae, J. H. Hemsley. Flora of Tropical East Africa. 1968","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1032531-2#descriptions"
"wfo-0000235995","It bears edible fruit, known as sapodilla or nispero, and the latex is a source of chicle gum used in chewing gum.","AC0EBC4B-0F7F-4F41-A645-6AA474D90378","Sapotaceae, J. H. Hemsley. Flora of Tropical East Africa. 1968","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:152641-2#descriptions"
"wfo-0000335148","Is cultivated throughout the world for its beautiful inflorescences and has escaped from cultivation in various parts of the tropics in cooler upland areas, e.g. Tanzania, Matalu 3309!, Batty 635!","1B40D454-0904-4CDF-9A08-DB2F35F33699","Araceae, S.J. Mayo. Flora of Tropical East Africa. 1985","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:89403-1#descriptions"
"wfo-0000395230","The wood is useful and the seeds yield a vegetable butter.","F8A02570-502C-4D3B-87AB-971CB964BE69","Guttiferae, P. Bamps, N. Robson & B. Verdcourt. Flora of Tropical East Africa. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:428981-1#descriptions"
"wfo-0000407924","The corms are harvested just before flowering, and the stored starch extracted.","E758F8FC-D87C-4049-A003-895F4C8064F6","Musaceae, J.M. Lock. Flora of Tropical East Africa. 1993","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:584810-1#descriptions"
"wfo-0000487119"," is commonly used as a hedge or ornamental plant.","9BE94785-7A6B-4F2E-AD75-D9B596E91CF7","Plumbaginaceae, C. M. Wilmot-Dear. Flora of Tropical East Africa. 1976","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:687056-1#descriptions"
"wfo-0000492946","The wood is highly valued for its fragrance used in perfumes and cosmetics. The essence is distilled from the heartwood. The wood is one of the finest for carving. Senna siamea is recommended as a host.","F4DB6A2F-B35A-437C-85A9-FCF3B9F68DAE","Santalaceae, P.M. Polhill, B.A., Ph.D., F.L.S. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:780592-1#descriptions"
"wfo-0000604955","Natural camphor is prepared from the bark.","7E0A7F45-92FA-48FF-99E0-0A3F9906988D","Lauraceae, Bernard Verdcourt. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:463336-1#descriptions"
"wfo-0000649357","The leaves and fruits have been used as a black dye.","364ECA5E-7BAF-402C-918B-61555BE0651C","Ebenaceae, F. White & B. Verdcourt. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322726-1#descriptions"
"wfo-0000679758","A source of cocaine, has been grown in Tanzania at Amani as a hedge plant and in the plantations","3E830D64-980F-490A-B0CC-C8D730E7D44C","Erythroxylaceae, B. Verdcourt. Flora of Tropical East Africa. 1984","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:330132-2#descriptions"
"wfo-0000680010","Has been cultivated in Tanzania at Amani and is a source of cocaine","700D401B-1816-4F95-809C-4AB51D139C83","Erythroxylaceae, B. Verdcourt. Flora of Tropical East Africa. 1984","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:97004-2#descriptions"
"wfo-0000714461","Is a small tree, native of Australia, planted as a wind-break or boundary hedge or as an ornamental, particularly on tea estates in Tanzania.","1FFA08EA-5778-480E-AE61-FB9E95A4E41F","Proteaceae, R.K. Brummitt & Serena K. Marner. Flora of Tropical East Africa. 1993","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:704322-1#descriptions"
"wfo-0000731249","From Asia is cultivated on Pemba I., for use in thatching and weaving, and for its fragrant male inflorescences; this species has also been cultivated at Amani.","59955F21-6DFC-49FD-88BB-7C6679A0202B","Pandanaceae, H.J. Beentje. Flora of Tropical East Africa. 1993","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:671281-1#descriptions"
"wfo-0000733354","This is a native from tropical America and is a source of bitters and poison for flypaper.","A2CD1593-0AC1-4C84-92FC-C195C45D60AF","Simaroubaceae, Brian Stannard. Flora of Tropical East Africa. 2000","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:814006-1#descriptions"
"wfo-0000789707","Unusual for Gladiolus, the corms are eaten when available in Dhofar (Miller & Morris, 1988). Corms are reported to be eaten asa remedy for snake bite in northern Kenya (Gillett 12833).","E5839793-45F0-4CDF-9103-D5CC946CB9F8","Iridaceae, Peter Goldblatt. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:982802-1#descriptions"
"wfo-0000917419","Probably originated in tropical Asia, but has been cultivated by man since ancient times (‘Taro’, ‘Eddoa’, ‘Chinese Eddoe’, ‘Mayugwa’, ‘Kalo’ or ‘Timba’).","4D163A1E-FCF1-4A28-9063-254F4DB3CBDF","Araceae, S.J. Mayo. Flora of Tropical East Africa. 1985","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1170772-2#descriptions"
"wfo-0000965117","Is cultivated in many parts of the Old World Tropics for its massive starchy tuber.","E0381DDA-1497-4037-97C9-2D93DE9B0004","Araceae, S.J. Mayo. Flora of Tropical East Africa. 1985","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:60444138-2#descriptions"
"wfo-7000000488","Certain species have value as crops, as vegetables, or as medicines","A56A284D-BAD0-4D71-BC5F-102D32BF0B32","Polygonaceae, R. A. Graham. Flora of Tropical East Africa. 1958","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000532-2#descriptions"
