taxonId	coreId
wfo-0000000408	urn:lsid:ipni.org:names:227388-1
wfo-0000000587	urn:lsid:ipni.org:names:259528-1
wfo-0000002043	urn:lsid:ipni.org:names:943098-1
wfo-0000002731	urn:lsid:ipni.org:names:258597-1
wfo-0000002864	urn:lsid:ipni.org:names:246954-1
wfo-0000003588	urn:lsid:ipni.org:names:250511-1
wfo-0000003652	urn:lsid:ipni.org:names:228097-1
wfo-0000003754	urn:lsid:ipni.org:names:930587-1
wfo-0000004253	urn:lsid:ipni.org:names:258825-1
wfo-0000004735	urn:lsid:ipni.org:names:943085-1
wfo-0000006477	urn:lsid:ipni.org:names:935009-1
wfo-0000006705	urn:lsid:ipni.org:names:930589-1
wfo-0000006772	urn:lsid:ipni.org:names:212453-1
wfo-0000007045	urn:lsid:ipni.org:names:202526-1
wfo-0000007213	urn:lsid:ipni.org:names:185466-1
wfo-0000007337	urn:lsid:ipni.org:names:212803-1
wfo-0000008951	urn:lsid:ipni.org:names:943342-1
wfo-0000009373	urn:lsid:ipni.org:names:259284-1
wfo-0000009995	urn:lsid:ipni.org:names:201311-1
wfo-0000010762	urn:lsid:ipni.org:names:197410-1
wfo-0000010993	urn:lsid:ipni.org:names:185512-1
wfo-0000011329	urn:lsid:ipni.org:names:248251-1
wfo-0000011583	urn:lsid:ipni.org:names:213099-1
wfo-0000011630	urn:lsid:ipni.org:names:184632-1
wfo-0000012023	urn:lsid:ipni.org:names:228472-1
wfo-0000012321	urn:lsid:ipni.org:names:224936-1
wfo-0000014061	urn:lsid:ipni.org:names:246277-1
wfo-0000014319	urn:lsid:ipni.org:names:211429-1
wfo-0000015108	urn:lsid:ipni.org:names:1046536-2
wfo-0000015770	urn:lsid:ipni.org:names:228258-1
wfo-0000015772	urn:lsid:ipni.org:names:213026-1
wfo-0000016030	urn:lsid:ipni.org:names:213391-1
wfo-0000016245	urn:lsid:ipni.org:names:250012-1
wfo-0000016611	urn:lsid:ipni.org:names:259578-1
wfo-0000016763	urn:lsid:ipni.org:names:213033-1
wfo-0000018253	urn:lsid:ipni.org:names:245804-1
wfo-0000018279	urn:lsid:ipni.org:names:255747-1
wfo-0000018946	urn:lsid:ipni.org:names:210793-1
wfo-0000019221	urn:lsid:ipni.org:names:246700-1
wfo-0000019490	urn:lsid:ipni.org:names:199528-1
wfo-0000019988	urn:lsid:ipni.org:names:228182-1
wfo-0000020190	urn:lsid:ipni.org:names:258413-1
wfo-0000020781	urn:lsid:ipni.org:names:322565-2
wfo-0000021556	urn:lsid:ipni.org:names:235919-1
wfo-0000021749	urn:lsid:ipni.org:names:184911-1
wfo-0000021777	urn:lsid:ipni.org:names:930578-1
wfo-0000022559	urn:lsid:ipni.org:names:213488-1
wfo-0000023376	urn:lsid:ipni.org:names:184771-1
wfo-0000023456	urn:lsid:ipni.org:names:930567-1
wfo-0000023595	urn:lsid:ipni.org:names:202511-1
wfo-0000023795	urn:lsid:ipni.org:names:229067-1
wfo-0000023884	urn:lsid:ipni.org:names:259342-1
wfo-0000024404	urn:lsid:ipni.org:names:258663-1
wfo-0000024500	urn:lsid:ipni.org:names:229020-1
wfo-0000025218	urn:lsid:ipni.org:names:201197-1
wfo-0000025379	urn:lsid:ipni.org:names:238900-1
wfo-0000025699	urn:lsid:ipni.org:names:252275-1
wfo-0000026628	urn:lsid:ipni.org:names:185272-1
wfo-0000028460	urn:lsid:ipni.org:names:943121-1
wfo-0000029519	urn:lsid:ipni.org:names:185469-1
wfo-0000030713	urn:lsid:ipni.org:names:198368-1
wfo-0000030867	urn:lsid:ipni.org:names:930603-1
wfo-0000031092	urn:lsid:ipni.org:names:934983-1
wfo-0000032056	urn:lsid:ipni.org:names:930577-1
wfo-0000032100	urn:lsid:ipni.org:names:254724-2
wfo-0000034309	urn:lsid:ipni.org:names:971838-1
wfo-0000035928	urn:lsid:ipni.org:names:203207-1
wfo-0000035994	urn:lsid:ipni.org:names:935000-1
wfo-0000037718	urn:lsid:ipni.org:names:233040-1
wfo-0000037902	urn:lsid:ipni.org:names:198439-1
wfo-0000038145	urn:lsid:ipni.org:names:226143-1
wfo-0000038902	urn:lsid:ipni.org:names:934985-1
wfo-0000040123	urn:lsid:ipni.org:names:164002-2
wfo-0000040574	urn:lsid:ipni.org:names:176781-1
wfo-0000041028	urn:lsid:ipni.org:names:245716-1
wfo-0000041123	urn:lsid:ipni.org:names:908819-1
wfo-0000041246	urn:lsid:ipni.org:names:197576-1
wfo-0000041515	urn:lsid:ipni.org:names:930566-1
wfo-0000041787	urn:lsid:ipni.org:names:259489-1
wfo-0000041854	urn:lsid:ipni.org:names:232492-1
wfo-0000042129	urn:lsid:ipni.org:names:943127-1
wfo-0000043225	urn:lsid:ipni.org:names:250492-1
wfo-0000043280	urn:lsid:ipni.org:names:234318-1
wfo-0000043517	urn:lsid:ipni.org:names:246209-1
wfo-0000043751	urn:lsid:ipni.org:names:64809-2
wfo-0000043928	urn:lsid:ipni.org:names:185475-1
wfo-0000044587	urn:lsid:ipni.org:names:210529-1
wfo-0000046038	urn:lsid:ipni.org:names:259463-1
wfo-0000048979	urn:lsid:ipni.org:names:174987-1
wfo-0000051831	urn:lsid:ipni.org:names:908458-1
wfo-0000053109	urn:lsid:ipni.org:names:175448-1
wfo-0000055150	urn:lsid:ipni.org:names:239383-1
wfo-0000058511	urn:lsid:ipni.org:names:943122-1
wfo-0000060158	urn:lsid:ipni.org:names:188738-1
wfo-0000060942	urn:lsid:ipni.org:names:185228-1
wfo-0000062196	urn:lsid:ipni.org:names:236534-1
wfo-0000063396	urn:lsid:ipni.org:names:228160-1
wfo-0000063821	urn:lsid:ipni.org:names:943119-1
wfo-0000063885	urn:lsid:ipni.org:names:212661-1
