wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000498034,urn:kew.org:ftea:spec:ref:35159,T.C.E. Fr. in Notizblatt des Botanischen Gartens und Museums zu Berlin-Dahelm 8: 530 (1923).,T.C.E. Fr.,1923,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371133-1#bibliography,urn:lsid:ipni.org:names:371133-1
wfo-0000498034,urn:kew.org:ftea:spec:ref:35160,"A.D.Q. Agnew, Upland Kenya Wild Flowers p. 503 (1974).",A.D.Q. Agnew,1974,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371133-1#bibliography,urn:lsid:ipni.org:names:371133-1
wfo-0000498034,urn:kew.org:ftea:spec:ref:35161,"Agnew, A.D.Q. & Agnew, S., Upland Kenya Wild Flowers, ed. 2: 232 (1994).","Agnew, A.D.Q. & Agnew, S.",1994,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371133-1#bibliography,urn:lsid:ipni.org:names:371133-1
wfo-0000498034,urn:kew.org:ftea:spec:ref:35162,Sileshi in Kew Bulletin 53: 433 (1998).,Sileshi,1998,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371133-1#bibliography,urn:lsid:ipni.org:names:371133-1
wfo-0001268084,urn:kew.org:ftea:spec:ref:35163,Mildbr. in Notizblatt des Botanischen Gartens und Museums zu Berlin-Dahelm 8: 233 (1922),Mildbr.,1922,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371125-1#bibliography,urn:lsid:ipni.org:names:371125-1
wfo-0001268084,urn:kew.org:ftea:spec:ref:35164,"T.C.E. Fr. in Notizblatt des Botanischen Gartens und Museums zu Berlin-Dahelm 8: 530, fig. 11 (1923).",T.C.E. Fr.,1923,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371125-1#bibliography,urn:lsid:ipni.org:names:371125-1
wfo-0001268084,urn:kew.org:ftea:spec:ref:35165,"O. Hedberg, Afroalpine Vascular Plants pp. 154 & 315, t. 3/b (1957).",O. Hedberg,1957,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371125-1#bibliography,urn:lsid:ipni.org:names:371125-1
wfo-0001268084,urn:kew.org:ftea:spec:ref:35166,"A.D.Q. Agnew, Upland Kenya Wild Flowers p. 503 (1974).",A.D.Q. Agnew,1974,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371125-1#bibliography,urn:lsid:ipni.org:names:371125-1
wfo-0001268084,urn:kew.org:ftea:spec:ref:35167,"Agnew, A.D.Q. & Agnew, S., Upland Kenya Wild Flowers, ed. 2: 232 (1994).","Agnew, A.D.Q. & Agnew, S.",1994,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371125-1#bibliography,urn:lsid:ipni.org:names:371125-1
wfo-0001268084,urn:kew.org:ftea:spec:ref:35168,Sileshi in Kew Bulletin 53: 433 (1998).,Sileshi,1998,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:371125-1#bibliography,urn:lsid:ipni.org:names:371125-1
wfo-0000489451,urn:kew.org:ftea:spec:ref:35349,"M.G. Gilbert in Kew Bulletin 55: 800, fig. 1/f–h, map 2 (2000).",M.G. Gilbert,2000,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:1017490-1#bibliography,urn:lsid:ipni.org:names:1017490-1
