wfo-0000004304	urn:lsid:ipni.org:names:201373-1
wfo-0000006669	urn:lsid:ipni.org:names:228247-1
wfo-0000011185	urn:lsid:ipni.org:names:224932-1
wfo-0000013949	urn:lsid:ipni.org:names:904450-1
wfo-0000015140	urn:lsid:ipni.org:names:228255-1
wfo-0000016339	urn:lsid:ipni.org:names:186090-1
wfo-0000016774	urn:lsid:ipni.org:names:202958-1
wfo-0000017262	urn:lsid:ipni.org:names:228084-1
wfo-0000022663	urn:lsid:ipni.org:names:905464-1
wfo-0000023483	urn:lsid:ipni.org:names:229054-1
wfo-0000024237	urn:lsid:ipni.org:names:186094-1
wfo-0000025169	urn:lsid:ipni.org:names:184631-1
wfo-0000026202	urn:lsid:ipni.org:names:210798-1
wfo-0000028379	urn:lsid:ipni.org:names:257826-1
wfo-0000029267	urn:lsid:ipni.org:names:257730-1
wfo-0000029387	urn:lsid:ipni.org:names:258094-1
wfo-0000029396	urn:lsid:ipni.org:names:238757-1
wfo-0000031766	urn:lsid:ipni.org:names:930034-1
wfo-0000035211	urn:lsid:ipni.org:names:259116-1
wfo-0000035487	urn:lsid:ipni.org:names:258563-1
wfo-0000035966	urn:lsid:ipni.org:names:184526-1
wfo-0000036168	urn:lsid:ipni.org:names:945389-1
wfo-0000041644	urn:lsid:ipni.org:names:255170-1
wfo-0000043833	urn:lsid:ipni.org:names:258064-1
wfo-0000044639	urn:lsid:ipni.org:names:250112-1
wfo-0000052185	urn:lsid:ipni.org:names:259265-1
wfo-0000055557	urn:lsid:ipni.org:names:959946-1
wfo-0000055860	urn:lsid:ipni.org:names:259258-1
wfo-0000057681	urn:lsid:ipni.org:names:258764-1
wfo-0000060758	urn:lsid:ipni.org:names:250400-1
wfo-0000062243	urn:lsid:ipni.org:names:185813-1
wfo-0000062767	urn:lsid:ipni.org:names:208929-1
wfo-0000065831	urn:lsid:ipni.org:names:227878-1
wfo-0000066268	urn:lsid:ipni.org:names:258209-1
wfo-0000067277	urn:lsid:ipni.org:names:205011-1
wfo-0000072251	urn:lsid:ipni.org:names:257947-1
wfo-0000072744	urn:lsid:ipni.org:names:257798-1
wfo-0000074809	urn:lsid:ipni.org:names:225575-1
wfo-0000075562	urn:lsid:ipni.org:names:259250-1
wfo-0000078105	urn:lsid:ipni.org:names:229002-1
wfo-0000078284	urn:lsid:ipni.org:names:935017-1
wfo-0000080277	urn:lsid:ipni.org:names:258750-1
wfo-0000080671	urn:lsid:ipni.org:names:194533-1
wfo-0000080986	urn:lsid:ipni.org:names:188894-1
wfo-0000081694	urn:lsid:ipni.org:names:258891-1
wfo-0000083214	urn:lsid:ipni.org:names:201366-1
wfo-0000084888	urn:lsid:ipni.org:names:250231-1
wfo-0000088322	urn:lsid:ipni.org:names:201331-1
wfo-0000088890	urn:lsid:ipni.org:names:201321-1
wfo-0000090040	urn:lsid:ipni.org:names:258103-1
wfo-0000090202	urn:lsid:ipni.org:names:259491-1
wfo-0000090485	urn:lsid:ipni.org:names:930033-1
wfo-0000093657	urn:lsid:ipni.org:names:208839-1
wfo-0000094878	urn:lsid:ipni.org:names:934978-1
wfo-0000095175	urn:lsid:ipni.org:names:258355-1
wfo-0000095674	urn:lsid:ipni.org:names:948337-1
wfo-0000108746	urn:lsid:ipni.org:names:897846-1
wfo-0000111461	urn:lsid:ipni.org:names:258894-1
wfo-0000114140	urn:lsid:ipni.org:names:258403-1
wfo-0000114443	urn:lsid:ipni.org:names:259650-1
wfo-0000114684	urn:lsid:ipni.org:names:201364-1
wfo-0000115266	urn:lsid:ipni.org:names:250143-1
wfo-0000116054	urn:lsid:ipni.org:names:258848-1
wfo-0000116255	urn:lsid:ipni.org:names:945382-1
wfo-0000121817	urn:lsid:ipni.org:names:228005-1
wfo-0000122499	urn:lsid:ipni.org:names:258309-1
wfo-0000123815	urn:lsid:ipni.org:names:258229-1
wfo-0000126242	urn:lsid:ipni.org:names:201246-1
wfo-0000129582	urn:lsid:ipni.org:names:259163-1
wfo-0000130781	urn:lsid:ipni.org:names:201247-1
wfo-0000130951	urn:lsid:ipni.org:names:257895-1
wfo-0000131393	urn:lsid:ipni.org:names:258024-1
wfo-0000133732	urn:lsid:ipni.org:names:258915-1
wfo-0000134240	urn:lsid:ipni.org:names:211421-1
wfo-0000136028	urn:lsid:ipni.org:names:259580-1
wfo-0000136352	urn:lsid:ipni.org:names:238753-1
wfo-0000136862	urn:lsid:ipni.org:names:201245-1
wfo-0000155376	urn:lsid:ipni.org:names:265466-1
wfo-0000156725	urn:lsid:ipni.org:names:268851-1
wfo-0000156784	urn:lsid:ipni.org:names:269060-1
wfo-0000156873	urn:lsid:ipni.org:names:269326-1
wfo-0000156935	urn:lsid:ipni.org:names:269564-1
wfo-0000157070	urn:lsid:ipni.org:names:270041-1
wfo-0000157130	urn:lsid:ipni.org:names:270323-1
wfo-0000163680	urn:lsid:ipni.org:names:485795-1
wfo-0000163928	urn:lsid:ipni.org:names:485828-1
wfo-0000164390	urn:lsid:ipni.org:names:54641-2
wfo-0000165465	urn:lsid:ipni.org:names:489196-1
wfo-0000168307	urn:lsid:ipni.org:names:497148-1
wfo-0000168328	urn:lsid:ipni.org:names:497150-1
wfo-0000168485	urn:lsid:ipni.org:names:497161-1
wfo-0000168912	urn:lsid:ipni.org:names:500984-1
wfo-0000169220	urn:lsid:ipni.org:names:501145-1
wfo-0000169895	urn:lsid:ipni.org:names:515936-1
wfo-0000170206	urn:lsid:ipni.org:names:512242-1
wfo-0000171776	urn:lsid:ipni.org:names:490084-1
wfo-0000171876	urn:lsid:ipni.org:names:525862-1
wfo-0000171877	urn:lsid:ipni.org:names:490365-1
wfo-0000171899	urn:lsid:ipni.org:names:490112-1
wfo-0000172062	urn:lsid:ipni.org:names:490203-1
wfo-0000172291	urn:lsid:ipni.org:names:490314-1
wfo-0000172662	urn:lsid:ipni.org:names:516416-1
wfo-0000172802	urn:lsid:ipni.org:names:516562-1
wfo-0000172910	urn:lsid:ipni.org:names:516585-1
wfo-0000173146	urn:lsid:ipni.org:names:472685-1
wfo-0000173360	urn:lsid:ipni.org:names:472748-1
wfo-0000173689	urn:lsid:ipni.org:names:472845-1
wfo-0000173711	urn:lsid:ipni.org:names:472853-1
wfo-0000173751	urn:lsid:ipni.org:names:472860-1
wfo-0000173772	urn:lsid:ipni.org:names:472876-1
wfo-0000173815	urn:lsid:ipni.org:names:472904-1
wfo-0000174052	urn:lsid:ipni.org:names:472955-1
wfo-0000174095	urn:lsid:ipni.org:names:472964-1
wfo-0000174128	urn:lsid:ipni.org:names:472986-1
wfo-0000174555	urn:lsid:ipni.org:names:498721-1
wfo-0000174631	urn:lsid:ipni.org:names:498723-1
wfo-0000175117	urn:lsid:ipni.org:names:498755-1
wfo-0000175259	urn:lsid:ipni.org:names:501270-1
wfo-0000175349	urn:lsid:ipni.org:names:501274-1
wfo-0000175359	urn:lsid:ipni.org:names:501275-1
wfo-0000175412	urn:lsid:ipni.org:names:501277-1
wfo-0000175817	urn:lsid:ipni.org:names:501295-1
wfo-0000175867	urn:lsid:ipni.org:names:501297-1
wfo-0000176092	urn:lsid:ipni.org:names:510643-1
wfo-0000176289	urn:lsid:ipni.org:names:518653-1
wfo-0000004854	urn:lsid:ipni.org:names:201354-1
wfo-0000005070	urn:lsid:ipni.org:names:185834-1
wfo-0000005782	urn:lsid:ipni.org:names:228364-1
wfo-0000008360	urn:lsid:ipni.org:names:238734-1
wfo-0000010078	urn:lsid:ipni.org:names:186164-1
wfo-0000012549	urn:lsid:ipni.org:names:202942-1
wfo-0000013617	urn:lsid:ipni.org:names:258756-1
wfo-0000014664	urn:lsid:ipni.org:names:186165-1
wfo-0000017427	urn:lsid:ipni.org:names:258545-1
wfo-0000017828	urn:lsid:ipni.org:names:259051-1
wfo-0000021069	urn:lsid:ipni.org:names:258893-1
