"wfo_id","description","source","bibiographicCitation","URL"
"wfo-0000389805","Chromosome number n=7 (ring of 14 at meiotic metaphase I).","80DB099D-1A6F-41ED-9920-F9FDE80BAE35","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:173348-2#descriptions"
"wfo-0000443142","Chromosome number n = 24.","4635A239-F69B-4876-9531-3A3ADE7DDAA5","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613302-1#descriptions"
"wfo-0000443162","Chromosome number n=8.","2B1978AF-B0F9-44DA-B8E0-5C5587C47D62","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:144351-2#descriptions"
"wfo-0000443282","Chromosome number n=8.","3BA4AC97-25B2-4F94-B426-502FAA616F0E","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613408-1#descriptions"
"wfo-0000443427","Chromosome number n=16 (in F.Z. area).","2BAEC678-D8C1-4362-8151-53560EDD59EB","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:144385-2#descriptions"
"wfo-0000443438","Chromosome number n=24 (in African populations).","D67A7EEC-C48E-436E-92CD-4CB448E13F4B","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:144366-2#descriptions"
"wfo-0000443473","Chromosome number n=16.","40FD941E-3A5D-4EC9-8A3F-531F6D39A50F","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613445-1#descriptions"
"wfo-0000443479","Chromosome number n=8.","88852C98-A879-4EB6-800E-8FB6D8F32D97","Onagraceae, P. H. Raven. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:613435-1#descriptions"
"wfo-0000648771","Chromosome number: 2n = 30.","61B59076-711B-43E0-8D6F-53FCD395CFE0","Ebenaceae, F. White. Flora Zambesiaca 7:1. 1983","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322319-1#descriptions"
"wfo-0000648873","Chromosome number: 2n = 30.","80B507B6-BE5C-41D1-852A-9C7A301D9867","Ebenaceae, F. White. Flora Zambesiaca 7:1. 1983","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322393-1#descriptions"
"wfo-0000649108","Chromosome number: 2n = 30.","9C2ABFD6-8277-400D-8C46-AA734FF4FFDB","Ebenaceae, F. White. Flora Zambesiaca 7:1. 1983","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322528-1#descriptions"
"wfo-0000649257","Chromosome numbers: 2n = 30, 60.","22E06200-80F0-4FB8-B6C4-36BC8BB56FA1","Ebenaceae, F. White. Flora Zambesiaca 7:1. 1983","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322637-1#descriptions"
"wfo-0000649333","Chromosome number: 2n = 30.","26BB6B1A-7878-45CB-A5E3-8E8E0C77CF06","Ebenaceae, F. White. Flora Zambesiaca 7:1. 1983","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322702-1#descriptions"
