"wfo_id","description","source","bibiographicCitation","URL"
"wfo-0000004253","Extends from southern Tanzania westwards to Angola and southwards to central Mozambique and Zimbabwe. In Malawi and in N. and W. Zambia it overlaps with the northern variety, var. superba.","4CAD022D-737C-42F0-AF12-DA42ACE7035C","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:258825-1#descriptions"
"wfo-0000080671","Native of northern Europe.","BE4C95D1-EE3E-44F8-8280-968CD7C602FE","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:194533-1#descriptions"
"wfo-0000213239","Also known from Burundi and Tanzania.","18ACB7BB-5521-4CED-B70C-F0F7534953C5","Leguminosae, various authors. Flora Zambesiaca 3:7. 2003","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475277-1#descriptions"
"wfo-0000214735","Also in Angola, Tanzania and D.R. Congo.","A1226470-5649-4CE5-91F0-C06129073A79","Leguminosae, R.K. Brummitt, A.C. Chikuni, J.M. Lock and R.M. Polhill. Flora Zambesiaca 3:2. 2007","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:484098-1#descriptions"
"wfo-0000420130","Also throughout tropical Africa S. of the Sahara, Egypt, Madagascar, India and Pakistan.","9FE06E0E-1C80-4BBA-BD7C-2CA67D142E78","Vahliaceae, D. M. Bridson. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:794918-1#descriptions"
"wfo-0000634449","Not known outside N. Rhodesia.","0723C4F1-1F40-44C5-88FF-666BB51141DF","Vitaceae, H. Wild and R. B. Drummond. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:870167-1#descriptions"
"wfo-0000723613","Known from only 3 collections, the one cited above and two from Katanga.","DB918E3D-EF41-44F1-A494-A77948C476C0","Celastraceae, N. K. Robson. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:161615-1#descriptions"
"wfo-0001279435","Not known from elsewhere.","F773734D-DBE5-4105-ABF1-78261E3FB029","Cucurbitaceae, C. Jeffrey. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:294358-1#descriptions"
"wfo-4000006104","A small genus of c. 25 species indigenous to Australia and New Caledonia.","4E774464-4350-4298-9CAC-78D444115EA2","Myrtaceae, F. White. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27451-1#descriptions"
"wfo-4000006513","Three species, two in tropical Africa, one in the Canary Is.","23A77868-983B-4419-A344-EA297D2A4D70","Campanulaceae, M. Thulin. Flora Zambesiaca 7:1. 1983","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331456-2#descriptions"
