"wfo_id","description","source","bibiographicCitation","URL"
"wfo-0000000587","An erect slender, sparingly-branched shrub up to c. 3(5) m. tall. Stems 1-several, pale or reddish-brown, up to c. 5 cm. in diam., upper stem and branches finely ribbed, granular-glandular and densely appressed-puberulous or tomentellous; indumentum of brownish small T-shaped hairs. Leaves petiolate; petiole up to c. 18 mm. long; lamina mostly to c. 10 x 5 cm., but up to c. 17 x 10 cm. in lower leaves, lanceolate to ovate, apex acute, base narrowly to shortly cuneate and somewhat decurrent on the petiole, margin subentire to serrate, upper surface ± sparsely hispid-pubescent or glabrescent, lower surface pubescent to tomentose; hairs patent, T-shaped; venation reticulate and ± prominent beneath. Capitula small, numerous in ± contracted globose-paniculate clusters c. 5 cm. across; clusters few to very many, terminal on leafy branches; capitula stalks 1–8 mm. long. Involucres up to c. 5 mm. long, narrowly campanulate-obconic. Phyllaries few-seriate, somewhat loosely arranged soon spreading, becoming caducous with the inner ones being shed first, scarious, thinly puberulous where exposed otherwise glabrous, ± densely glandular at the apex, the margins ± membranous and finely-ciliate, the midrib becoming ± prominent and dark-green or purple towards the apex and usually continued into a stiff point; the outer phyllaries from c. 1 mm. long, ovate-lanceolate; the inner phyllaries up to c. 4 mm. long and ± narrowly lanceolate or elliptic, apices obtuse to rounded and mucronulate. Florets 4–9 per capitulum, honey-scented; corollas white or mauve, 6–7 mm. long, gradually widening from the base. Achenes c. 2 mm. long, narrowly obovoid-turbinate, tapering to the base, faintly 4–6-ribbed or somewhat angular, minutely glandular, glabrous; outer pappus of small, caducous, linear, scale-like setae, inner pappus of white barbellate setae 4–5 mm. long.","421CF501-21CC-4DE6-980D-0841AC99FBC6","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:259528-1#descriptions"
"wfo-0000000620","A perennial herb up to c. 80 cm. tall, from a stout creeping woody roostock. Stems annual single erect simple, thinly pilose-araneose, leafy with the leaves decurrent in discontinuous wings on the stem; wings usually not extending to the node below, absent from uppermost leaves, up to c. 5 mm. wide, coarsely dentate with indumentum as in leaves. Leaves crowded at the stem base, decreasing in size and density towards the stem apex, sessile; basal leaves ascending-subrosulate, 10–27 x 2–6 cm., narrowly oblong-oblanceolate in outline, apex acute, base ± long-tapering becoming petiole-like, somewhat stem clasping, margins pinnatilobed or pinnatifid with the lobes irregularly and often inconspicuously dentate, upper surface and margins beset with patent stramineous spine-like bristles 2–4 mm. long, the longest at tooth apices, lower surface white felted-tomentose; upper cauline leaves fewer, decreasing in size becoming linear and bract-like. Capitula discoid, 3–7, laxly to densely clustered at the stem apex, 2–2.5 cm. in diam. Phyllaries mostly 8–15 x 1–2 mm., the outer and innermost somewhat shorter, linear-tapering or subulate, spine-tipped; the outer somewhat leaf-like with 1–4 mm. long spine-like bristles on the margins as in leaves, thinly pilose-araneose on the backs or glabrescent; the inner spinescent-ciliate to -barbellate or unarmed. Receptacular alveolae margins with paleaceous setae to c. 6 mm. long. Florets numerous; corollas yellow, 10–16 mm. long; achenes 2–3 mm. long, turbinate, obscurely 8–10-ribbed, hispid-strigose; pappus scales 20–40, 2–3-seriate, of subulate paleaceous barbellate setae 8–10 mm. long.","DD58988C-ABD4-4764-84A4-32D12E4B128A","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:184576-1#descriptions"
"wfo-0000001637","A low-growing perennial herb, up to c. 43 cm. tall from a woody rootstock. Stems annual, 1-several, somewhat decumbent, branched, leafy, white-woolly or pubescent at first soon ± glabrescent. Lower leaves with petioles up to c. 6 mm. long, other leaves subsessile; lamina 1.5–8 x 0.5–2.5 cm., narrowly oblong-elliptic to oblong-oblanceolate, apices acute to rounded, bases cuneate, margins strongly serrate to subentire, pubescent soon glabrescent, minutely glandular-punctate. Capitula many, large, laxly arranged, terminal and solitary on the branches, or 2–4 corymbiformly cymose on long stalks at the ends of the branches; stalks (1)3–10 cm. long, ascending, usually bracteate; bracts up to c. 5 mm. long linear, scale-like. Involucres 12–15 x 12–18 mm., ± broadly turbinate-campanulate. Phyllaries many-seriate, progressively longer towards the inside, greenish-stramineous, the tips dark-green or purplish, hispidulous to glabrescent, margins pectinate-denticulate orpungent-ciliate; the outer phyllaries from c. 2 mm. long, linear-lanceolate, acute mucronulate; the inner phyllaries up to c. 15 mm. long, narrowly oblong and somewhat tapered or abruptly narrowed to a mucronulate apex. Receptacle fimbriate-alveolate. Corollas cornflower-blue or mauve, up to c. 18 mm. long, narrowly tubular, gradually widening to a deeply lobed limb. Achenes purplish-brown when mature, 6–8 mm. long, narrowly subcylindrical to subfusiform, c. 10-ribbed, strigose-hispid; outer pappus of irregular, narrow, scale-like setae 1–3 mm. long; inner pappus of brown, purplish-tinged or sordid ± flattened, subplumose setae 8–11 mm. long.","E9FC3C0D-4B4B-4E2D-8C1A-5699C738CC2D","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:259257-1#descriptions"
"wfo-0000002542","A perennial herb up to c. 1 m. tall. Stems leafy, branching, appressed-pilose; the hairs short-stalked long-armed T-shaped. Leaves alternate, 3–9 x 0.8–3.5 cm., ovate-lanceolate to narrowly elliptic, apices acute mucronate, bases rounded to cuneate, margins entire to remotely serrulate; upper surface green drying brownish, finely pilose to pubescent, the hairs long-stalked T-shaped becoming rigid; lower surface whitish felted with short-stalked matted T-shaped hairs. Capitula many in laxly corymbiform cymes, stalks 0.2–35 mm. long, appressed tomentellous with a few subulate bracts. Involucres 8–10 x 5–13 mm., campanulate-cyathiform. Phyllaries many, margins narrowly hyaline, minutely ciliate-serrulate, obscurely 3-nerved, appressed tomentellous to sparsely so, the outer phyllaries c. 8 mm. long and subulate, the inner longer ± subequal lorate-lanceolate and acuminate-aristate or long cuspidate. Corollas mauve-purplish, 7–8 mm. long, narrowly funnel-shaped; lobes sparsely shortly setose, T-shaped hairs absent. Achenes c. 1.5 mm. long, narrowly turbinate-cylindric, truncate above, strongly c. 6-ribbed, minutely setulose between the ribs; pappus of few very caducous barbellate setae c. 2 mm. long.","AFBA7837-9488-4A09-A915-CD3B221106C0","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:210801-1#descriptions"
"wfo-0000002731","An erect slender annual herb, up to c. 85 cm. tall. Stems strict, becoming laxly branched and longitudinally ribbed or angular above; branches up to c. 30 cm. long, pubescent, ribbed. Leaves of upper stem up to 6 x 1 cm., oblanceolate to very narrowly elliptic, remotely serrulate on the margins becoming ± revolute, cuneate to the base; upper surface scabridulous, lower surface ± puberulous; lower leaves similar but decreasing in size, the lowermost soon withering. Capitula many, c. 3 per branch, corymbiform cymose; stalks sometimes dark-purple, slender, 1–8 cm. long. Involucres 8–12 mm. long, exceeding the pappus at anthesis, campanulate-obconic, later spreading. Phyllaries numerous, progressively longer towards the inside, the midribs continued as an apical bristle c. 1 mm. long, or apex finely attenuate, the lamina brownish- to whitish-pubescent below and brownish-hispid towards the apex, becoming somewhat scabridulous; the outer phyllaries subulate to lanceolate, the inner narrowly strap-shaped, narrowly acute or attenuate to the apex. Corollas purple, reddish-mauve or creamy-white, 8–10 mm. long, narrowly funnel-shaped. Achenes pale- to reddish-brown, c. 2.5 mm. long, narrowly subcylindric, truncate at apex, slightly narrowed to base, obscurely c. 5-ribbed, uniformly white strigose, glandular; outer pappus of short white scales shortly fimbriate apically or of small brownish deeply fimbriate lanceolate scales; inner pappus of 9–17 green or greenish-brown setae 6–7 mm. long, seta barbs appressed-ascending and decreasing in size and number towards the seta bases, or the barbs bristle-like and subplumose, ascending-patent and not diminishing to seta base.","DEB71342-A20C-4589-9A0A-393E175A65A3","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:258597-1#descriptions"
"wfo-0000003306","An erect suffrutex, to c. 1 m. tall, from a ?woody rootstock. Stems annual, 1-several, sericeous-lanate, sparsely branched and leafy near the apex, simple and leafless below, becoming woody. Leaves sessile discolorous, markedly bullate, briefly stem-sheathing at the base, mostly 4.5–19 x 0.4–0.7 cm., linear; acute at the apex, semi-amplexicaul and subauriculate below from a short membranous, sericeous-lanate sheath ± as long as wide; margins revolute, serrate; upper surface bullate and ± sparsely lanate-pubescent, under surface densely greyish or brownish araneose-sericeous; main nerves usually more than 20 on each side of the midrib, impressed on the upper surface and prominent beneath, venation reticulate. Capitula many, usually terminal on branches with 2–3 subsidiary capitula in axils below, on short or long stalks. Involucres mostly 20–25 x 15–20 mm., obconic-campanulate. Phyllaries green often purple-tinged, appressed imbricate, thinly coriaceous, glabrous outside, margins hyaline often purple-tinged, from 2 mm. long and ovate outside increasing to c. 23 mm. long and becoming narrowly lorate inside; middle phyllaries to c. 3.5 mm. wide, ovate-oblong, rounded at the apex. Corollas red, up to c. 24 mm. long, with a long slender tube abruptly dilated into a short cylindric deeply narrowly lobed limb which exceeds the pappus and involucre, glabrous; corolla lobes up to c. 6 mm. long, linear. Achenes ?6–10 mm. long, narrowly-cylindric, obscurely many-ribbed, densely appressed hispid; pappus of copious barbellate setae to c. 15 mm. long.","01B79ED9-C086-48B9-BD8E-078AA274EE9F","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:238731-1#descriptions"
"wfo-0000003627","A glabrous perennial herb with a prostrate creeping stem; rootstock semi-woody. Stems up to c. 1.4 m. long, flagelliforrn, usually solitary, simple or sometimes branched, often rooting at the nodes, internodes c. 5–15 cm. long. Leaves few to numerous, ± densely crowded at the stem base and also in fascicles at the nodes, the leaf fascicles often subtended by 2 broadly ovate-reniform foliaceous bracts; basal leaves subcoriaceous, up to 11(14)-2.5(3) cm., spathulate to oblanceolate, apices rounded-obtuse, margins subentire to denticulate, rarely also sinuate-dentate to lobed, bases attenuate often subauriculate below; fascicle leaves similar but usually smaller. Capitula solitary or few from the rootcrown and at the nodes; stalks 1–3 cm. long, simple, bracteate; involucres 10–13 x 3–4 mm. in flowering capitula, up to c. 15 x 5 mm. long in fruiting capitula, narrowly oblong-cylindrical; phyllaries imbricate, increasing uniformly from 3–4 mm. long and ovate on the outside to 13–15 mm. long and lanceolate on the inside, all eventually swollen and corky towards the base. Florets 12–20 per capitulum; corollas yellow, c. 15 mm. long, ligule c. 7 mm. long, lorate. Achenes greyish-brown, 4–5 x 1.5 mm., subfusiform-cylindric, with c. 5 ± inflated spongy ribs; pappus copious of fine, white, minutely barbellate setae 9 mm. long.","3BE70D0A-A7C9-4AFC-943D-5E761CC6E343","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:113642-3#descriptions"
"wfo-0000003652","An erect perennial herb to c. 1.3 m. tall, from a woody taproot. Stems solitary simple striate, ± densely glandular-pilose below, sparsely glandular-setose above, glabrescent; hairs up to c. 3 mm. long. Leaves cauline; the lowermost up to c. 25 x 6 cm., oblanceolate to elliptic, undivided, obtuse mucronate, shallowly sinuate-dentate and irregularly denticulate, attenuate with midrib narrowly winged petiole-like at the base, sparsely pilose-setose particularly on the midrib beneath; upper leaves decreasing in size towards the stem apex, becoming narrowly-elliptic to lanceolate, sessile and semi-amplexicaul. Synflorescence racemose to sparingly-branched divaricate-paniculate, up to c. 50 cm. long, branches much reduced (sometimes to c. 20 cm. long), sparsely glandular-setose, glabrescent, bracteate. Capitula subsessile to shortly stalked, 2–6 aggregated in remote dense clusters; involucres 8–10 x 2 mm. at time of flowering, to c. 14 x 4 mm. in fruiting capitula, cylindric to campanulate, often purple-tinged. Phyllaries 2–3-seriate, ciliolate above otherwise glabrous; the outermost phyllaries usually less than half the length of the inner, narrowly ovate; inner phyllaries 10–13 x 1.5–3 mm., narrowly lanceolate. Florets c. 5 per capitulum. Corollas 10–11 mm. long, yellow; tube c. 4.5 mm. long, very narrowly cylindric, glabrous; ligule erect c. 6 mm. long, oblanceolate, lobes apically papillose. Achenes dark-brown to black, 5–6 mm. long (including 0.5–1 mm. long beak), broadly flattened-ellipsoid, margins swollen, narrowly 1-ribbed on each face, ± sparsely hispidulous; pappus many-seriate of white barbellate setae c. 5–6 mm. long, outermost setae much smaller.","ACFF6849-5BA0-4AD9-A012-22286B834685","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:228097-1#descriptions"
"wfo-0000003724","A weak-stemmed perennial herb with a semi-woody rootstock. Stems trailing or scrambling to c. 3 m. long, or erect and up to c. 1.2 m. tall, mostly solitary, branched above, very leafy throughout becoming leafless below, terete hollow, sometimes ± glandular-setose above otherwise glabrous. Leaves glabrous, largest and crowded on the upper stem, 5–20 x 0.25–1.6 cm., linear-elliptic becoming linear-lanceolate and sessile towards the stem apex, attenuate above, entire or less often ± recurved acicular-dentate to lobed on the margins, attenuate and shortly sagittate at the base in lower leaves, becoming amplexicaul and subauriculate-sagittate in upper leaves; lobes up to c. 2 cm. long narrowly runcinate-triangular; ± well developed leafy axillary shoots usually present, at least in upper leaves, the young axillary growth densely brown-lanate later glabrescent. Capitula subsessile or shortly stalked, 2-many ± aggregated in terminal clusters or in lax corymbiform cymes; mature capitula subtended by 1-several subsessile buds; the bases of the capitula as well as the subtending buds and the capitula stalks enveloped in a white persistent lanate indumentum, synflorescence branches and capitula stalks densely glandular-setose or glabrous. Involucres c. 10–13 mm. long in fruiting capitula, cylindric later spreading, phyllaries eventually reflexed. Phyllaries few-seriate, imbricate, white-lanate outside where exposed, glabrescent towards the apices, usually also glandular-setose outside; the outermost c. 4 mm. long, narrowly ovate; the innermost 10–13 x 1.5–2.5 mm., lanceolate, ± obtuse at the apices. Florets numerous. Corollas yellow, c. 10–13 mm. long, pubescent about the junction of the tube and ligule; ligule c. 3–4 mm. long, oblong. Achenes reddish-brown, 2.5–3 mm. long, narrowly ellipsoid, somewhat flattened, c. 4-angular with ribs on the angles, smaller ribs developing in between, the main ribs becoming thickened and transversely rugulose, glabrous; pappus white, dimorphic, c. 11 mm. long composed of minutely barbellate setae intermixed with down-like hairs.","E26E867A-D65E-4482-81F8-5E8029680782","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:250041-1#descriptions"
"wfo-0000004253","Typical V. melleri is readily recognised by its smaller more numerous capitula.","4CAD022D-737C-42F0-AF12-DA42ACE7035C","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:258825-1#descriptions"
