taxonID,description,scientificName,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license,url
wfo-0000691487,Native of the Mediterranean.,Foeniculum vulgare,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000391825,Native of central and southern Europe.,Peucedanum ostruthium,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000720133,Native of south-west Asia. Formerly planted in estates from which it has spread.,Heracleum mantegazzianum,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000439047,Native of western America.,Symphoricarpos albus ,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000358123,Native of the Himalaya.,Leycesteria formosa,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000594324,Native of the Mediterranean.,Centranthus ruber,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000439387,Native of temperate South America,Sambucus ebulus,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000828416,Native of Eurasia.,Campanula rapunculoides,distribution,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000005955,Native of Mexico.,Erigereon karvinskianus,distribution,en,,,,28/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000120207,Native of west and central Asia.,Inula helenium,distribution,en,,,,28/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
