taxonID,description,scientificName,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license,url
wfo-0000435191,Woods and shady places; frequent.,Sanicula europaea,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000726631,"Marshes, fens, bog-margins and damp grassland; frequent.",Hydrocotyle vulgaris,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000678057,Sandy shores; frequent although rather local.,Eryngium maritimum,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000599113,"Hedges and road sides, mostly in the east and south-east; very rare and declining.",Chaerophyllum temulum,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000538692,Hedges and shady places; abundant except in parts of the west.,Anthriscus sylvestris,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000538624,"Sandy banks and road sides near the sea, mainly from Lough Foyle to Waterford; rare.",Anthriscus caucalis,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000434334,"Tilled fields; very rare, possibly extinct.",Scandix pecten-veneris,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000371898,"Road sides and waste-places; occasional in the north, extremely rare in the south. A former pot-herb.",Myrrhis odorata,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000431292,"Hedges, road sides and waste-places; locally abundant near the coast, rarer inland. Formerly cultivated for culinary use.",Smyrnium olusatrum,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000999868,"Woods, heaths and pastures; very frequent.",Alchemilla glaucescens,ecology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
