taxonID,description,scientificName,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license,url
wfo-0000391825,"Now, on the basis of molecular evidence, sometimes placed in the genus Imperatoria.",Peucedanum ostruthium,general,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000720133,"Substances secreted by this plant can make the skin photosensitive and cause a severe irritation, especially when it is exposed to bright sunlight",Heracleum mantegazzianum,general,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000426953,"The great variability in leaflet size and shape which this species exhibits is, to some extent, related to variability in chromosome number. Small plants, with narrow leaves and with twice the normal number of chromosomes, are found on dry, calcareous ground. Larger plants, with broader leaves and four times the normal number of chromosomes, occur in damper places. Intermediates abound, however, and Irish plants require further investigation.",Valeriana officinalis,general,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000828416,"The somewhat similar Campanula portenschlagiana, with greyish-blue flowers, is barely naturalised in a few places on walls and road sides mainly in the south. It may be confused with the violet-flowered Campanula poscharskyana, however. The distribution of these species in Ireland requires clarification.",Campanula rapunculoides,general,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000813712,"Easily mistaken for a member of the Asteraceae or Dipsacaceae, but the flowers are stalked, have a 5-toothed calyx and the fruits are capsules containing several seeds. Plants from coastal cliffs and walls are often rather robust with larger than normal bracts; those from sand-dunes are often decumbent.",Jasione montana,general,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000815533,"This species can be confused with Isoetes lacustris (2. Isoetaceae) which looks vegetatively similar and is found in similar situations. It differs in possessing 4 longitudinal air-canals in its leaves, which also contain easily visible, horizontal partitions.",Lobelia dortmanna,general,en,,,,27/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000019900,"Various American species of this genus cultivated in gardens are sometimes long-persistent or naturalised. The species most widely grown are *S. canadensis, 90–125 cm high, with rough or hairy leaves about 12 mm wide, and inflorescence with horizontal branches, is scattered in the northern half; this may be confused with the rarer *S. gigantea, often taller, with leaves 15–20 mm wide, smooth and shining on the upper surface, and with almost hairless stems. Plants called ‘S. canadensis’ in Britain and Ireland may, in fact, be a horticultural hybrid.",Solidago virgaurea,general,en,,,,28/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000072578,"The double form, often grown in gardens, is persistent.",Bellis perennis,general,en,,,,28/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0001130632,"A hybrid of garden origin. There are at least 3 other taxa of Aster which are naturalised; of these, A. novi-belgii, also known as Michaelmas daisy, is the most common and is more frequently recorded from the northern half. It is one of the parents of A. × salignus and has involucral bracts widest at or above the middle and broader, clasping leaves.",Aster ×salignus,general,en,,,,28/02/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0001117161,"A supposed hybrid between E. hyemale and another species; the second parent is said on cytological grounds to be E. ramosissimum, but as this has never been recorded for Ireland, and even in Britain is only a rare alien, the parentage must be considered uncertain.",Equisetum ×moorei,general,en,,,,06/11/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
