taxonID,description,scientificName,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license,url
wfo-0000726631,"Stem slender and creeping, rooting at the nodes. Leaves round, long-stalked, slightly crenate, hairless, 15–25 mm across, peltate. Peduncles shorter than leaf-stalks. Flowers very small, greenish-white, in compact clusters, or occasionally in 2 or 3 whorls on each peduncle. Fruit broad and flattened.",Hydrocotyle vulgaris,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000435191,"A hairless, slender perennial, 30–60 cm high. Leaves mostly basal, long-stalked, 35–50 mm across, palmatifid, with usually five wedge-shaped, toothed lobes, often themselves divided. Flowers pink or white, in small globular clusters, arranged in an irregular umbel. Bracts and bracteoles present. Calyx-teeth as long as the petals. Fruit round, covered with hooked bristles.",Sanicula europaea,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000678057,"A rigid, bushy perennial, 30–50 cm high, hairless and bluish-green. Leaves broad, very prickly, with conspicuous veins. Flowers pale blue, in very dense umbels interspersed with prickly bracts. Fruit covered with short spines, topped by the stiff, persistent calyx-teeth.",Eryngium maritimum,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000599113,"purple or purple-spotted, 50–100 cm high. Leaves twice- or thrice-pinnate; leaflets rather blunt. Umbels drooping in bud, with 5–10 unequal rays, the terminal umbels overtopped by the axillary ones. Bracts 0 or 1; bracteoles 5–8, drooping, shorter than the pedicels. Flowers white. Fruit 5–6 mm, 2–3 times as long as broad, slightly ridged.",Chaerophyllum temulum,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000538692,"Erect perennial, 70–120 cm, hairy, especially in the lower part; stem stout, hollow, grooved. Leaves large, triangular, thrice-pinnate; segments pointed. Umbels terminal, long-stalked, with 8–12 rays. Bracts absent; bracteoles broad, deflexed, often pinkish. Fruit 6–8 mm, very smooth and shining, 3 times as long as broad.",Anthriscus sylvestris,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000538624,"Annual. Stem weak, hollow, hairless, 25–50 cm high. Leaves hairy, rather small, twice- or thrice-pinnate. Umbels small, shortly stalked, opposite the leaves with 3–6 rays. Bracts 0 or rarely 1. Fruit 2 mm, ovoid, covered, except for the beak, with hooked bristles.",Anthriscus caucalis,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000434334,"A hairy annual, 15–50 cm high, with spreading branches. Leaves narrow, twice- or thrice-pinnate; segments linear. Umbels small, with 2 or 3 rays, or sometimes unbranched. Bracts absent; bracteoles about 5; fruit long, slender, consisting mainly of a long beak 3–4 times as long as the remainder. ",Scandix pecten-veneris,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000371898,"A hairy, aromatic perennial, smelling of aniseed; stem stout, hollow, grooved, branched, 60–100 cm high. Leaves large, twice- or thrice-pinnate, fern-like, flecked with white; leaflets toothed and pinnatifid. Umbels terminal, small, with 8–12 rays. Bracts absent; bracteoles 5–8, membranous, drooping. Flowers white. Fruit 15–20 mm, black, 3–4 times as long as broad, sharply ridged.",Myrrhis odorata,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000431292,"A coarse, hairless biennial or perennial, 50–120 cm high, with hollow, grooved stems. Leaves shining, ternate or biternate, the upper ones with a strongly inflated sheathing stalk; leaflets oval, toothed 4–5 cm long. Flowers yellowish-green, usually hermaphrodite though sometimes male, in umbels with 8–12 rays; bracts absent, bracteoles very small. Fruit broadly ovoid, strongly ridged, with diverging styles.",Smyrnium olusatrum,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000619241,"A hairless perennial, with a slender, smooth, often zig-zag stem 30–50 cm high, hollow after flowering, arising from a globular, deeply buried, underground tuber. Leaves few, mostly basal, triangular, mostly thrice-pinnate, withering early; upper stem-leaves twice-pinnate with almost linear leaf segments, with sheathing stalks. Umbels terminal, with 6–10 slender rays, drooping in bud; bracts very few or absent, bracteoles 2–5. Flowers small, white. Fruit 3–4 mm, ovoid-oblong, faintly ridged, with straight, almost erect styles.",Conopodium majus,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000391166,"Hairless or very minutely downy. Stem slender, solid, wiry, nearly smooth, 25–50 cm high. Leaves mostly basal, pinnate, with 4–7 pairs of toothed or pinnatifid, stalkless leaflets 15–20 mm long; upper stem-leaves usually finely dissected into numerous narrow segments. Flowers white in terminal umbels. Bracts and bracteoles absent. Fruit 2–2.5 mm, broadly ovoid.",Pimpinella saxifraga,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000391450,"Stem hollow, brittle, ridged, hairless, often 1 m high. Leaves large, coarse. Leaflets usually 3–4 pairs, stalked, 25–60 mm long, irregularly toothed and lobed. Flowers white or pink.",Pimpinella major,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000521573,"A hairless perennial with creeping rhizomes; flowering stems erect, hollow, grooved, up to 70 cm high. Lower leaves biternate, the upper ternate and often opposite; leaflets broadly lanceolate, pointed, toothed. Umbels terminal, with 12–20 rays; bracts and bracteoles absent. Flowers white. Fruit small, ovoid with long, downwardly curved styles. ",Aegopodium podagraria,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000431539,"A hairless perennial with erect stems 1–2 m high. Leaves simply pinnate; leaflets large, 4–5 on each side, finely and regularly toothed. Umbels large, terminal, with about 25 equal rays; bracts and bracteoles conspicuous, often leafy. Flowers white. Fruit ridged, longer than broad.",Sium latifolium,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000431539,"A hairless perennial with erect stems 1–2 m high. Leaves simply pinnate; leaflets large, 4–5 on each side, finely and regularly toothed. Umbels large, terminal, with about 25 equal rays; bracts and bracteoles conspicuous, often leafy. Flowers white. Fruit ridged, longer than broad.",Sium latifolium,morphology,en,,,,27/03/2024,"Parnell, John","Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",CC BY-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
