WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-4000000136,"Terrestrial herbs with pseudobulbous stems, evergreen, glabrous, mostly 30–60 cm tall. Pseudobulbs conical to cylindric, covered by the bases of the foliage leaves, close together. Foliage leaves 3–4, on the apex of the pseudobulb, plicate, lanceolate-ovate, cuneate at the base, petiolate, present during flowering. Inflorescences racemose, suberect and much shorter than the foliage leaves, arising from the basal portion of the new developing shoot; peduncles partly hidden by sheathing sterile bracts; rachis few-flowered; floral bracts persistent. Flowers large, resupinate; in Thai species usually white, cream-coloured, pink or yellowish with darker markings. Sepals united in their lower part into an urceolate body, adnate to the column foot and thereby forming a distinct spur-like or globose mentum. Petals free, smaller than the sepals. Labellum 3-lobed, spurless, mobile on the apex of the column foot, clawed at the base, with erect side lobes and a triangular or oblong mid-lobe; ornamented by one to few longitudinal keels. Column with a long, U-shaped column foot, glabrous; anther incumbent, versatile, with 8 clavate waxy pollinia. Capsule erect, held on an elongate pedicel.</br></br>A genus of 11 species distributed in a broad band ranging from Sri Lanka, southern India and the Himalayas through the whole of SE Asia eastwards to New Guinea, New Caledonia and the islands of the south-western Pacific Ocean, and also ranging northwards to southern and central China and southern Japan; 3 species in Thailand.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000000136,12,2,"Acanthephippium  . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 309. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05706
wfo-0000260807,"Flowering shoots to 50 cm tall. Pseudobulbs ovoid-cylindric, usually with 4 nodes, c. 7 by 1–1.5 cm. Foliage leaves (1–)2–3, elliptic to oblong-elliptic, acute, 19–32 by 7–8 cm; petioles 2–16 cm long. Inflorescences: peduncles c. 10 cm long; rachis short, 3- to 6-flowered; floral bracts ovate-lanceolate, to 30 by 18 mm. Flowers white, cream-coloured or yellow with red-brown veins, labellum white and its side lobes with purple markings and a yellow mid-lobe. Sepals obtuse; dorsal sepal oblong, 18–22 by 7–11 mm; lateral sepals obliquely oblong, 24–28 by 13–17 mm, recurved at the apices, basally adnate to the column foot to form a globose mentum. Petals oblong to oblong-lanceolate, obtuse, 18–22 by 6–10 mm. Labellum 3-lobed above the claw; mid-lobe triangular, reflexed at the middle, 4–5 by 2–5 mm; side lobes hatchet-shaped, suberect, 5–8 by 5–9 mm; disk ornamented by 3 rounded and smooth keels, laterals pronounced and median one insignificant. Column 10–12 mm long, column foot 22–26 mm long. Ovary (including pedicel) 20–32 mm long. Capsule not seen.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000260807,12,2,"Acanthephippium gougahense . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 310. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05707
wfo-0000262136,"Flowering shoots 35–60 cm tall. Pseudobulbs conical to cylindric, with several nodes, 8–15(–19) by 0.7–2 cm. Foliage leaves 1–2(–3), ovate-elliptic, acute, 20–30(–59) by (4–)6–11 cm; petioles 6–15 cm long, forming a pseudostem to 12 cm long. Inflorescences 1–2, semi-dense; peduncles 7–10 cm long; sterile bracts elliptic, 1.3–3.5 cm long; rachis 5–6.5 cm long, 5- to 10-flowered; floral bracts elliptic-lanceolate, acute or acuminate, 20–35 by 10–19 mm. Flowers white, pinkish, yellowish or cream-coloured with red veins, labellum with yellow mid-lobe, column white. Sepals elliptic-lanceolate, subacute or obtuse, lower two thirds fused; dorsal sepal 18–25(–28) by 7–12 mm; lateral sepals similar but wider, basally adnate to the column foot to form a narrow spur-like mentum to 22 mm long. Petals obovate or oblong, subacute or obtuse, 17–25 by 6–10 mm. Labellum 3-lobed, 20–30 by 15–22 mm, claw about 10 by 4–5 mm; mid-lobe triangular-flabellate, 4–7 by 5–8 mm; side lobes suberect, falcate, 7–10 by 7–9 mm; disk ornamented by a single obtuse keel, sometimes 2 very inconspicuous lateral keels also present. Column 8–14 mm long, rostellum semi-circular or shortly oblong, column foot to 40 mm long. Ovary (including pedicel) cream-coloured with violet lines, 28–42 mm long. Capsule ellipsoid, c. 45 by 17 mm, erect.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000262136,12,2,"Acanthephippium striatum . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 310. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05708
wfo-0000262239,"Flowering shoots 27–50 cm tall. Pseudobulbs conical to cylindric, to 15 by 2 cm. Foliage leaves 2 or 3, ovate-elliptic, acute, 25–40(–80) by 3.4–10.3 cm; petioles 5–11(–34) cm long. Inflorescences to 15 cm long, semi-dense; peduncles 3–9 cm long; rachis 1–3 cm long, 5- to 8-flowered; floral bracts elliptic-lanceolate, acute, sometimes dull purple, 24–30 by 12–21 mm. Flowers white or yellowish-white, sepals and petals with red dots distally, labellum mid-lobe yellow; flowers fragrant. Sepals elliptic-ovate, subacute, lower two thirds fused; dorsal sepal 23–28 by (10–)12–17 mm; lateral sepals 30–40 by 14–20 mm, basally adnate to the column foot  to form a globose mentum 14–15(–19) mm long. Petals obovate, subacute or obtuse, 24–29 by 10–16 mm. Labellum 3-lobed, 34–40 by 10–15 mm; mid-lobe oblong, recurved, 6–8 by 3.8–4 mm long; side lobes falcate, obtuse, suberect, 5–7 by 5–8 mm; disk ornamented by 3 or 5 erose or coarsely dentate keels. Column stout, 13–15 mm long. Ovary (including pedicel) 22–50 mm long. Capsule ellipsoid, to 60 mm long, erect.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000262239,12,2,"Acanthephippium sylhetense . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 312. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05709
wfo-4000000376,"Epiphytic, sympodial herbs with very short rhizomes; in addition to normal roots also sometimes producing erect, debris-catching roots (“catch-roots”). Pseudobulbs usually densely clustered, ovoid, relatively short and thick, each consisting of more than one internode and bearing 2–4 leaves. Foliage leaves narrow, much longer than the pseudobulbs, sheathing at base, duplicate, glabrous, deciduous. Inflorescences erect, racemous or paniculate, arising from the base of pseudobulbs, usually with many small flowers, relatively lax. Flowers opening widely. Sepals: dorsal sepal free, lateral sepals connate for their entire length to form a synsepal behind the labellum. Petals free, spreading. Labellum adnate to the basal half of the column, forming a short, narrow tube; labellum lamina bent at right angle to the column. Column straight, hooded at the apex, with 2 slender stelids that are translucent distally; column foot absent; pollinarium composed of 4 elongate solid pollinia arranged in 2 equal pairs and attached to a linear-spathulate stipe (tegule) and a tiny viscidium; rostellum beak-like. Ovary glabrous. Fruit a capsule.</br></br>A genus of c. 6 species distributed in NE India, Myanmar, Yunnan, Indo-China, Malaysia, Indonesia, Philippines, Papua New Guinea, Australia and the SW Pacific islands; 3 species in Thailand.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000000376,12,2,"Acriopsis  . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 313. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05710
wfo-0000406722,"Pseudobulbs ovoid or conical, covered with sheaths, 1.5–2.2 by 0.8–1.2 cm, with some erect white catch-roots in between. Foliage leaves 2(–4?) per pseudobulb, linear to elliptic-oblong, acute, thin-textured, glabrous, 7–10 by 0.4–0.8 cm. Inflorescences paniculate, lax, many-flowered, glabrous; peduncle (4.5–)8–10 cm long; main rachis 8–14 cm long; lateral branches 7–14 cm long; bracts triangular, minute, 1–2 mm long, glabrous. Flowers opening a few at a time; pedicel (including ovary) 6.5–9 mm long. Sepals glabrous, yellowish-green with small purplish dots, oblong, rounded, margin slightly involute; dorsal sepal boat-shaped, 4.3–5 by 1.2–1.5 mm; synsepal boat-shaped, 4.2–5 by 1.2–1.5 mm. Petals spreading, glabrous, yellowish-green with a few small purplish dots, obovate to shortly spathulate, slightly oblique, rounded, 4–4.1 by 1.9–2.5 mm. Labellum oblong to broadly ovate or somewhat fiddle-shaped, obtuse to rounded, margin often wavy, whitish or greenish with a few small purplish dots, 3.8–4.5 by 1.7–2 mm; 2 distinct parallel diskoid calli at the centre of the labellum. Column glabrous, 3.3–4 mm long, greenish, often becoming purplish towards the apex, hood pale purplish to whitish; stelids blunt, greenish or purplish, c. 1 mm long. Capsule not seen.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000406722,12,2,"Acriopsis indica . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 314. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05711
wfo-0000410535,"Pseudobulbs obclavate to obovoid, longitudinally furrrowed, 1.5–4 by 0.8–2 cm with erect white catch-roots in between. Foliage leaves 2(–3) per pseudobulb, linear-oblong, acute, gradually narrowed towards base, thin-textured, glabrous, 5.4–23.5 by 0.4–1 cm. Inflorescences racemose (less often paniculate), lax, many-flowered, glabrous; peduncle 18–25.5 cm long; (main) rachis 8.5–17 cm long; lateral branches (if present) 13–21 cm long; bracts triangular, minute, c. 1 mm long, glabrous. Flowers: pedicel (including ovary) 3–7 mm long. Sepals glabrous, greenish yellow with purplish mid-line, (linear-)oblong to oblong-ovate, rounded to subacute, margin slightly involute; dorsal sepal boat-shaped, 4.3–7.1 by 1.6–2.2 mm; synsepal boat-shaped, 4–7.2 by 2.1–3 mm. Petals spreading, glabrous, whitish to greenish-yellow with purplish mid-line, oblong, more or less oblique, rounded, 4–6.1 by 1.8–2.3 mm. Labellum 3-lobed, lateral lobes much broader than mid-lobe, whitish with purple patches on the centre of lateral lobes and mid lobe; side lobes semi-circular to obliquely ovate-triangular, rounded to subtruncate, margins  slightly wavy, 1.2–2.1 by 1.9–2.2 mm; mid-lobe oblong to oblanceolate, rounded to obtuse or retuse, 1.9–2.6 by 1–1.2 mm, margins straight to irregulary wavy; 2 prominent parallel discoid calli at the base of mid-lobe. Column glabrous, 3–5.3 mm long, purple, hood whitish to pale purplish; stelids blunt, whitish or greenish yellow, translucent at apex, 1–1.6 mm long. Capsule ellipsoid to subspherical, 8–11.2 mm long, 6–9 mm in diameter.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000410535,12,2,"Acriopsis liliifolia . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 315. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05712
wfo-0000414856,"Pseudobulbs ellipsoid to fusiform, slightly furrowed, covered with sheaths, 1.5–3.5 by 0.6–1.1 cm; without erect catch-roots. Foliage leaves 1–2 per pseudobulb, linear, acute to obtuse, thin-textured, glabrous, 4.5–15 by 0.3–0.6 cm. Inflorescences racemose, lax, 12- to many-flowered, glabrous; peduncle 10.4–22 cm long; rachis 8–19.5 cm long; bracts triangular, minute, c. 1 mm long, glabrous. Flowers: pedicel (including ovary) 5–10 mm long. Sepals glabrous, pale yellowish-green with purple markings, oblong, acute to rounded, margin slightly involute; dorsal sepal boat-shaped, 6.7–8 by 2.2–2.4 mm; synsepal boat-shaped, 6.8–8 by 2.2–2.6 mm. Petals spreading, glabrous, pale yellow with purple markings, obovate, slightly oblique, rounded, 4.8–6.6 by 3.1–3.2 mm. Labellum 3-lobed, white with pink calli; side lobes obliquely oblong, rounded to subtruncate, 1.4–1.6 by 1–1.5 mm, margins slightly wavy, spreading; mid-lobe broadly spathulate, 2.5–2.9 by 2.5–2.6 mm, rounded, sometimes retuse, margins irregularly wavy; proximal part of labellum with a median keel that splits to form 2 parallel diskoid calli on claw of mid-lobe. Column glabrous, dark purple proximally, white distally, 3.5–4.5 mm long, hooded; stelids blunt, dark purple with translucently greenish-yellow apices, swollen at apex, 1.8–2 mm long. Capsule not seen.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000414856,12,2,"Acriopsis ridleyi . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 317. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05713
wfo-4000002444,"Terrestrial or sometimes lithophytic herbs with corms borne shallowly underground, glabrous. Foliage leaves mostly 2 or 3, plicate, narrowly lanceolate, deciduous. Inflorescences erect, racemose, lax, unbranched or less commonly branched, arising from the base of the leafy shoot; peduncles with several sheathing sterile bracts; rachis few-flowered; floral bracts persistent. Flowers medium-sized, non-resupinate, base gibbous; perianth lobes forming a slightly downwards deflexed tube. Sepals connate in the lower two thirds, apices free and spreading to somewhat recurved. Petals connate at their very base and free above, elongate, spathulate. Labellum basally united with the column, spurless, narrow in the lower part, apical part expanded and 3-lobed, without prominent ornaments. Column elongate, apex dilated and geniculately incurved through 90 degrees, without column foot, apically obscurely winged; anther incumbent, versatile, with 4 rather soft pollinia; stipe absent.</br></br>A monotypic genus distributed from the eastern Himalayas and north-eastern India to Myanmar, Thailand, Indo-China and China.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000002444,12,2,"Anthogonium  . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 318. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05714
wfo-0000219340,"Flowering shoots 14–40(–50) cm tall. Underground corms globose, 0.7–1.5(–2.2) by 0.7–1.5(–2.3) cm. Foliage leaves 2–3(–5), present or absent during flowering, linear-lanceolate, acute, 14–35(–48) by 0.3–1.3(–3.5) cm; petioles (5–)7–13(–16) cm long, forming a pseudostem 5–11(–18) cm long. Inflorescences lax; peduncles brown or purple, 11–25(–35) cm long; sterile  bracts 3–6, tubular, lanceolate-oblong, acute or acuminate, usually 0.4–2.5 cm long; rachis 3–15  cm long, (2–)5‒20-flowered; floral bracts ovate-lanceolate, acuminate, green or pale maroon, (2–)3.5–5.5 by 0.8–2 mm. Flowers violet, pink or white, column light purple, white or cream-coloured, anther yellow. Sepals elliptic-ovate, subacute, fused into a tube 5–9 by 0.9–1.8(–2) mm; dorsal sepal 13–18 by 2–3(–4) mm; lateral sepals 12–15 by 3.8–5.6 mm. Petals spathulate, obtuse or acute, 11–17 by 1.5–3 mm. Labellum 3-lobed, (9–)10–16 by 8–12 mm; mid-lobe obtusely triangular or flabellate, 1.2–4 by 1.5–3.8(–4) mm; side lobes oblong or flabellate,  obtuse, suberect, 1.2–2.5 by (1.5–)2–4 mm. Column 11–15 mm long. Ovary (including pedicel) green or dull purple, 10–26 mm long. Capsule c. 18 by 4 mm.",general,EN,H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000219340,12,2,"Anthogonium gracile . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 318. Accessed 2022-04-21",All rights reserved,Forest Herbarium,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05715
