WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000260807,ver-THA-0000260807.01,yueak nam doi (เหยือกน้ำดอย)(General),,ref-THA-0000260807,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05707,Forest Herbarium,All rights reserved,"Acanthephippium gougahense . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 310. Accessed 2022-04-21",12,2
wfo-0000262136,ver-THA-0000262136.01,yueak nam doi (เหยือกน้ำดอย)(Northern),,ref-THA-0000262136,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05708,Forest Herbarium,All rights reserved,"Acanthephippium striatum . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 310. Accessed 2022-04-21",12,2
wfo-0000262136,ver-THA-0000262136.02,yueak nam noi (เหยือกน้ำน้อย)(Northern),,ref-THA-0000262136,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05708,Forest Herbarium,All rights reserved,"Acanthephippium striatum . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 310. Accessed 2022-04-21",12,2
wfo-0000262239,ver-THA-0000262239.01,nok kaeo pak ngai (นกแก้วปากหงาย)(General),,ref-THA-0000262239,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05709,Forest Herbarium,All rights reserved,"Acanthephippium sylhetense . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 312. Accessed 2022-04-21",12,2
wfo-0000406722,ver-THA-0000406722.01,chuk phram (จุกพราหมณ์) (Central)(General),,ref-THA-0000406722,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05711,Forest Herbarium,All rights reserved,"Acriopsis indica . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 314. Accessed 2022-04-21",12,2
wfo-0000406722,ver-THA-0000406722.02,nom nu hua klom (นมหนูหัวกลม)(General),,ref-THA-0000406722,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05711,Forest Herbarium,All rights reserved,"Acriopsis indica . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 314. Accessed 2022-04-21",12,2
wfo-0000410535,ver-THA-0000410535.01,chuk rohini (จุกโรหินี)(Nakhon Si Thammarat),,ref-THA-0000410535,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05712,Forest Herbarium,All rights reserved,"Acriopsis liliifolia . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 315. Accessed 2022-04-21",12,2
wfo-0000410535,ver-THA-0000410535.02,ruhini (รูหินี)(Nakhon Si Thammarat),,ref-THA-0000410535,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05712,Forest Herbarium,All rights reserved,"Acriopsis liliifolia . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 315. Accessed 2022-04-21",12,2
wfo-0000410535,ver-THA-0000410535.03,ueang nom nu (เอื้องนมหนู)(Nakhon Si Thammarat),,ref-THA-0000410535,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05712,Forest Herbarium,All rights reserved,"Acriopsis liliifolia . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 315. Accessed 2022-04-21",12,2
wfo-0000219340,ver-THA-0000219340.01,wan pao (ว่านป้าว)(Chiang Mai),,ref-THA-0000219340,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05715,Forest Herbarium,All rights reserved,"Anthogonium gracile . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 318. Accessed 2022-04-21",12,2
wfo-0000219340,ver-THA-0000219340.02,wan phrao (ว่านพร้าว)(Central),,ref-THA-0000219340,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05715,Forest Herbarium,All rights reserved,"Anthogonium gracile . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 318. Accessed 2022-04-21",12,2
wfo-0000243466,ver-THA-0000243466.01,ueang faeng (เอื้องแฝง)(General),,ref-THA-0000243466,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05717,Forest Herbarium,All rights reserved,"Aphyllorchis caudata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 320. Accessed 2022-04-21",12,2
wfo-0000243561,ver-THA-0000243561.01,ueang faeng phu (เอื้องแฝงภู)(General),,ref-THA-0000243561,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05719,Forest Herbarium,All rights reserved,"Aphyllorchis montana . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 324. Accessed 2022-04-21",12,2
wfo-0000243581,ver-THA-0000243581.01,kluai pluak (กล้วยปลวก)(Trang),,ref-THA-0000243581,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05720,Forest Herbarium,All rights reserved,"Aphyllorchis pallida . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 326. Accessed 2022-04-21",12,2
wfo-0000243581,ver-THA-0000243581.02,mot mai (มดหมาย)(Trang),,ref-THA-0000243581,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05720,Forest Herbarium,All rights reserved,"Aphyllorchis pallida . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 326. Accessed 2022-04-21",12,2
wfo-0001362846,ver-THA-0001362846.01,ueang bai phai phu wua (เอื้องใบไผ่ภูวัว)(General),,ref-THA-0001362846,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05724,Forest Herbarium,All rights reserved,"Arundina graminifolia caespitosa. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 330. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.01,khaem dok khao (แขมดอกขาว)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.02,khaem lueang (แขมเหลือง)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
wfo-0001426684,ver-THA-0001426684.03,nguan tak ngai (ง้วนตากหงาย)(Northern),,ref-THA-0001426684,TH,THA,https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=05723,Forest Herbarium,All rights reserved,"Arundina graminifolia graminifolia. Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 328. Accessed 2022-04-21",12,2
