WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-1000025423,"Scattered along streams in dry evergreen forests, 150 m alt. Flowering: April, May; fruiting: June.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-1000025423,16,1,"Alphonsea annulata . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 11. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08240
wfo-0000527334,"Shaded areas and streamsides in tropical rain forests or dry evergreen forests, sometimes in secondary forests, on limestone outcrops, sandstone, or granitic areas, 50–800 m alt. Flowering: January, February, May, June, August, September, December; fruiting: January, March, May, August, November, December.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527334,16,1,"Alphonsea boniana . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 13. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08241
wfo-0000527338,"Occurs in disturbed areas in lowland evergreen forests and shaded areas on limestone bedrock in evergreen rain forests, 125–180 m alt. Flowering: February–April; fruiting: February.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527338,16,1,"Alphonsea curtisii . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 14. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08242
wfo-0000527339,"Evergreen forests, ca 300 m alt. Fruiting: July.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527339,16,1,"Alphonsea cylindrica . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 15. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08243
wfo-0000527340,"Shaded and moist areas, disturbed areas in lowland evergreen forests, dry evergreen forests or beach forests, 0–300 m alt. Flowering: February, April, June, August, November, December; fruiting: February, April, August, November, December.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527340,16,1,"Alphonsea elliptica . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 15. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08244
wfo-0001347494,"Shaded or streamside areas in tropical rain forests, dry evergreen forests or mixed deciduous forests, sometimes on limestone hills in dry dipterocarp forests, 400–1,025 m alt. Flowering: January–May, December; fruiting: March–July, October, December.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0001347494,16,1,"Alphonsea glandulosa . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 16. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08245
wfo-1000001306,"Lowland evergreen forests on limestone outcrops, 70–270 m alt. Flowering: January–April; fruiting: March, May–August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-1000001306,16,1,"Alphonsea isthmicola . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 17. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08246
wfo-0000527348,"Dry evergreen forests on limestone outcrops, shaded areas in dry evergreen forests, disturbed areas in tropical rain forests, 50–200 m alt. Flowering: February, May, August, December; fruiting: April, May, September.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527348,16,1,"Alphonsea javanica . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 18. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08247
wfo-0000527350,Flowering: April.,ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527350,16,1,"Alphonsea keithii . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 18. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08248
wfo-0000527352,"Limestone hills in dry evergreen forests, shaded areas in tropical rain forests, 40–550 m alt. Flowering: February–June, August, September; fruiting: April, July, August, October–December.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000527352,16,1,"Alphonsea kingii . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 19. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08249
