Volume,Part,type,description,bibliographicCitation,WFOID,language,contributor,audience,rightsHolder,created,creator,source,rights,license,URI
2,1,use,"In Malesia the leaves are used as a paste against itches, eaten against syphilis, and a decoction is drunk after childbirth. In Jana the leaves are used against mumps, rheumatism, pimples, and piles; a decoction of the flowers is also used against cough and thrush. The fruits are eaten fresh or pickled, but are more acid than those of the preceding species. The juice is generally used against fever, scurvy, beri-beri, biliousness, coughs, and piles; it also removes stains from laundry, hands, and weapons.","Averrhoa bilimbi. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 22. Accessed 2021-07-31",wfo-0000557404,EN,J.F. Veldkamp,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000557404,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00040
2,1,use,"The fruits are eaten fresh or pickled. Leaves and fruits are said to be good against fevers, aptha, angina, chicken-pox, ringworm, headaches, scurvy, dysentery, piles, and affections of skin and eyes; they excite the appetite, but may cause vomiting. It is antiphlogistic and a sialogogue. The fruit removes stains from laundry, hands, and weapons.","Averrhoa carambola. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 21. Accessed 2021-07-31",wfo-0000557405,EN,J.F. Veldkamp,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000557405,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00039
2,1,use,Locally used for children’s diseases.,"Biophytum adiantoides. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 20. Accessed 2021-07-31",wfo-0000565432,EN,J.F. Veldkamp,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000565432,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00037
2,1,use,"Wood for temporary construction, fire-wood, and charcoal.","Bruguiera cylindrica. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 9. Accessed 2021-07-31",wfo-0000572742,EN,Ding Hou,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000572742,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00015
2,1,use,"Wood for temporary construction, fire-wood, and charcoal.","Bruguiera hainesii. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 10. Accessed 2021-07-31",wfo-0000572750,EN,Ding Hou,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000572750,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00016
2,1,use,"Wood for temporary construction, lire-wood, and charcoal.","Bruguiera parviflora. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 9. Accessed 2021-07-31",wfo-0000572758,EN,Ding Hou,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000572758,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00014
2,1,use,"Wood for temporary construction, fire-wood, and charcoal.","Bruguiera sexangula. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 8. Accessed 2021-07-31",wfo-0000572763,EN,Ding Hou,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000572763,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00013
2,1,use,Wood for construction.,"Carallia brachiata. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 13. Accessed 2021-07-31",wfo-0000586012,EN,Ding Hou,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000586012,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00023
2,1,use,"Wood for temporary construction. fire-wood, and charcoal. Bark yields best tannin.","Ceriops tagal. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 11. Accessed 2021-07-31",wfo-0000597945,EN,Ding Hou,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000597945,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00018
2,1,use,Fruit edible.,"Chrysobalanus icaco. Flora of Thailand. Vol. 2. Part 1, 1970. Pg. 71. Accessed 2021-07-31",wfo-0000830291,EN,J.E. Vidal,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000830291,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00138
