Volume,Part,type,description,bibliographicCitation,WFOID,language,contributor,audience,rightsHolder,created,creator,source,rights,license,URI
3,1,general,"Rhizome very short, erect, bearing fleshy roots, with a frond in each year in addition to a bud including a young shoot for the next year. Phyllomophore green or pale castaneous, fleshy, bearing stipule-like scales at base, downy hairy; trophophyll quadripinnate, oblong-subdeltoid, acute to acuminate at apex up to 30 cm long, 25 cm wide; lateral pinnae with 3 or more in opposite or alternate pairs below indefinite terminal ones, patent or slightly ascending, or the basal one somewhat deflexed, ultimate segments moderately acute or obtuse, with gross dentation formed by the apex of veinlets; texture coarse, fleshy, bearing pale downy hairs on axes as well as on laminar surfaces; sporophyll placed on rachis higher than at least the basal pair of lateral pinnae, with stalks 6–12 cm in length, spikes bi- or tripinnate, axes all downy hairy. Sporangia sessile on ultimate axes of spikes, globose.","Botrychium lanuginosum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 39–40. Accessed 2021-07-31",wfo-0001115231,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001115231,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0063
3,1,general,"Rhizome stout. Stipes stramineous to darker, to 13 cm long; hairs reddish brown to darker, bright, patent, stiff, multicellular, to 5 mm long. Fronds tripinnate to quadripinnatifid, to 25 cm long, 8 cm wide, oblong-lanceolate, acute at apex, roundly cuneate at base; rachis dark stramineous to brownish, densely hairy with shorter and darker bristles, wingless or very narrowly winged in upper portion, easily broken; pinnae usually more than 1 cm apart, narrowly elliptic, more or less falcate, acute at apex, truncate acroscopically and cuneate basiscopically at base, up to 6 cm long, 1.5 cm wide; pinna-rachis narrowly winged throughout, glabrous; pinnules oblong, round at apex, unequally cuneate at base, up to 1.5 cm long, 5 mm wide; ultimate segments linear, round to moderately acute at apex, entire; cell walls thin, smooth, sometimes the pagina clathrate. Sori on short branches, usually at distal side of pinnules; involucre cup-shaped, about 1 mm long and diam., with truncate mouth; receptacles long extruded.","Callistopteris apiifolia. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 85. Accessed 2021-07-31",wfo-0001116506,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001116506,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0135
3,1,general,"Rhizome erect, bearing many wiry roots and a tuft of fronds. Stipes wingless, dark stramineous, covered with dark brownish hairs, 0.8–1.2 mm in diameter, 5 cm or more long. Fronds pinnate, lanceolate in outline, gradually narrowing both upwards and downwards, 10–20 cm long, 2.5–4 cm wide; rachis very narrowly winged, sparsely hairy; pinnae many, with very short stalks, oblong-lanceolate, round at apex, unequally cuneate at base, serrate at margin, up to 2.5 cm long, 0.8 cm broad. Sori on acroscopic side of the upper pinnae, 2 to 5 on each pinna; fertile pinnae deeply cut on both sides of each sorus, sorus placed at apex of a lobe and the tips of involucre on the line of the edges of pinnae; involucre tubular, truncate at mouth, narrowly winged, thick in texture, 2 mm long, 1 mm diam.; receptacles very long extruded.","Cephalomanes javanicum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 96–97. Accessed 2021-07-31",wfo-0001124572,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001124572,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0157
3,1,general,"Rhizome short, fleshy bearing a few fronds at apex. Stipes up to 30 cm long; laminae pedate with 3–5 leaflets; middle leaflets elliptic, acute at apex, narrowly cuneate at base, up to 25 cm long, 8 cm broad, entire; the other lobes elliptic, smaller in size than the middle ones, sessile or very short stalked; costae and main lateral veins distinctly raised; veins copiously anastomosing, often with included free veinlets. Sori at vein junction in two or more irregular rows between the main veins.","Christensenia aesculifolia. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 43. Accessed 2021-07-31",wfo-0001117730,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001117730,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0070
3,1,general,"Rhizome massive, prostrate, very densely covered with golden yellow hairs. Stipes thick, sometimes attaining to 2 cm diam., more than 1.5 m long in larger ones, densely covered with shining, golden yellow, long (more than 4 cm long in some larger ones), slender or warty hairs at base, the hairs on upper parts not so dense, brown to darker, setose, gradually becoming shorter upwards; lamina large, up to 2 m in length, more than 1 m in width, bipinnate; pinnae many, the largest ones up to 75 cm long, 25 cm wide, with numerous pinnules; pinnules deeply pinnatifid throughout, very shortly stalked or subsessile at posterior parts of pinnae, linear-lanceolate, gradually narrowing towards acuminate apex, broadly cuneate to subtruncate at base, 10–15 cm long, 1.5–2.5 cm wide; ultimate segments oblong, oblique to subfalcate, acute at apex, shallowly but distinctly dentate at margin, glaucous in lower surface, 0.8–1.4 cm long, about 3 mm broad, with intervals of 4 mm between the adjacent costules; costae and costules covered with pale, entangled, flaccid, appressed hairs below; veins distinct, once (or twice in larger lobes) forked, sparsely hairy below. Sori terminal on usually unbranched lower veins, parallel to edge of lobes, protected by two indusia; outer indusia round, inner ones elongate at maturity, oblong.","Cibotium barometz. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 109–110. Accessed 2021-07-31",wfo-0000748037,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000748037,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0174
3,1,general,"Close to C. bipunctatum but different in the submarginal false veinlets uneven and often interrupted, the marginal cells sometimes more than 2 in rows, the other oblique striae many.","Crepidomanes bilabiatum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 90. Accessed 2021-07-31",wfo-0001126769,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001126769,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0144
3,1,general,"Rhizome about 0.7 mm diam., covered with dark brownish hairs. Stipes (0.5–)2–3 cm long, winged almost to the base, bearing short hairs. Fronds variable in shape and size, ovate to oblong, round to acute at apex, tripinnatifid, usually 4–8 cm long, 3–5 cm wide, often dwarfed with sori; pinnae 5–8 in pairs, the larger ones 1.5–3 cm long, 1–1.5 cm wide, shortly stalked or sessile in the upper ones; pinnules oblong to subdeltoid, with about 10 segments; ultimate segments linear-lanceolate, at a narrow angle to each other, acute at apex, entire and flat at margin; false veinlets marginal, continuous, occupying two rows of marginal cells, the other striae few. Sori on the apices of short axillary lobes; involucre tubular, 1–1.8 mm long, winged, the mouth bilabiate, the lips round to acute, as wide as long.","Crepidomanes bipunctatum. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 90–91. Accessed 2021-07-31",wfo-0001109776,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001109776,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0145
3,1,general,"Rhizome slender, densely covered with dark brownish hairs, bearing the fronds about 1 cm apart. Stipes short, 0.2–0.6 cm long, winged in the upper part. Fronds bipinnatifid, ovate to oblong-ovate, moderately acute at apex, cuneate at base, 1.5–2 cm long, 0.7–1 cm wide; pinnae with 2–5 segments, costae and costules with broad wings; ultimate segments round to acute at apex, entire and flat, about 0.6 mm wide, decurrent onto axes forming wings; false veinlets many, short and oblique, or submarginal and interrupted. Sori at apices of the short acroscopic segments; involucre tubular, winged, with bilabiate mouth, the lips round at apex, about one-third of the length of the involucre.","Crepidomanes brevipes. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 91. Accessed 2021-07-31",wfo-0000145670,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000145670,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0146
3,1,general,"Rhizome long-creeping usually on branches of tree, slender, densely covered with blackish hairs, about 0.3 mm diam. Stipe not so remote, 1–5 cm apart, 0.5–1.3 cm long, hairy. Fronds tripinnatifid, ovate to oblong in outline, acute to moderately acute at apex, gradually narrowing downwards, 4–6 cm long, 2–3 cm wide; pinnae about 10 in pairs, oblong to oblong-lanceolate, round at apex, broadly cuneate at sessile base, the largest ones 2 cm long, 0.8 cm wide; pinnules with 2 to 4 segments; segments lanceolate, round to moderately acute at apex, entire but undulate at margin, about 0.6 mm broad, with a single vein; false veinlets marginal, continuous or interrupted, with two rows of marginal cells, oblique false veinlets few if any. Sori one to a segment, usually in apical part of fronds; involucre tubular with dilated mouth, about 1 mm long, 0.8 mm diam., the mouth distinctly dilated, about 1.5 mm diam.","Crepidomanes christii. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 88. Accessed 2021-07-31",wfo-0000145674,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000145674,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0141
3,1,general,"Small dwarf plants. Rhizome very slender, densely covered with dark brownish hairs. Stipes short, less than 2 mm long, narrowly winged almost to the base, hairy. Fronds pinnate to bipinnatifid, oblong to subdeltoid but without definite shape, round to moderately acute at apex, broadly cuneate to subtruncate and often very shortly decurrent at base, at most 0.8 mm long 0.5 mm wide; ultimate segments 3 to 12, linear-lanceolate, round to acute or sometimes acuminate at apex, to 3 mm long, 0.7 mm broad, decurrent onto axes; intramarginal false veinlets continuous, with one row of marginal cells, other striae wholly wanting. Sori a few, sunk in the apex of the segments to the point of separation of the mouth; involucre funnel-shaped to campanulate, the mouth slightly dilated, with entire round lips, not typically bilabiate.","Crepidomanes kurzii. Flora of Thailand. Vol. 3. Part 1, 1979. Pg. 92–93. Accessed 2021-07-31",wfo-0001125318,EN,"M. Tagawa, K. Iwatsuki",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001125318,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0148
