WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000199687,ecology,EN,"Climbing on bushes, rocky limestone; alt. up to ca 300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821,4,2
wfo-0000185607,ecology,EN,"Disturbed and secondary evergreen forests, alt. up to 200–300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818,4,2
wfo-0000199691,ecology,EN,"Grasslands and thickets, scrub vegetation, forest margins, moist and dry mixed deciduous forests, also on limestone and sandy soil; alt. up to ca 400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199691,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,4,2
wfo-0000186090,ecology,EN,"In scrubs, dry deciduous dipterocarp forests, mixed deciduous forests, dry evergreen forests, especially in clearings and forest margins; alt. up to 1400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186090,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819,4,2
wfo-0000199698,ecology,EN,Along streams in dry evergreen forests; alt. ca 150 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199698,Forest Herbarium,All rights reserved,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812,4,2
wfo-0000195712,ecology,EN,Spontaneous in inundated localities.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000195712,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,4,2
wfo-0000199701,ecology,EN,"Bamboo jungles, deciduous and dry deciduous forests, savaimas, alt. 50–300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199701,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,4,2
wfo-0000186118,ecology,EN,"Shrub jungles and open, dry, deciduous jungles, savannas, at low altitudes.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186118,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810,4,2
wfo-0000199706,ecology,EN,Evergreen forests; alt. ca 200 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199706,Forest Herbarium,All rights reserved,"Acacia meeboldii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00815,4,2
wfo-0001387134,ecology,EN,In lower montane forests; alt. 1420 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001387134,Forest Herbarium,All rights reserved,"Acacia megaladena garrettii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 181. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00831,4,2
wfo-0000199709,ecology,EN,"Dry evergreen forests, mixed deciduous forests, dry deciduous forests, dry deciduous dipterocarp forests, scrub jungle, in clearings, along roadsides and forest margins; alt. up to 800 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199709,Forest Herbarium,All rights reserved,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,4,2
wfo-0000199707,ecology,EN,"Scrub jungle, deciduous forests; alt. 500–1000 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199707,Forest Herbarium,All rights reserved,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,4,2
wfo-0000199720,ecology,EN,In evergreen forests at low altitudes.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199720,Forest Herbarium,All rights reserved,"Acacia pluricapitata. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 176. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00827,4,2
wfo-0000199724,ecology,EN,"In evergreen scrub and at edge of swamps, at low altitudes.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199724,Forest Herbarium,All rights reserved,"Acacia thailandica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00822,4,2
wfo-0000199726,ecology,EN,Open scrubs and savannas; alt up to 1000 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199726,Forest Herbarium,All rights reserved,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,4,2
wfo-0000199731,ecology,EN,Evergreen forests; alt. ca 50 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199731,Forest Herbarium,All rights reserved,"Acacia torta. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00816,4,2
wfo-0001387138,ecology,EN,"Evergreen forests, mixed deciduous forests, also along forest margins and open fields; alt. up to ca 400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001387138,Forest Herbarium,All rights reserved,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789,4,2
wfo-0000209692,ecology,EN,In mixed deciduous forests.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000209692,Forest Herbarium,All rights reserved,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,4,2
