WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000524959,general,EN,"Large liane; branchlets at first tomentellous, later glabrescent. Leaves: petioles with tomentellous swellings at both ends, otherwise subglabrous, 2–10 cm; lamina elliptic-oblong or elliptic, base cuneate to broadly rounded, apex acuminate, (11–)19–32 by (4–)7–14 cm; 1–2 pairs of sub-basal nerves apart from 3–4 pairs of lateral nerves, nerves and reticulation raised on both surfaces, glabrous, upper surface often shining, thinly coriaceous. Inflorescences axillary and on older, leafless stems. Male flowers in axillary or ramiflorous fascicles; pedicels 4–6 mm, tomentellous; outer sepals 3+3, 1.5 mm long, tomentellous; inner calyx creamy-white to yellow, 10 mm long, externally tomentelluus; petals 3, fleshy, oblate, scarcely 1 mm long; lateral margins inflexed; synandrium 5 mm long, consisting of 24 stamens, in 6 vertical rows of 4. Female flowers solitary; outer sepals similar to male; inner calyx 6 mm long; petals 6, ± obovate, 1 mm long, glabrous; staminodes subulate, 2 mm; carpels 4–6, elongate-ovoid, 2.5 mm long, tomentellous, attenuated into a 1 mm long, subulate, glabrous style. Drupes orange, oblong-ellipsoidal to obovoid-ellipsoidal, 2.5–3.8 by 2–2.6 cm, on peduncle, ca 4 mm thick and 10 mm long; endocarp with a marginal raised ridge, 3 by 1.7 cm, smooth, crustaceous.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000524959,Forest Herbarium,All rights reserved,"Albertisia papuana . Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 308. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01422,5,3
wfo-0000524966,general,EN,"Woody climber; stems subtomentellous to puberulous when young, later glabrescent. Leaves with slender pubemlous petioles, 2–6 cm, not conspicuously thickened at the base or apex; lamina ovate to lanceolate, base rounded, apex attenuately acute, 9–16.5 by 4–8.5 cm, 2 pairs of sub-basal nerves, and 1–2 pairs of distal main lateral nerves, the nerves and fine reticulation raised on both surfaces, glabrous above, puberulous along nerves below, papyraceous. Male inflorescences and flowers unknown. Female flowers solitary, axillary on tomentose pedicels, 6 mm long; outer sepals in 2 whorls of 3, narrowly triangular, externally densely pubescent, the outermost 1.2 mm long, the next inner 2 mm long; inner calyx narrowly urceolate, very shortly 3-lobed, 7 mm long, externally pubescent-pilose; petals 6, rotund, subauriculate at base, 1 mm long, externally sparsely pilose; staminodes (not observed); carpels 6, curved-ellipsoidal, 1.5 mm long, densely pilose with a subulate, glabrous style, 2.5 mm long. Drupes orange, ellipsoidal, 1.5 by 0.8 cm, puberulous, on peduncles 3–7 mm long; endocarp subellipsoidal, slightly curved and flattened with a low dorsal ridge; the smooth surface covered with fine branched grooves.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000524966,Forest Herbarium,All rights reserved,"Albertisia puberula . Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 308. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01423,5,3
wfo-0000533338,general,EN,"Young stems and petioles, usually drying pale greyish straw-coloured, striate, glabrous. Leaves ovate to broadly ovate, 16–28 by 10–24 cm, base cordate to truncate (or broadly obtuse), apex usually acuminate, palmately 3–5(–7)-nerved, at base and with 4–5 pairs of lateral nerves running, ± parallel with the main, i.e. distal, pair of basal nerves, the lateral nerves linked together with scalariform veins, reticulum clearly visible and slightly raised below; glabrous on both surfaces apart from pockets of hairs, in the axils of the nerves and main veins; thinly coriaceous; petioles glabrous, 6–18(–26) cm, swollen at both ends, geniculate at the base. Inflorescences 16–40 cm, with lateral branches, 2–5 cm, glabrous; bracteoles ca 0.5 mm long. Male flowers with glabrous pedicels, up to 2–3 mm; sepals white, yellow or pale green; outer sepals 2, scarcely 1 mm long; inner sepals 6, broadly elliptic, 2.5–3 by 2 mm, glabrous; apart-from often minutely papillose margin; synandrium 1.5–2 mm long. Female flowers: sepals as in male; staminodes 6, minute, scarcely 0.25 mm; carpels 3(–4), curved-ellipsoidal, 1.5–2 mm; stigma thick, recurved. Infructescences wholly glabrous, lateral branches, up to 15 cm; carpophore (3–)6–16 mm, continuous with pedicels, 8–20 mm. Drupes white to purple, 9–11 mm long, glabrous; endocarp subreniform-globose, surface reticulate-rugulose with a weak dorsal groove; cotyledons ± narrowly elliptic, 5–7 mm long, 2 mm broad.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000533338,Forest Herbarium,All rights reserved,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,5,3
wfo-0000543220,general,EN,"Plant glabrous apart from leaf-domatia; stems with yellow wood and exudingyellow sap when cut, bearing prominent cup-like, petiole-scars. Leaves usually ovate, elliptic-ovate or broadly ovate, (10–)12–25 by (5.5–)8–19 cm, base usually rounded, truncate or slightly cordate, apex abruptly acuminate, palmately 5-nerved, at the base and with 1–3 pairs of lateral nerves, usually arising from above halfway along the midrib; both surfaces usually drying matt with a rather obscure reticulum, coriaceous; petioles (4–)7–15(–20) cm, swollen at both ends, geniculate at base. Inflorescences 10–50 cm, lateral branches, 1–5 cm. Male flowers sessile or subsessile subtended by an ovate bracteole, ca 1 mm long, which is strongly thickened at the base; outer sepals, 3–4, less than 1 mm long; inner sepals larger, 3 +3, elliptic, ovate or narrowly obovate, 1.5–2.5 mm long. Syandrium 0.5–1 mm long. Female flowers: main sepals 6, narrowly oblong with the apex becoming reflexed, 2.5–4 mm long; staminodes minute, scale-like; carpels 3, 1.5 mm long; stigma broad, sessile, papillose. Infructescences cauliflorous, usually branched, (5–)7–30(–45) cm, with thickened axis and branches, 3–6 mm diam., the fruits plus carpophores borne on the lateral branches, 1–3 borne together on a club-shaped, unbranched carpophore swollen at the apex, up to 4 cm. Drupes yellow, slightly laterally Compressed, transversely subovoid, 2.2–3 by 2.5–3.3 cm (long axis), 2–2.5 cm thick, drying finely rugulose, glabrous; endocarp woody.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000543220,Forest Herbarium,All rights reserved,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,5,3
wfo-0000552287,general,EN,"Stem tomentose when very young, later pubescent to glabrescent, striate, when old with prominent corky longitudinal ridges, up to ca 5 cm diam. Leaves scarcely peltate (outside Thailand petiole inserted, 1–2 mm from basal margin); petioles densely patent-pubescent, 7–12 cm; lamina ovate to broadly ovate, base cordate to truncate, rarely distally 3-lobed and with pointed subhastate basal lobes, apex caudate-acuminate, 9–19 by 7–17 cm, palmately 5(–7)-nerved at base with 2(–3) pairs of lateral nerves, both surfaces pubescent especially around base and along nerves; thinly papyraceous. Inflorescences up to 35 cm long, lateral branches 1–3 cm, patent-pubescent. Male flowers on pubescent pedicels, 1–3 mm; sepals 6–12, outer 3–6 green, ± narrowly elliptic, 2–3.5 mm long, puberulous, inner 3–6, yellow, obovate to broadly elliptic, 3 mm long, glabrous; petals 6, yellowish-green, cuneate-obovate with lateral edges inrolled, apically truncate; synandrium 2 mm long, column thick. Female flowers: sepals as in male; petals narrower; staminodes 1.5 mm long; carpels narrowly subovoid, 1.5 mm long; stigma reflexed, lobed. Drupes dark red, glabrous, drying flattened with a prominent longitudinal dorsal ridge, oblong-ovate in outline; endocarp flattened, scutiform, 17 by 10 mm, pointed at base and apex, marginal wings notched along the edge.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000552287,Forest Herbarium,All rights reserved,"Aspidocarya uvifera. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 333. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01456,5,3
wfo-0000552347,general,EN,"Young parts red-brown hairy. Leaves subcoriaceous, ovate-elliptic to ovate-oblong, 5–9 by 2.5–6 cm; apex retuse; base obtuse or rounded; mature leaves glabrous, except the proximal part of the midrib beneath; margin hyaline and often red hairy; lateral veins 4–5 pairs; petiole 1–1.5 cm long, sparsely hairy. Inflorescences rusty brownish pubescent, with short rachis, up to 12 cm long; peduncle 0.5–5 cm long; pedicels articulate at the middle, basal part densely hairy, more sparsely hairy towards the tip, older glabrous, except below the bracteoles, in flower 1–1.5 cm long, in fruit 2.5–3.5 cm long; bracts ca 1 mm long; bracteoles minute. Sepals ovate-oblong; apex rounded, ca 2 by 1 mm, glabrous. Petals whitish, oblong; apex rounded, 4–5 by 2–3 mm. Stamens: filaments 1.5–2 mm long, as long as the anthers. Ovary glabrous; styles 3–4 mm long; disk-lobes persistent, ca 2 mm long. Mericarps: lateral wings orbicular, pale, translucent; dorsal wing small, broadened towards base. Seeds triangular, 5–6 by 3–4 mm.",P. Sirirugsa,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000552347,Forest Herbarium,All rights reserved,"Aspidopterys concava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 288. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01406,5,3
wfo-0000552372,general,EN,"All parts except flowers yellowish-brown, hirsute. Leaves subcoriaceous, elliptic, ovate to obovate, 7–17 by 4–10 cm; apex acuminate to cuspidate; base subcordate; flower surface glaucous; margin ciliate; lateral veins, 6–9 pairs: petiole 4–10 mm lomg. Inflorescences with branches regularly opposite, umbel-like; pedicels articulate below middle, 3–7 mm long; bracts lanceolate, acute, 4–8 mm long; bracteoles acute, 1–2 mm long. Sepals oblong, apex rounded, base truncate, ca 2 by 1 mm, glabrous. Petals obovate, apex rounded, base truncate, keeled, 3–4 by 2–2.5 mm. Stamens: filaments 1–1.5 mm long; anthers 1.5–2 mm long. Ovary glabrous, globose, 0.5–1 mm in diam.; styles ca 3 mm long. Mericarps: lateral wings oblong, slightly narrowed towards the apex, both ends rounded or truncate, sometimes slightly repanda coriaceous, glabrous, 3.2–6 by 1–2 cm; dorsal wing undeveloped. Seeds linear, ca 7–10 by 2–3 m.",P. Sirirugsa,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000552372,Forest Herbarium,All rights reserved,"Aspidopterys hirsuta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 293. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01409,5,3
wfo-0000552383,general,EN,"Young parts mostly white-pubescent; old branches glabrous. Leaves coriaceous, elliptic, ovate, obovate or suborbicular, 6.5–13 by 5–12 cm; apex acuminate to cuspidate or mucronate; base obtuse, rounded or subcordate; upper surface glabrous; flower surface white-pubescent; nerves preminent; lateral veins 4–7(–8) pairs; petiole 1–4 cm long, pubescent, becoming glabrous with longitudinal ridges. Inflorescences up to 28 cm long; peduncle up to 7.5 cm long, pubescent; pedicels glabrous, articulate at middle or above, in fIower 2–18 mm long, in fruit 12–22 mm long; bracts lanceolate, 1–7 mm long; bracteoles acute, ca 1 mm long. Sepals obovate-oblong, apex rounded, base truncate, 1–2 by 1 mm, glabrous. Petals oblong to elliptic-oblong, apex rounded, base truncate, 4–5 by 2–2.5 mm. Stamens: filaments 1.5–2.5 mm long, filiform, broadened and slightly connate at base; anthers l–1.2 mm long. Ovary hirsute, globose, ca 1 mm in diam.; style 2–2.5 mm long. Mericarps: lateral wings ovate, apex emarginate or rounded, long whitish hairy, membranous, 1.8–3.5 by 1.3–2.5 cm; dorsal wing undeveloped; carpophore pyramidal, 1–2 mm high; disk-lobes acute, ca 1 mm high. Seeds linear, ca 10 by 2 mm.",P. Sirirugsa,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000552383,Forest Herbarium,All rights reserved,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,5,3
wfo-0000552401,general,EN,"Young parts rusty brownish hairy, becoming glabrous. Leaves coriaceous, elliptic, elliptic-ovate or obovate, 7–18 by 4–10 cm; apex acuminate to cuspidate; base subcordate; upper surface glabrous; flower surface brownish pubescent; lateral veins 5–8(–9) pairs; petiole 0–5 mm. Inflorescences pubescent; pedicels slender, articulate below middle, 3–15 mm long, pubescent; bracts lanceolate, 3–10 mm long; bracteoles acute, 1–2 mm long. Sepals ovate to ovate-oblong, apex rounded, base truncate, 2–3 by 1 mm, glabrous. Petals light yellowish, obovate-oblong, apex rounded, base truncate, keeled, 4.5–6 by 3 mm, sometimes ciliate. Stamens: filaments ca 1.8–2.5 mm long; anthers ca 1.5–2 mm long. Ovary glabrous, globose, ca 0.5 mm in diam.; style 2–2.5 mm long. Mericarps: lateral wings oblong, both ends rounded, truncate, or emarginate, coriaceous, glabrous, 2.5–5.2 by 1–1.8 cm; dorsal wing not developed. Seeds linear, 10 by 1.5 mm.",P. Sirirugsa,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000552401,Forest Herbarium,All rights reserved,"Aspidopterys thorelii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 295. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01410,5,3
wfo-0000552402,general,EN,"Branches pale brownish to dark reddish-brown hairy; older branches glabrescent. Leaves coriaceous, suborbicular, ovate, obovate, lanceolate or elliptic, 6–13 by 5–14 cm; apex obcordate-cuspidate, rounded-cuspidate or acuminate; base rounded to subcordate, cuneate; upper surface glabrous except when young, often glaucous when dry, nerves sulcate; flower surface densely yellowish or brownish hairy, or sometimes glabrous except on midrib, veins prominent; lateral veins, 4–6 pairs; petiole 1–4 cm, hairy. Inflorescences up to 27 cm long; peduncle 1.5–7 cm long, yellowish or brownish hairy, as well as the rachis; pedicels slender, articulate below middle, glabrous except below the bracteoles, 0.5–2 cm long; bracts acute, 2–3 mm long; bracteoles acute, ca 1 mm long. Sepals ovate-oblong, apex rounded, base truncate, ca 3 by 1 mm, glabrous. Petals white to light yellowish, oblong, apex rounded, base truncate, 5–6 by 1–1.5 mm. Stamens: filaments, 2–2.5 mm long; anthers ca 1 mm long. Ovary glabrous, ovoid, ca 1 mm in diam.; styles ca 3 mm long. Mericarps: lateral wings ovate, apex emarginate, pale translucent, 2.5–3.5 by 1.5–3 cm, glabrous; dorsal wing 3–4 mm high; carpophore acute, 4–6 mm long, persistent. Seeds linear, ca 10 by 2 mm.",P. Sirirugsa,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000552402,Forest Herbarium,All rights reserved,"Aspidopterys tomentosa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 289. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01407,5,3
