WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000511487,distribution,EN,"Thailand, India (type), China, Malay Peninsula, Indonesia, Philippines, Australia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728,7,3
wfo-0000755470,distribution,EN,Widespread throughout most of Europe (type Sweden) and Asia.,R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000755470,Forest Herbarium,All rights reserved,"Alisma plantago-aquatica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 352. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02512,7,3
wfo-0000529089,distribution,EN,"Thailand, India (type), Burma, China, Vietnam, Laos, Cambodia, Malay Peninsula, Malesia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000529089,Forest Herbarium,All rights reserved,"Altingia excelsa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 401. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02584,7,3
wfo-0000158719,distribution,EN,"Thailand, Burma (type of Anerincleistus helferi: Tenasserim or Andamans; type of A. griffithii: Mergui, Southern Burma) to Malay Peninsula.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000158719,Forest Herbarium,All rights reserved,"Anerincleistus griffithii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 415. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02596,7,3
wfo-0000158728,distribution,EN,Endemic to Thailand.,"S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000158728,Forest Herbarium,All rights reserved,"Anerincleistus pedunculatus. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 415. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02597,7,3
wfo-0000760971,distribution,EN,"Thailand, India, China, Vietnam, Laos (type), Cambodia, Indonesia.",R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000760971,Forest Herbarium,All rights reserved,"Aponogeton lakhonensis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 359. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02523,7,3
wfo-0001280636,distribution,EN,"Thailand, Indochina, Malay Peninsula, Sumatra, Borneo (type) and Celebes.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001280636,Forest Herbarium,All rights reserved,"Blastus borneensis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 417. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02599,7,3
wfo-0001066601,distribution,EN,"S. Northern America, Africa (type Madagascar), throughout tropical Asia.",R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001066601,Forest Herbarium,All rights reserved,"Blyxa aubertii aubertii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 367. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02532,7,3
wfo-0000770593,distribution,EN,Throughout tropical Asia (type Bangladesh).,R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000770593,Forest Herbarium,All rights reserved,"Blyxa aubertii echinosperma. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 367. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02533,7,3
wfo-0000773026,distribution,EN,"Southern and Southeast Asia, Japan (type).",R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000773026,Forest Herbarium,All rights reserved,"Blyxa japonica japonica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 368. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02534,7,3
wfo-0000770622,distribution,EN,"Thailand, Myanmar.",R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000770622,Forest Herbarium,All rights reserved,"Blyxa quadricostata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 368. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02536,7,3
wfo-0000762564,distribution,EN,"Tropical Africa to Southern and Southeast Asia, Nepal (type) and to Northern Australia.",R.R. Haynes,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000762564,Forest Herbarium,All rights reserved,"Butomopsis latifolia. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 384. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02560,7,3
wfo-0001269413,distribution,EN,"Thailand, Burma (type), India.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001269413,Forest Herbarium,All rights reserved,"Byttneria andamanensis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 545. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02730,7,3
