WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000511487,The stems and seeds are used in local medicine.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,7,3,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000529089,Young leaves eaten as vegetable. The aromatic resin used for chemical and aromatic purposes. Wood good for indoor construction and cabinet work.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000529089,7,3,"Altingia excelsa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 401. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02584
wfo-0001280828,"Used in Pahang as a 'meroyan', that is, a decoction drunk during the first three days after childbirth. A hot decoction of the leaves or roots is also used to treat fevers (Veldkamp et al., op. cit.: 419) and against scabies (op. cit.: 416).",use,EN,"S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001280828,7,3,"Dissochaeta divaricata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 423. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02606
wfo-0000675732,"Wood used for tools, furniture and indoor construction.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000675732,7,3,"Eriolaena candollei. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 555. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02738
wfo-0000720313,Wood is suitable for interior construction plywood and particle board.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000720313,7,3,"Heritiera javanica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 576. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02755
wfo-0000720317,"Timber used for post, ribs of wooden boats, wheels of carts, tool handles and interior construction.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000720317,7,3,"Heritiera littoralis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 578. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02756
wfo-0000720335,"Wood is very durable, used for furniture, tool handles and interior construction.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000720335,7,3,"Heritiera simplicifolia. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 581. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02759
wfo-0000720338,Wood is suitable for interior construction and plywood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000720338,7,3,"Heritiera sumatrana. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 584. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02760
wfo-0000357456,As ornamental tree.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000357456,7,3,"Kleinhovia hospita. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 586. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02762
wfo-0000450926,Wood usually used for handicrafts; essential oil from wood for cosmetics and perfume. The dry wood is aromatic.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000450926,7,3,"Mansonia gagei. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 590. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02766
wfo-0001266359,"Mature fruits are edible but tinge the mouth of the eater black (family name: mela-stoma, meaning 'black mouth'). As is true of many species of Melastomataceae worldwide, leaves of <i>Melastoma malabathricum</i> are applied to burns to speed wound healing. In Thailand this is done by the Akha hilltribe (MAXWELL 119, CMU). Also, an extract of the roots boiled in water is used for post-childbirth problems by the Meo hilltribe (MAXWELL 165, CMU).",use,EN,"S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001266359,7,3,"Melastoma malabathricum malabathricum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 441. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02625
wfo-0000452175,Bark for making string.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000452175,7,3,"Melochia corchorifolia. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 592. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02768
