WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000967830,maeng mao khuai (แมงเม่าควาย)(Chanthaburi),ver-THA-0000967830.01,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,ruang khao (รวงขาว)(Chumphon),ver-THA-0000967830.02,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,taek na (แตกนา)(Surat Thani),ver-THA-0000967830.03,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,ai bao (อ้ายเบ่า)(Nakhon Si Thammarat),ver-THA-0000967830.04,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,miao (เมียว)(Trang),ver-THA-0000967830.05,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,lin khwai (ลิ้นควาย)(Songkhla),ver-THA-0000967830.06,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,lin krabue (ลิ้นกระบือ)(Peninsular),ver-THA-0000967830.07,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000967830,mueai (เมื่อย)(Peninsular),ver-THA-0000967830.08,0.0,ref-THA-0000967830,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03407,"Galearia fulva. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 306. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973043,khrai mot (ไคร้มด)(Northern),ver-THA-0000973043.01,0.0,ref-THA-0000973043,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03409,"Glochidion acuminatum siamense. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 310. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973067,khrai ton (ไคร้ต้น)(General),ver-THA-0000973067.01,0.0,ref-THA-0000973067,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03410,"Glochidion arborescens. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 313. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973067,man pu (มันปู)(Peninsular),ver-THA-0000973067.02,0.0,ref-THA-0000973067,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03410,"Glochidion arborescens. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 313. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973072,khi mot (ขี้มด)(Lampang),ver-THA-0000973072.01,0.0,ref-THA-0000973072,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03411,"Glochidion assamicum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 313. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973072,khamin ton (ขมิ้นต้น)(Saraburi),ver-THA-0000973072.02,0.0,ref-THA-0000973072,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03411,"Glochidion assamicum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 313. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973072,maeng mao chang (แมงเม่าช้าง)(Saraburi),ver-THA-0000973072.03,0.0,ref-THA-0000973072,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03411,"Glochidion assamicum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 313. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973157,chana (จานา)(Khon Kaen),ver-THA-0000973157.01,0.0,ref-THA-0000973157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03412,"Glochidion coccineum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 315. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973157,ta na (ตานา)(Nakhon Ratchasima),ver-THA-0000973157.02,0.0,ref-THA-0000973157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03412,"Glochidion coccineum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 315. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973157,ka nam (กาน้ำ)(Kanchanaburi),ver-THA-0000973157.03,0.0,ref-THA-0000973157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03412,"Glochidion coccineum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 315. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973157,ma yom pa (มะยมป่า)(Kanchanaburi),ver-THA-0000973157.04,0.0,ref-THA-0000973157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03412,"Glochidion coccineum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 315. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000973157,tai-yung-sa (ใต้หยุ่งซะ)(Karen-Kanchanaburi),ver-THA-0000973157.05,0.0,ref-THA-0000973157,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03412,"Glochidion coccineum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 315. Accessed 2021-07-31",Forest Herbarium,All rights reserved
