WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000260032,"Thailand, Sumatra (type), Peninsular Malaysia and Borneo (Sabah, Sarawak, Kalimantan).",distribution,EN,H.-J. Esser & M. Jebb,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000260032,9,1,"Aralidium pinnatifidum. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 8. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03677
wfo-0000568339,"Thailand, Cambodia (type), Burma.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000568339,9,1,"Bombax anceps. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 11. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03680
wfo-0000568340,"Thailand, Cambodia (type), Burma.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000568340,9,1,"Bombax anceps cambodiense. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 11. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03681
wfo-0000568369,"Tropical America, Carribean (type), tropical Eastern Himalaya to South-East Asia (cultivated for cotton).",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000568369,9,1,"Bombax ceiba. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 13.. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03682
wfo-0000568432,"Thailand, India, Burma (type), South China, Laos.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000568432,9,1,"Bombax insigne. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 15. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03683
wfo-0000592594,"Thailand, India (type), cultivated in tropical South America, Africa and Asia.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000592594,9,1,"Ceiba pentandra. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 17. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03685
wfo-0000641542,"Thailand, Vietnam, Malay Peninsula, Philippines, Borneo, Sumatra.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000641542,9,1,"Dendrotrophe buxifolia. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 59. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03729
wfo-0000641567,"Thailand, Southern China to Australia.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000641567,9,1,"Dendrotrophe varians. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 60. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03730
wfo-0000657778,"Thailand, Burma.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000657778,9,1,"Dufrenoya collettii. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 64. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03732
wfo-0000657785,"Thailand, India, Burma.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000657785,9,1,"Dufrenoya platyphylla. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 65. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03733
wfo-0000657789,"Thailand, Burma.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000657789,9,1,"Dufrenoya robusta. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 66. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03734
wfo-0000657790,"Thailand, Laos, Vietnam.",distribution,EN,J. Macklin & J. Parnell,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000657790,9,1,"Dufrenoya sessilis. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 68. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03735
wfo-0000658070,"Thailand, Malay Peninsula, Indonesia (type).",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000658070,9,1,"Durio graveolens. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 19. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03687
wfo-0000658071,"Thailand, Malay Peninsula (type), Indonesia.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000658071,9,1,"Durio griffithii. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 21. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03688
wfo-0000658077,"Thailand, Malay Peninsula (type), Indonesia.",distribution,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000658077,9,1,"Durio lowianus. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 21. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03689
wfo-0000401771,"Native to Brazil (type), introduced and naturalised all over the tropics. Introduced into Thailand from Java in 1896.",distribution,EN,K. Chayamarit,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000401771,9,1,"Eichhornia crassipes. Flora of Thailand. Vol. 9. Part 1, 2005. Pg. 51. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03722
