WFOID,countryCode,locationID,locality,establishmentMeans,source,bibliographicCitation,URI
wfo-0000511487,TH,THA,Thailand,Managed,Flora of Thailand,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000199687,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000186125,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia caesia. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00817
wfo-0000185607,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
wfo-0000199691,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814
wfo-0000186090,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819
wfo-0000199698,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812
wfo-0000195712,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813
wfo-0000199701,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809
wfo-0000186118,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810
wfo-0000199706,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia meeboldii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00815
wfo-0000196823,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 178. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00828
wfo-0001387134,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia megaladena garrettii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 181. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00831
wfo-0000199709,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830
wfo-0000199707,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829
wfo-0000186399,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia pennata. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 174. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00823
wfo-0000199720,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia pluricapitata. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 176. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00827
wfo-0000199724,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia thailandica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00822
wfo-0000199726,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811
wfo-0000199731,TH,THA,Thailand,Managed,Flora of Thailand,"Acacia torta. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00816
wfo-0000491787,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha brachystachya. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 24. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03125
wfo-0000912095,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha delpyana. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 25. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03126
wfo-0000950668,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha hispida. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03127
wfo-0000953231,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha indica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 26. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03128
wfo-0000958157,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha kerrii. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 27. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03129
wfo-0000959997,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha lanceolata. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 29. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03130
wfo-0000968118,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha mairei. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 29. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03131
wfo-0000218686,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha pleiogyne. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 30. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03132
wfo-0000236547,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha siamensis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 32. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03133
wfo-0000254905,TH,THA,Thailand,Managed,Flora of Thailand,"Acalypha wilkesiana. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 32. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03134
wfo-0000516166,TH,THA,Thailand,Managed,Flora of Thailand,"Achyranthes ancistrophora. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 394. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01237
wfo-0000516177,TH,THA,Thailand,Managed,Flora of Thailand,"Achyranthes aspera. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 395. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01238
wfo-0000516220,TH,THA,Thailand,Managed,Flora of Thailand,"Achyranthes bidentata. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 395. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01239
wfo-0001046384,TH,THA,Thailand,Managed,Flora of Thailand,"Achyranthes bidentata bidentata. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 397. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=01240
wfo-0000328936,TH,THA,Thailand,Managed,Flora of Thailand,"Acmena acuminatissima. Flora of Thailand. Vol. 7. Part 4, 2002. Pg. 780. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02951
wfo-0000211685,TH,THA,Thailand,Managed,Flora of Thailand,"Acrocarpus fraxinifolius. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 50. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00688
wfo-0000157764,TH,THA,Thailand,Managed,Flora of Thailand,"Acrophorus stipellatus. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 328–330. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0462
wfo-0000144933,TH,THA,Thailand,Managed,Flora of Thailand,"Acrosorus triangularis. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 597–598. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0807
wfo-0001107183,TH,THA,Thailand,Managed,Flora of Thailand,"Acrostichum aureum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 258. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0368
wfo-0001107876,TH,THA,Thailand,Managed,Flora of Thailand,"Acrostichum speciosum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 258–259. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0369
wfo-0000518969,TH,THA,Thailand,Managed,Flora of Thailand,"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198
wfo-0000577653,TH,THA,Thailand,Managed,Flora of Thailand,"Actephila excelsa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 35. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03137
wfo-0000589140,TH,THA,Thailand,Managed,Flora of Thailand,"Actephila javanica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 38. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03138
wfo-0000601960,TH,THA,Thailand,Managed,Flora of Thailand,"Actephila ovalis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 38. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03139
wfo-0000519280,TH,THA,Thailand,Managed,Flora of Thailand,"Actinidia latifolia. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00260
wfo-0000519327,TH,THA,Thailand,Managed,Flora of Thailand,"Actinidia rubricaulis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00261
wfo-0000337412,TH,THA,Thailand,Managed,Flora of Thailand,"Actinoschoenus thouarsii. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 419. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02036
wfo-0000337413,TH,THA,Thailand,Managed,Flora of Thailand,"Actinoscirpus grossus. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 274. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01833
wfo-0000173869,TH,THA,Thailand,Managed,Flora of Thailand,"Adenanthera pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00787
wfo-0001387138,TH,THA,Thailand,Managed,Flora of Thailand,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789
wfo-0000209692,TH,THA,Thailand,Managed,Flora of Thailand,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788
wfo-0000764069,TH,THA,Thailand,Managed,Flora of Thailand,"Adenium obesum. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 78. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02205
