WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-4000002953,general,EN,"Moderate sized, solitary or clustering, monoecious palms. Stem often with green internodes, distinct leaf scars distally, and a cone of adventitious roots basally. Leaves 5–10 in crown, spirally arranged; sheath tubular forming a yellowish to brownish tinged green crownshaft; petiole very short or less than 50 cm long, unarmed, smooth; blade splitting in usually regularly distributed, one to several folded, narrowly sigmoid pinnae, distributed in one plane, leaf apex often composed of several irregularly splitting, closely inserted pinnae. Inflorescence infrafoliar, branched from first to third order, sheathed in bud only by the prophyll, this thinly coriaceous and early deciduous, peduncle short, inflorescence branches spreading to stiffly erect. Unisexual flowers in cymose flower cluster of two to three, or solitary towards the rachillae apices, female flowers much larger than male flowers, only fully developed at the very base of the rachillae, male flowering part of rachillae wilting and often present as tails in the infructescence. Fruit one seeded, epicarp smooth usually red at maturity, mesocarp usually thin, fleshy to fibrous, endocarp composed of longitudinal fibres, more or less free at the base, endosperm deeply ruminate.</br></br>Fifty species found in tropical and subtropical Asia; four species native in Thailand, one (A. catechu) is only known from cultivation and not included here since it has not been recorded from the wild (<a href=""../image/flora/11/AREC_Plate98.jpg"" target=_blank >Plate XCVIII: A</a>).",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000002953,Forest Herbarium,All rights reserved,"Areca  . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 329. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05091,11,3
wfo-0000262620,general,EN,"Solitary or clustering palm tree up to 4 m tall. Stem c. 1.5–2.5 cm diam. Leaf: petioleshort, c. 10 cm long or less; rachis short probably not more than 1 m long, with few irregularly spaced pinnae. Inflorescence branched to second order with more than 15, spirally arranged, yellowish-green, first order branches. Male flowers mostly inserted in pairs, with 6 stamens. Fruit rather large to 3.5 cm long.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000262620,Forest Herbarium,All rights reserved,"Areca laosensis . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 330. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05092,11,3
wfo-0000262825,general,EN,"Solitary palm, with individual stems up to 6 m tall and 7 cm diam. Leaves 5–8 in crown; leaf sheath forming a yellowish-green up to 50 cm long crownshaft; petiole 20–40 cm long, green glabrous; rachis 0.8–1.3 m long, with 5–15 pinnae per side, longest ones in the middle, 40–60 cm long. Inflorescence branched to three orders, peduncle 1–3 cm long, rachis 10–25 cm long, flowering branches yellowish-green, rachillae 10–15 cm long, male flowers mostly paired, with 3 stamens. Fruit ellipsoid to ovoid, 2–3 by 1–1.5 cm, red.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000262825,Forest Herbarium,All rights reserved,"Areca montana . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 330. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05093,11,3
wfo-0000263352,general,EN,"Clustering palm, with individual stems up to 6 m tall and 7 cm diam. Leaves 5–8 in crown; leaf sheath forming a yellowish-green up to 60 cm long crownshaft; petiole 30–50 cm long, green glabrous; rachis 1–2 m long, with 13–40 pinnae per side, longest pinnae in the middle, up to 80 cm long. Inflorescence branched to three orders, peduncle 2–3 cm long, rachis 10–40 cm long, flowering branches yellowish-green, rachillae 15–30 cm long, male flowers mostly paired, with 3 stamens. Fruit ellipsoid to ovoid, 2–3 by 1–1.5 cm, red.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000263352,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,11,3
wfo-0000263373,general,EN,"Solitary palm, up to 5 m tall and 5 cm diam. Leaves 8–12 in crown; leaf sheath forming a brownish-green up to 45 cm long crownshaft; petiole 15–20 cm long, green glabrous; rachis up to 2.5 m long, with 5–15 or rarely more pinnae on each side, longest pinnae in the middle, up to 70 cm long. Inflorescence branched to first order (rarely to second), peduncle 2–3 cm long, rachis 10–15 cm, flowering branches up to 15, distichously arranged, stiffl y upright, dark purplish to brown, 15–30 cm long. Male flowers paired or solitary, with 6 stamens. Fruit ellipsoid to ovoid, 3–4.5 by 1.5–3 cm, purplish-green to brown.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000263373,Forest Herbarium,All rights reserved,"Areca tunku . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05095,11,3
wfo-4000002961,general,EN,"Low shrubs to robust tree palms, solitary or clustered, monoecious usually with unisexual inflorescences, male and female flowering separated in time, pleonanthic or hapaxanthic. Leaves imparipinnate, induplicate; leaf sheath usually disintegrating into a fibrous mesh; petiole slender to very robust; leafl ets regularly arranged in one plane or unevenly arranged in several planes, strongly asymmetrical at the base, sometimes with one or two auricles. Flowering acropetal in pleonanthic species, basipetal in hapaxanthic species. Inflorescence enclosed in numerous bracts, branched to first or second order, drooping, unisexual, in hapaxanthic species the female ones produced distally before the male ones. Flowers dimorphic. Male flowers usually with more than 15 functional stamens, and without a pistillode. Female flowers with globose ovary, sessile stigmas and 2–3 locules. Fruit globose to ellipsoidal, often somewhat angled, 1–3 seeded; epicarp smooth, dull to brightly coloured, mesocarp fleshy, with high density of raphide-containing ideoblasts causing skin irritation, endocarp not differentiated. Seed with homogeneous endosperm.</br></br>Twenty four species with three varieties in tropical and subtropical Asia to N Australia. Five species in Thailand.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000002961,Forest Herbarium,All rights reserved,"Arenga  . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 333. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05096,11,3
wfo-0000263554,general,EN,"Densely clustered shrub. Stem 0.6–2 cm diam. Leaves c. 10 in crown; sheath deeply split, with margins resolving in fibrous mesh, petiole 30–60 cm long; rachis to 60 cm long; lamina divided into 4–10 rhomboid to linear pinnae on each side, 20–80 by 2–10 cm, dark green, distinctly silvery grey below, apical margins praemorse. Inflorescences 2–3, interfoliar, developing in basipetal sequence, the most distal one usually female, the others male, spicate, or rarely with secondary branches, 25–30 cm long, curved. Fruit 1–1.5 cm diam., globose, orange to red, densely inserted.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000263554,Forest Herbarium,All rights reserved,"Arenga caudata . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 334. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05097,11,3
wfo-0000263620,general,EN,"Densely clustered shrub. Stem 0.6–2 cm diam. Leaves 5–10 per stem, simple, or rarely divided into few small segments; sheath deeply split, with margins resolving in fibrous mesh; petiole 30–60 cm long; blade 60–80 by 20–30 cm, oblong, distinctly silvery grey below, with up to 8 praemorse lobes on each side of rachis. <Inflorescence 2–3 interfoliar, developing in basipetal sequence, the most distal one usually female, the others male but infrequently produced, spicate, or rarely with secondary branches, 25–30 cm long. <Fruit 1–1.5 cm diam., globose, orange to red, densely inserted.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000263620,Forest Herbarium,All rights reserved,"Arenga hookeriana . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 334. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05098,11,3
wfo-0000263720,general,EN,"Loosely clustered tree, to 15 m tall, pleonanthic. Stem 20–30 cm diam., internodes grey, ringed by leaf scars. Leaves 12–15 in crown, pinnate; sheath 60–100 cm long, deeply split, persietent grey, distintegrating along the margins in mesh of coarse, black fibres; petiole 30-90 cm long; rachis 4–8(–10) m long, curved distally; pinnae 100–105 on each side of rachis, 100–150 by 6–9 cm, lanceolate, evenly distributed, in one plane or slightly plumose, silvery grey below, with praemorse margins. Inflorescence 2-4, interfoliar, flowering sequence on stem acropetal; peduncle 20–75 cm long, c. 6 cm wide, upright and curved; rachis 30–75 cm long, drooping; rachillae 20–60 to 25–45 cm long, drooping. Fruit 4–6 by 3–4 cm, oblong, subtriangular in cross section, light green when young to yellowish-green at maturity. Seed elongate, keeled, basally with white scar from the funicle.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000263720,Forest Herbarium,All rights reserved,"Arenga obtusifolia . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 335. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05099,11,3
wfo-0000263799,general,EN,"Solitary palm tree to 20 m tall, hapaxanthic. Stem 40–60 cm diam., usually covered to the base by persistent leaf sheaths, basally with a cone of adventitious roots. Leaves 12–15 in crown; sheaths deeply split, 80–90 cm long, disintegrating along the margins into a mesh of coarse, black fibres; petiole 100–130 cm long, rachis 4–8 m long, pinnae 80–150 on each side, 100–130 by 6–10 cm, evenly distributed in one plane, only rarely pointing in different directions, silvery grey with rusty tinge below, praemorse distally, terminal pair often united and wider. Inflorescences 4–6, interfoliar, flowering sequence on stem basipetal; peduncle 30–60 cm long, upright, and curved; rachis 0.8–1.2 m long, drooping; rachillae 40–70, to 0.6–1.6 m long, drooping. Fruit globose or slightly longer than wide, 5–7 cm diam., bluish-green or dark green at maturity. Seed elongate to elliptic, with a sharp keel, scar from funicle inconspicuous.",A.S. Barfod & J. Dransfield,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000263799,Forest Herbarium,All rights reserved,"Arenga westerhoutii . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 337. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05101,11,3
