WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000518969,ver-THA-0000518969.01,pot khon (ปดขน)(Peninsular),0.0,ref-THA-0000518969,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198,Forest Herbarium,All rights reserved,"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31",2,2
wfo-0000518969,ver-THA-0000518969.02,pot din (ปดดิน)(Peninsular),0.0,ref-THA-0000518969,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198,Forest Herbarium,All rights reserved,"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31",2,2
wfo-0000518969,ver-THA-0000518969.03,wan chai maha prap (ว่านไชยมหาปราบ)(Peninsular),0.0,ref-THA-0000518969,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198,Forest Herbarium,All rights reserved,"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31",2,2
wfo-0000518969,ver-THA-0000518969.04,san tao (ส้านเต่า)(Peninsular),0.0,ref-THA-0000518969,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198,Forest Herbarium,All rights reserved,"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.01,cham (จ้ำ)(Northern),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.02,tin cham dong (ตีนจำดง)(Northeastern),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.03,tin tang fa (ตีนต่างฟ้า)(Northeastern),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.04,phikun pa (พิกุลป่า)(Northeastern),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.05,pradongkho (ประดงขอ)(Northeastern),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.06,prong bok (โปรงบก)(Southeastern),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.07,bamram (บำรำ)(Peninsular),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520896,ver-THA-0000520896.08,luk tong (หลุกตอง)(Peninsular),0.0,ref-THA-0000520896,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00282,Forest Herbarium,All rights reserved,"Adinandra integerrima. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 151. Accessed 2021-07-31",2,2
wfo-0000520912,ver-THA-0000520912.01,"man pla (มันปลา)(Northeastern),",0.0,ref-THA-0000520912,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00283,Forest Herbarium,All rights reserved,"Adinandra laotica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 152. Accessed 2021-07-31",2,2
wfo-0000523801,ver-THA-0000523801.01,makhro (มะเคราะ)(Peninsular),0.0,ref-THA-0000523801,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00225,Forest Herbarium,All rights reserved,"Agelaea trinervis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 119. Accessed 2021-07-31",2,2
wfo-0000523801,ver-THA-0000523801.02,thao som ching (เถาส้มฉิง)(Peninsular),0.0,ref-THA-0000523801,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00225,Forest Herbarium,All rights reserved,"Agelaea trinervis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 119. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.01,saraphi (สารภี)(Northern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.02,hak (ฮัก)(Northern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.03,ban ma (บานมา)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.04,tham sung (ทำซุง)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.05,kaem on (แก้มอ้น)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.06,phra ram (พระราม)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.07,tong nang (ตองหนัง)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.08,tin cham (ตีนจำ)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.09,mong nang (โมงนั่ง)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
wfo-0000537574,ver-THA-0000537574.10,kham so (คำโซ่)(Northeastern),0.0,ref-THA-0000537574,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00298,Forest Herbarium,All rights reserved,"Anneslea fragrans. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 157. Accessed 2021-07-31",2,2
