WFOID	localId
wfo-0000511487	1
wfo-0000199687	2
wfo-0000186125	3
wfo-0000185607	4
wfo-0000199691	5
wfo-0000186090	6
wfo-0000199698	7
wfo-0000195712	8
wfo-0000199701	9
wfo-0000186118	10
wfo-0000199706	11
wfo-0000196823	12
wfo-0001387134	13
wfo-0000199709	14
wfo-0000199707	15
wfo-0000186399	16
wfo-0000199717	17
wfo-0000199719	18
wfo-0000199711	19
wfo-0000199720	20
wfo-0000199724	23
wfo-0000199726	24
wfo-0000199731	25
wfo-0000491787	26
wfo-0000912095	27
wfo-0000950668	28
wfo-0000953231	29
wfo-0000958157	30
wfo-0000959997	31
wfo-0000968118	32
wfo-0000218686	33
wfo-0000236547	34
wfo-0000254905	35
wfo-0000516166	36
wfo-0000516177	37
wfo-0000516220	38
wfo-0001046384	39
wfo-0000328936	40
wfo-0000211685	41
wfo-0000157764	42
wfo-0000144933	43
wfo-0001107183	44
wfo-0001107876	45
wfo-0000518969	46
wfo-0000572727	47
wfo-0000577653	48
wfo-0000589140	49
wfo-0000601960	50
wfo-0000519280	51
wfo-0000519327	52
wfo-0000337412	53
wfo-0000337413	54
wfo-0000173869	55
wfo-0001387138	56
wfo-0000209692	57
wfo-0000764069	58
wfo-0000520275	59
wfo-0000520282	60
wfo-0000520284	61
wfo-0000520291	62
wfo-0000520292	63
wfo-0000520294	64
wfo-0000520298	65
wfo-0001109469	66
wfo-0001107188	67
wfo-0001115194	68
wfo-0000147065	69
wfo-0001107189	70
wfo-0001110777	71
wfo-0000163097	72
wfo-0001107908	73
wfo-0001122291	74
wfo-0001274410	75
wfo-0000520896	76
wfo-0000520912	77
wfo-0000520952	78
wfo-0000520976	79
wfo-0000521489	80
wfo-0000521508	81
wfo-0000521515	82
wfo-0000521801	83
wfo-0000522240	84
wfo-0000186209	85
wfo-0000896264	86
wfo-0000897002	87
wfo-0000897552	88
wfo-0000899440	89
wfo-0000900309	90
wfo-0000900621	91
wfo-0000900824	92
wfo-0000523712	93
wfo-0000523801	94
wfo-0001125793	95
wfo-0000993131	96
wfo-0000925540	97
wfo-0000925579	98
wfo-0000925599	99
wfo-0001140390	100
wfo-0000524959	101
wfo-0000524966	102
wfo-0000192577	103
wfo-0000182103	104
wfo-0000196892	105
wfo-0000196901	106
wfo-0000199744	107
wfo-0000199751	108
wfo-0000184271	109
wfo-0000196896	110
wfo-0000199754	111
wfo-0000185541	112
wfo-0000186098	113
wfo-0000188054	114
wfo-0000199762	115
wfo-0000939798	116
wfo-0000939809	117
wfo-0001234632	118
wfo-0000940007	119
wfo-0000940018	120
wfo-0001138540	121
wfo-0000940858	122
wfo-0000755470	123
wfo-0000943159	124
wfo-0000943361	125
wfo-0000526239	126
wfo-0000526604	127
wfo-0000528348	128
wfo-0000951882	129
wfo-0000952121	130
wfo-0000952530	131
wfo-0000952898	132
wfo-0000952921	133
wfo-0001257712	134
wfo-0000953059	135
wfo-0000528475	136
wfo-0000528696	137
wfo-0000528743	139
wfo-0000528787	140
wfo-0000528825	141
wfo-0000529089	142
wfo-0000956024	143
wfo-0000956330	144
wfo-0000956428	145
wfo-0000957585	147
wfo-0000530136	148
wfo-0000530251	149
wfo-0000530322	150
wfo-0000530495	151
wfo-0000530523	152
wfo-0000530552	153
wfo-0000530896	154
wfo-0000184535	155
wfo-0000532305	156
wfo-0000532534	157
wfo-0000533338	158
wfo-0000534423	159
wfo-0000158719	160
wfo-0000158728	161
wfo-0000536042	162
wfo-0000536492	163
wfo-0001115201	164
wfo-0000537190	165
wfo-0001115202	166
wfo-0000537574	167
wfo-0000215923	168
wfo-0000215975	169
wfo-0000215985	170
wfo-0000216112	171
wfo-0000216131	172
wfo-0000216151	173
wfo-0000822997	174
wfo-0000234922	175
wfo-0000235333	176
wfo-0001284331	177
wfo-0000235387	178
wfo-0000236163	179
wfo-0000236259	180
wfo-0000236433	181
wfo-0000236620	182
wfo-0000236642	183
wfo-0001386952	184
wfo-0000236911	185
wfo-0000237010	186
wfo-0000237021	187
wfo-0000237537	188
wfo-0000237559	189
wfo-0000237570	190
wfo-0000237581	191
wfo-0000237592	192
wfo-0000237702	193
wfo-0000237747	194
wfo-0000237935	195
wfo-0000238106	196
wfo-0000238649	197
wfo-0000239096	198
wfo-0000239361	199
wfo-0000239429	200
wfo-0000239537	201
wfo-0000239570	202
wfo-0001128390	203
wfo-0001116635	204
wfo-0001116636	205
wfo-0001122285	206
wfo-0000153740	207
wfo-0000540626	208
wfo-0000540853	209
wfo-0000760971	210
wfo-0000248265	211
wfo-0000248287	212
wfo-0000248603	213
wfo-0000248657	214
wfo-0000248666	215
wfo-0000248700	216
wfo-0000248755	217
wfo-0000249102	218
wfo-0000249234	219
wfo-0000249289	220
wfo-0000249300	221
wfo-0000249366	222
wfo-0000249379	223
wfo-0000249390	224
wfo-0000249401	225
wfo-0000249434	226
wfo-0000249451	227
wfo-0000249579	228
wfo-0000249666	229
wfo-0000249754	230
wfo-0000249809	231
wfo-0000249830	232
wfo-0000249884	233
wfo-0000249986	234
wfo-0000249997	235
wfo-0000250068	236
wfo-0000541072	237
wfo-0000541078	238
wfo-0001142510	239
wfo-0000541096	240
wfo-0001116817	241
wfo-0001116819	242
wfo-0001125364	243
wfo-0001114736	244
wfo-0001125361	245
wfo-0001118512	246
wfo-0001125363	247
wfo-0001124747	248
wfo-0001122707	249
wfo-0001122708	250
wfo-0001124752	251
wfo-0001114941	252
wfo-0000260032	253
wfo-0000543220	254
wfo-0000199770	255
wfo-0000185987	256
wfo-0001388836	258
wfo-0000199789	259
wfo-0000199792	260
wfo-0000199797	261
wfo-0000199803	262
wfo-0000199807	263
wfo-0000192038	264
wfo-0000199831	265
wfo-0000543836	266
wfo-0000543856	267
wfo-0000543857	269
wfo-0000543880	270
wfo-0000543898	271
wfo-0000543899	272
wfo-0000543940	273
wfo-0000543968	274
wfo-0000544074	275
wfo-0000544079	276
wfo-0000544092	277
wfo-0000544093	278
wfo-0000544107	279
wfo-0000544118	282
wfo-0001085852	283
wfo-0001389901	284
wfo-0000544135	285
wfo-0001085856	287
wfo-0000544165	288
wfo-0000544170	289
wfo-0000544252	290
wfo-0000544255	291
wfo-0000544295	292
wfo-0000544297	293
wfo-0000544301	294
wfo-0000544306	295
wfo-0000544318	296
wfo-0000544331	297
wfo-0000544338	300
wfo-0000544353	301
wfo-0000544376	302
wfo-0000544408	303
wfo-0000544444	304
wfo-0001389825	305
wfo-0000544452	307
wfo-0000544457	308
wfo-0000544491	309
wfo-0001276110	310
wfo-0000544521	311
wfo-0000544585	312
wfo-0000544617	313
wfo-0000544620	314
wfo-0000544624	315
wfo-0000544710	316
wfo-0000544730	317
wfo-0000544733	318
wfo-0000544757	319
wfo-0000544798	320
wfo-0000544833	321
wfo-0000544840	322
wfo-0000544848	323
wfo-0000544855	324
wfo-0000544877	325
wfo-0000544922	326
wfo-0000544941	327
wfo-0000544955	328
wfo-0000544987	329
wfo-0000545004	330
wfo-0000545011	331
wfo-0000545028	332
wfo-0000545075	333
wfo-0000545077	334
wfo-0001389826	335
wfo-0000545090	337
wfo-0000545102	338
wfo-0000545233	339
wfo-0000545248	340
wfo-0000545255	341
wfo-0000545258	342
wfo-0000545283	343
wfo-0000545305	344
wfo-0000545314	345
wfo-0000545320	346
wfo-0000545337	347
wfo-0000545341	348
wfo-0000545370	349
wfo-0000545379	350
wfo-0000545388	351
wfo-0000546980	352
wfo-0000547534	353
wfo-0000548292	354
wfo-0000547713	355
wfo-0000547763	356
wfo-0000547853	357
wfo-0000547862	358
wfo-0000547872	359
wfo-0000547943	360
wfo-0000548202	361
wfo-0000548223	362
wfo-0000548271	363
wfo-0000548379	364
wfo-0000548456	365
wfo-0000276216	366
wfo-0000549895	367
wfo-0001255220	368
wfo-0001117818	369
wfo-0000147888	370
wfo-0001125813	371
wfo-0001107754	372
wfo-0000550703	373
wfo-0000340706	374
wfo-0000340708	375
wfo-0000340746	376
wfo-0000552287	377
wfo-0000552347	378
wfo-0000552372	379
wfo-0000552383	380
wfo-0000552401	382
wfo-0000552402	383
wfo-0001108093	384
wfo-0001122737	385
wfo-0000152868	386
wfo-0001109307	387
wfo-0001115210	388
