WFOID	countryCode	locationID	locality	establishmentMeans	source
wfo-0000511487	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199687	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000186125	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000185607	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199691	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000186090	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199698	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000195712	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199701	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000186118	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199706	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000196823	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001387134	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199709	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199707	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000186399	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199720	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199724	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199726	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199731	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000491787	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000912095	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000950668	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000953231	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000958157	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000959997	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000968118	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000218686	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236547	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000254905	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000516166	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000516177	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000516220	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001046384	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000328936	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000211685	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000157764	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000144933	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107183	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107876	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000518969	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000577653	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000589140	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000601960	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000519280	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000519327	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000337412	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000337413	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000173869	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001387138	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000209692	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000764069	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520275	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520282	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520284	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520291	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520292	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520294	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520298	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001109469	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107188	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001115194	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000147065	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107189	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001110777	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000163097	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107908	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122291	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001274410	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520896	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520912	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520952	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000520976	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000521489	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000521508	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000521515	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000521801	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000522240	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000186209	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000896264	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000897002	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000897552	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000899440	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000900309	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000900621	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000900824	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000523712	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000523801	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125793	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000993131	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000925540	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000925579	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000925599	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001140390	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000524959	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000524966	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000192577	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000182103	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000196892	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000196901	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199744	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199751	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000184271	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000196896	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199754	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000185541	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000186098	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000188054	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000199762	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000939798	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000939809	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001234632	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000940007	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000940018	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001138540	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000940858	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000755470	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000943159	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000943361	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000526239	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000526604	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000528348	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000951882	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000952121	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000952530	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000952898	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000952921	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001257712	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000953059	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000528475	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000528696	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000528743	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000528787	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000528825	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000529089	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000956024	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000956330	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000956428	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000957585	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530136	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530251	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530322	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530495	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530523	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530552	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000530896	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000184535	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000532305	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000532534	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000533338	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000534423	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000158719	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000158728	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000536042	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000536492	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001115201	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000537190	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001115202	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000537574	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000215923	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000215975	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000215985	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000216112	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000216131	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000216151	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000822997	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000234922	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000235333	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001284331	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000235387	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236163	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236259	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236433	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236620	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236642	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001386952	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000236911	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237010	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237021	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237537	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237559	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237570	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237581	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237592	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237702	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237747	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000237935	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000238106	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000238649	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000239096	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000239361	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000239429	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000239537	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000239570	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001128390	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116635	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116636	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122285	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000153740	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000540626	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000540853	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000760971	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248265	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248287	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248603	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248657	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248666	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248700	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000248755	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249102	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249234	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249289	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249300	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249366	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249379	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249390	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249401	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249434	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249451	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249579	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249666	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249809	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249830	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249884	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249986	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000249997	TH	THA	Thailand	Managed	Flora of Thailand
