WFOID	title	identifier	rights	license	format	source	audience	creator	created	modified	contributor	publisher	description	locality	subject	rightsHolder	latitude	longitude	references
wfo-0000511487	Abroma augustum. Drawing	img-THA-0000511487.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 58						https://botany.dnp.go.th/image/flora/7/STER_Fig58.jpg
wfo-0000199687	Acacia andamanica. Drawing	img-THA-0000199687.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 42						https://botany.dnp.go.th/image/flora/4/LEGU_Fig42.jpg
wfo-0000185607	Acacia caesia. Drawing	img-THA-0000185607.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 40						https://botany.dnp.go.th/image/flora/4/LEGU_Fig40.jpg
wfo-0000199691	Acacia comosa. Drawing	img-THA-0000199691.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 39						https://botany.dnp.go.th/image/flora/4/LEGU_Fig39.jpg
wfo-0000186090	Acacia concinna. Drawing	img-THA-0000186090.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 41						https://botany.dnp.go.th/image/flora/4/LEGU_Fig41.jpg
wfo-0000199698	Acacia craibii. Drawing	img-THA-0000199698.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 38						https://botany.dnp.go.th/image/flora/4/LEGU_Fig38.jpg
wfo-0000195712	Acacia farnesiana. Drawing	img-THA-0000195712.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/4/LEGU_Fig37.jpg
wfo-0000199701	Acacia harmandiana. Drawing	img-THA-0000199701.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/4/LEGU_Fig37.jpg
wfo-0000186118	Acacia leucophloea. Drawing	img-THA-0000186118.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/4/LEGU_Fig37.jpg
wfo-0000199706	Acacia meeboldii. Drawing	img-THA-0000199706.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 39						https://botany.dnp.go.th/image/flora/4/LEGU_Fig39.jpg
wfo-0001387134	Acacia megaladena. Drawing	img-THA-0001387134.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199709	Acacia megaladena. Drawing	img-THA-0000199709.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199707	Acacia megaladena. Drawing	img-THA-0000199707.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199720	Acacia pluricapitata. Drawing	img-THA-0000199720.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199724	Acacia thailandica. Drawing	img-THA-0000199724.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 42						https://botany.dnp.go.th/image/flora/4/LEGU_Fig42.jpg
wfo-0000199726	Acacia tomentosa. Drawing	img-THA-0000199726.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 38						https://botany.dnp.go.th/image/flora/4/LEGU_Fig38.jpg
wfo-0000199731	Acacia torta. Drawing	img-THA-0000199731.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 40						https://botany.dnp.go.th/image/flora/4/LEGU_Fig40.jpg
wfo-0000958157	Acalypha kerrii. Drawing	img-THA-0000958157.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/8/EUPH_Fig1.jpg
wfo-0000218686	Acalypha pleiogyne. Drawing	img-THA-0000218686.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 2						https://botany.dnp.go.th/image/flora/8/EUPH_Fig2.jpg
wfo-0000236547	Acalypha siamensis. Drawing	img-THA-0000236547.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 3						https://botany.dnp.go.th/image/flora/8/EUPH_Fig3.jpg
wfo-0000516177	Achyranthes aspera. Drawing	img-THA-0000516177.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 88						https://botany.dnp.go.th/image/flora/5/AMAR_Fig88.jpg
wfo-0000516220	Achyranthes bidentata. Drawing	img-THA-0000516220.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 88						https://botany.dnp.go.th/image/flora/5/AMAR_Fig88.jpg
wfo-0001046384	Achyranthes bidentata. Drawing	img-THA-0001046384.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 88						https://botany.dnp.go.th/image/flora/5/AMAR_Fig88.jpg
wfo-0000328936	Acmena acuminatissima. Drawing	img-THA-0000328936.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Parnell & P. Chantaranothai	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/7/MYRT_Figure1.jpg
wfo-0000211685	Acrocarpus fraxinifolius. Drawing	img-THA-0000211685.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 10						https://botany.dnp.go.th/image/flora/4/LEGU_Fig10.jpg
wfo-0000157764	Acrophorus stipellatus. Drawing	img-THA-0000157764.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 28						https://botany.dnp.go.th/image/flora/3/PTER_fig28.jpg
wfo-0000144933	Acrosorus triangularis. Drawing	img-THA-0000144933.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 59						https://botany.dnp.go.th/image/flora/3/PTER_fig59.jpg
wfo-0000577653	Actephila excelsa. Drawing	img-THA-0000577653.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 5						https://botany.dnp.go.th/image/flora/8/EUPH_Fig5.jpg
wfo-0000589140	Actephila javanica. Drawing	img-THA-0000589140.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 6						https://botany.dnp.go.th/image/flora/8/EUPH_Fig6.jpg
wfo-0000601960	Actephila ovalis. Drawing	img-THA-0000601960.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 7						https://botany.dnp.go.th/image/flora/8/EUPH_Fig7.jpg
wfo-0000337412	Actinoschoenus thouarsii. Drawing	img-THA-0000337412.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/6/CYPE_Figure37.jpg
wfo-0000337413	Actinoscirpus grossus. Drawing	img-THA-0000337413.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 8						https://botany.dnp.go.th/image/flora/6/CYPE_Figure8.jpg
wfo-0001387138	Adenanthera pavonina. Drawing	img-THA-0001387138.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 32						https://botany.dnp.go.th/image/flora/4/LEGU_Fig32.jpg
