WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI
wfo-0000511487,general,EN,"Shrub 1–4 m high; finely stellate-tomentose then glabrescent; stem soft inside. Stipules caducous. Leaves simple, alternate, cordate, 8–20 x 4–12 cm, chartaceous, apex acuminate to cuspidate, base cordate to slightly oblique-auriculate, margin slightly serrate to entire; 5(–3) nerves from leaf base, secondary nerves 3–7 pairs, arched and anastomosing, scalariform veins distinct on lower surface. Petioles 1.5–18 cm, pubescent, wrinkled or flattened at base when dry. Inflorescence cymes, pubescent, 1–3-flowered, opposite the leaves near the end of twigs, 5–10 cm long. Flowers 5 merous, purplish-brown, red or yellow. Calyx free, oblong or ovate-oblong 1–2.2 x 4–7 mm, glabrescent externally. Petals free, spreading, alternate with sepals, spathulate with a concave claw near base, 1.5–2 x 0.5–2 cm, sparsely hairy outside, glabrous internally. Stamens 10, 5 fertile and 5 sterile. Ovary oblong, with 5 longitudinal ridges, ca 5 x 1 mm, sparsely hairy, 5-locular; style fusiform or lanceolate with a 5-lobed stigma. Fruits conical, 2.5–3 x 4–6 cm, dehiscent; wings narrow towards the base; fruiting stalk up to 4 cm long, hairy. Seeds black.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000511487,use,EN,The stems and seeds are used in local medicine.,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000511487,ecology,EN,Common near streams in evergreen forest; altitude 50–500 m. Flowering and fruiting during June–September.,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000511487,distribution,EN,"Thailand, India (type), China, Malay Peninsula, Indonesia, Philippines, Australia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000199687,general,EN,"Woody climber; branchlets spiny, puberulous to tomentose, glabrescent, with a few scattered glandular hairs. Stipules 3–8 by 1–4 mm, half hastate-half cordate, puberulous. Leaves: rachis 6–14.5 em; petiole 1.7–4 cm; gland 0.5–1.5 cm above the base in the lower half or at the middle of the petiole; pinnae (3–)6–9 pairs, (2–)4–7.5 cm; glands just below the junctions of the 1–2 distal pairs; leafets (9–)13–33 pairs per pinna, opposite, chartaceous, sessile, (6–)6.5–11.5 by 2–3 mm, asymmetrically oblong, base asymmetrically truncate, apex rounded (rarely broadly acute) both surfaces glabrous, margins faintly ciliate; main vein marginal at the base, not parallel to the upper margin; ca 2–3 accessory veins ascending from the base; lateral veins prominent to prominulous below, forming a reticulate pattern of venation. Inflorescence: peduncles panicled. Flowers in heads; floral bracts 1.2 mm, spathulate, not projecting beyond the flowers in bud. Calyx 1.5–2.5 mm; tube glabrous; teeth 5, 0.7–1 mm, ovate-elliptic, acute, glabrous to faintly puberulous. Corolla 2.2–3 mm; tube glabrous; lobes 5.1–1.5 mm long, ovate to elliptic, acute, glabrous. Ovary 1 mm, sericeous, stipitate; stipe 1 mm. Pod 9.5–13 by 1.8–2.5 cm, oblong, flat, brown, rigidly chartaceous, glabrous with prominulous, transverse veins and distinct marks over the seeds. Seeds 9–9.5 by 7–7.5 mm, broadly elliptic, flat; pleurogram ca 5–6 by 2.5–3 mm, narrowly elliptic.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000199687,ecology,EN,"Climbing on bushes, rocky limestone; alt. up to ca 300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000199687,distribution,EN,"Thailand, Andaman Islands (type).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000185607,general,EN,"A straggling shrub or woody climber; branchlets spiny, faintly puberulous to glabrous, glabrescent, without glandular hairs. Stipules ca 2–3 by 1 mm, filiform, sericeous to woolly, early caducous. Leaves: rachis 10–20 cm, petiole 2.2–6 cm; gland ca 0.3–1 cm above the base, in the lower half of the petiole; pinnae 6–8(–13) pairs, 3.5–9.5 cm; glands below the junctions of the 1–3 distal pairs; leaflets (9–)11–22(–27) pairs per pinna, opposite, sessile, chartaceous, (5–)6–15 by (1.5–)2–5.5 mm, oblong to subfalcate, base asymmetrical, truncate behind rounded in front; apex asymmetrically acute, sharply pointed, bent forwards; upper surface glabrous, lower surface glabrous to faintly adpressedly puberulous, margins often ciliate; main vein central at the base but running excentrically towards the apex; 3–4 prominent accessory veins, ascending from the base; lateral veins prominent beneath. Inflorescence: peduncles panicled. Flowers in heads; floral bracts 1.2–1.5 mm, spathulate not projecting beyond the flowers in bud. Calyx 1.5–2 mm, tube glabrous or rarely faintly puberulous; lobes 5, 0.3–0.5 mm, ovate acute, glabrous rarely faintly puberulous. Corolla 2–3 mm, tube glabrous, lobes (0.5–)1 mm, ovate-elliptic, acute, glabrous. Ovary 0.8–1 mm, puberulous to velutinous; stipe ca 1.5 mm. Pod (immature) 15.5–17.5 by 1–2 cm, oblong with slightly sinuate margins, flat, brown, chartaceous, glabrous, eglandular, with prominent veins and marks over the seeds. Seeds (not seen).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
wfo-0000185607,ecology,EN,"Disturbed and secondary evergreen forests, alt. up to 200–300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
wfo-0000185607,distribution,EN,"Thailand, India (type of var.–Silhet), Burma, Indo-China; var. caesia is distributed in India and Ceylon (type) and does not reach Thailand.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
