WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation
wfo-0000511487,ver-THA-0000511487.01,lai thong (ล่ายทง)(Northern),0.0,ref-THA-0000511487,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31"
wfo-0000511487,ver-THA-0000511487.02,mon hok (หมอนฮอก)(Northern),0.0,ref-THA-0000511487,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31"
wfo-0000511487,ver-THA-0000511487.03,thian dam luang (เทียนตำหลวง)(Northern),0.0,ref-THA-0000511487,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31"
wfo-0000511487,ver-THA-0000511487.04,thian dam (เทียนดำ)(Central),0.0,ref-THA-0000511487,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31"
wfo-0000511487,ver-THA-0000511487.05,ta-po-a-su (ตาเปาะอาชู)(Malay-Peninsular),0.0,ref-THA-0000511487,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31"
wfo-0000185607,ver-THA-0000185607.01,nam huang (หนามเฮี้อง)(Northern),0.0,ref-THA-0000185607,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31"
wfo-0000199691,ver-THA-0000199691.01,nam tanin (หนามตะหนิน)(Eastern),0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31"
wfo-0000199691,ver-THA-0000199691.02,nam han (หนามหัน)(Northern),0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31"
wfo-0000199691,ver-THA-0000199691.03,narn huang (หนามเฮื้อง)(Northern),0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31"
wfo-0000199691,ver-THA-0000199691.04,han kradang (หันกระด้าง)(Northern),0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31"
wfo-0000186090,ver-THA-0000186090.01,som khon (ส้มขอน)(Northern),0.0,ref-THA-0000186090,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31"
wfo-0000186090,ver-THA-0000186090.02,som poi (ส้มป่อย)(Northern),0.0,ref-THA-0000186090,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31"
wfo-0000199698,ver-THA-0000199698.01,kamlang chang san (กำลังช้างสาร)(Southwestern),0.0,ref-THA-0000199698,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812,Forest Herbarium,All rights reserved,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31"
wfo-0000195712,ver-THA-0000195712.01,krathin thet (กระถินเทศ)(Central),0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31"
wfo-0000195712,ver-THA-0000195712.02,krathin hom (กระถินหอม)(Central),0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31"
wfo-0000195712,ver-THA-0000195712.03,kham tai (คำไต้)(Northern),0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31"
wfo-0000195712,ver-THA-0000195712.04,dok kham tai (ดอกคำใต้)(Northern),0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31"
wfo-0000199701,ver-THA-0000199701.01,krathin pa (กระถินป่า)(Southwestern),0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31"
wfo-0000199701,ver-THA-0000199701.02,chalaep khao (แฉลบขาว)(Southwestern),0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31"
wfo-0000199701,ver-THA-0000199701.03,pi man (ปี้มาน)(Northern),0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31"
wfo-0000199701,ver-THA-0000199701.04,"phiman (พิมาน)(Northern, Northeastern)",0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31"
wfo-0000199701,ver-THA-0000199701.05,"ma khi man (มะขี้มาน)(Northern, Northeastern)",0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31"
wfo-0000186118,ver-THA-0000186118.01,chalaep daeng (แฉลบแดง)(Central),0.0,ref-THA-0000186118,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31"
wfo-0000186118,ver-THA-0000186118.02,phaya mai (พญาไม้)(Southwestern),0.0,ref-THA-0000186118,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31"
wfo-0000199709,ver-THA-0000199709.01,khi raet (ขี้แรด)(Central),0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,Forest Herbarium,All rights reserved,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199709,ver-THA-0000199709.02,hang lai daeng (หางไหลแดง)(Central),0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,Forest Herbarium,All rights reserved,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199709,ver-THA-0000199709.03,han daeng (หันแดง)(Northern),0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,Forest Herbarium,All rights reserved,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199709,ver-THA-0000199709.04,lai daeng (ไหลแดง)(Northern),0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,Forest Herbarium,All rights reserved,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199709,ver-THA-0000199709.05,lae (แหล)(Shan-Northern),0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,Forest Herbarium,All rights reserved,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199707,ver-THA-0000199707.01,phak lae (ผักและ)(Northern),0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,Forest Herbarium,All rights reserved,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199707,ver-THA-0000199707.02,nam han (หนามหัน)(Northern),0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,Forest Herbarium,All rights reserved,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199707,ver-THA-0000199707.03,nam khi raet (หนามขี้แรด)(Southwestern),0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,Forest Herbarium,All rights reserved,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199707,ver-THA-0000199707.04,hai (ฮาย)(Peninsular),0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,Forest Herbarium,All rights reserved,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31"
wfo-0000199726,ver-THA-0000199726.01,krathin phiman (กระถินพิมาน)(Central),0.0,ref-THA-0000199726,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,Forest Herbarium,All rights reserved,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31"
wfo-0000199726,ver-THA-0000199726.02,khaya (คะยา)(Northern),0.0,ref-THA-0000199726,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,Forest Herbarium,All rights reserved,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31"
wfo-0000199726,ver-THA-0000199726.03,nam khao (หนามขาว)(Northern),0.0,ref-THA-0000199726,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,Forest Herbarium,All rights reserved,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31"
wfo-0000491787,ver-THA-0000491787.01,tamyae doi bai bang(ตำแยดอยใบบาง),0.0,ref-THA-0000491787,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03125,Forest Herbarium,All rights reserved,"Acalypha brachystachya. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 24. Accessed 2021-07-31"
